,5b130d21444cef0001cadec7
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.537
Pond5Fish10_PondTime,88.139
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,990
Pond5Fish10_TimeLeft,150.739
Pond5_Type,RT
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,0.769
Pond5Fish11_PondTime,98.014
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,1000
Pond5Fish11_TimeLeft,140.864
Pond5_Type,RT
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.081
Pond5Fish12_PondTime,108.953
Pond5Fish12_PondOutcome,120
Pond5Fish12_TotalOutcome,1010
Pond5Fish12_TimeLeft,129.925
Pond5_Type,RT
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,1.136
Pond5Fish13_PondTime,121.312
Pond5Fish13_PondOutcome,130
Pond5Fish13_TotalOutcome,1020
Pond5Fish13_TimeLeft,117.566
Pond5_GiveUpTime,0.517
Pond5_PondTime,135.629
Pond5_PondOutcome,130
Pond5_TotalOutcome,1020
Pond5_TimeLeft,103.249
Pond12IntroTime,15.298891400452703
Pond12_Type,RT
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.693
Pond12Fish1_PondTime,24.483
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,1030
Pond12Fish1_TimeLeft,78.766
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.968
Pond12Fish2_PondTime,31.46
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,1040
Pond12Fish2_TimeLeft,71.789
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.738
Pond12Fish3_PondTime,38.822
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,1050
Pond12Fish3_TimeLeft,64.427
Pond12_Type,RT
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.662
Pond12Fish4_PondTime,46.644
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,1060
Pond12Fish4_TimeLeft,56.604
Pond12_Type,RT
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.769
Pond12Fish5_PondTime,55.01
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,1070
Pond12Fish5_TimeLeft,48.239
Pond12_Type,RT
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.452
Pond12Fish6_PondTime,64.031
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,1080
Pond12Fish6_TimeLeft,39.218
Pond12_Type,RT
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.977
Pond12Fish7_PondTime,73.889
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,1090
Pond12Fish7_TimeLeft,29.36
Pond12_Type,RT
Pond12Fish8_FishType,golden
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.837
Pond12Fish8_PondTime,84.83
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,1110
Pond12Fish8_TimeLeft,18.419
Pond12_Type,RT
Pond12Fish9_FishType,golden
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,0.587
Pond12Fish9_PondTime,97.187
Pond12Fish9_PondOutcome,110
Pond12Fish9_TotalOutcome,1130
Pond12Fish9_TimeLeft,6.062
