,5a4bb2a49f5e570001e8372f
PlayerDetails,5a4bb2a49f5e570001e8372f
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RD
Pond9_#Fishes,16
Pond8_Type,RD
Pond8_#Fishes,18
Pond2_Type,RD
Pond2_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,19
Pond12_Type,RD
Pond12_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 16:18:34 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,0.993
Pond9Fish1_PondTime,8.281
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1194.106
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.039
Pond9Fish2_PondTime,14.953
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,24
Pond9Fish2_TimeLeft,1187.435
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,gray
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.315
Pond9Fish3_PondTime,21.937
Pond9Fish3_PondOutcome,26
Pond9Fish3_TotalOutcome,26
Pond9Fish3_TimeLeft,1180.45
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.876
Pond9Fish4_PondTime,29.493
Pond9Fish4_PondOutcome,38
Pond9Fish4_TotalOutcome,38
Pond9Fish4_TimeLeft,1172.895
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,1.109
Pond9Fish5_PondTime,37.33
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,50
Pond9Fish5_TimeLeft,1165.058
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,0.967
Pond9Fish6_PondTime,45.698
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,62
Pond9Fish6_TimeLeft,1156.69
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,-1
Pond9Fish7_PondTime,54.793
Pond9Fish7_PondOutcome,62
Pond9Fish7_TotalOutcome,62
Pond9Fish7_TimeLeft,1147.595
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,1.276
Pond9Fish8_PondTime,64.67
Pond9Fish8_PondOutcome,74
Pond9Fish8_TotalOutcome,74
Pond9Fish8_TimeLeft,1137.718
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,1.283
