,5e1ac483f495b43236b0f396
PlayerDetails,5e1ac483f495b43236b0f396
GameCompleted,declined
Selected ponds in the game,=======
Pond11_Type,RD
Pond11_#Fishes,14
Pond4_Type,RD
Pond4_#Fishes,14
Pond1_Type,RD
Pond1_#Fishes,15
Pond6_Type,RD
Pond6_#Fishes,14
Pond5_Type,RD
Pond5_#Fishes,13
Pond3_Type,RD
Pond3_#Fishes,16
Pond8_Type,RD
Pond8_#Fishes,16
Pond9_Type,RD
Pond9_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,15
Pond10_Type,RD
Pond10_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:16:32 GMT+1100 (Australian Eastern Daylight Time)
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.491
Pond11Fish1_PondTime,8.915
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,12
Pond11Fish1_TimeLeft,1193.483
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.473
Pond11Fish2_PondTime,16.292
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,24
Pond11Fish2_TimeLeft,1186.106
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.143
Pond11Fish3_PondTime,24.119
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,36
Pond11Fish3_TimeLeft,1178.279
PondEnd_LastFish,3
FishN,14
Type,RD
GiveUpTime,4.176
PondTime,27.632
TimeLeft,1174.256
PondOutcome,36
TotalOutcome,36
PondStart,PondStart
PondIntroTime,17.11024136049673
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,gray
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.051
Pond4Fish1_PondTime,8.908
Pond4Fish1_PondOutcome,2
Pond4Fish1_TotalOutcome,38
Pond4Fish1_TimeLeft,1147.608
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
