,5d8843d092bb88001682f5d3
Pond4Fish4_PondOutcome,16
Pond4Fish4_TotalOutcome,140
Pond4Fish4_TimeLeft,1055.459
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,-1
Pond4Fish5_PondTime,39.305
Pond4Fish5_PondOutcome,16
Pond4Fish5_TotalOutcome,140
Pond4Fish5_TimeLeft,1047.02
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.1
Pond4Fish6_PondTime,48.375
Pond4Fish6_PondOutcome,28
Pond4Fish6_TotalOutcome,152
Pond4Fish6_TimeLeft,1037.95
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.386
Pond4Fish7_PondTime,58.246
Pond4Fish7_PondOutcome,40
Pond4Fish7_TotalOutcome,164
Pond4Fish7_TimeLeft,1028.079
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.745
Pond4Fish8_PondTime,69.286
Pond4Fish8_PondOutcome,52
Pond4Fish8_TotalOutcome,176
Pond4Fish8_TimeLeft,1017.039
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,-1
Pond4Fish9_PondTime,81.72
Pond4Fish9_PondOutcome,52
Pond4Fish9_TotalOutcome,176
Pond4Fish9_TimeLeft,1004.605
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,1.546
Pond4Fish10_PondTime,96.121
Pond4Fish10_PondOutcome,64
Pond4Fish10_TotalOutcome,188
Pond4Fish10_TimeLeft,990.204
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,12
Pond4Fish11_CatchTime,1.153
Pond4Fish11_PondTime,113.515
Pond4Fish11_PondOutcome,76
Pond4Fish11_TotalOutcome,200
Pond4Fish11_TimeLeft,972.81
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,0.851
PondTime,113.721
TimeLeft,972.102
PondOutcome,76
TotalOutcome,200
PondStart,PondStart
PondIntroTime,14.819989057723433
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.216
Pond8Fish1_PondTime,9.323
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,212
Pond8Fish1_TimeLeft,947.352
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.295
Pond8Fish2_PondTime,17.169
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,224
Pond8Fish2_TimeLeft,939.506
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.618
Pond8Fish3_PondTime,25.551
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,236
Pond8Fish3_TimeLeft,931.124
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.241
Pond8Fish4_PondTime,34.605
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,248
Pond8Fish4_TimeLeft,922.07
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.115
Pond8Fish5_PondTime,44.488
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,260
Pond8Fish5_TimeLeft,912.187
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.305
Pond8Fish6_PondTime,55.452
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,272
Pond8Fish6_TimeLeft,901.223
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.483
Pond8Fish7_PondTime,67.841
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,284
Pond8Fish7_TimeLeft,888.834
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.267
Pond8Fish8_PondTime,82.227
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,296
Pond8Fish8_TimeLeft,874.448
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,gray
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,-1
Pond8Fish9_PondTime,99.67
Pond8Fish9_PondOutcome,96
Pond8Fish9_TotalOutcome,296
Pond8Fish9_TimeLeft,857.005
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,gray
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,0.989
Pond8Fish10_PondTime,122.043
Pond8Fish10_PondOutcome,98
Pond8Fish10_TotalOutcome,298
Pond8Fish10_TimeLeft,834.632
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,20
Pond8Fish11_CatchTime,1.674
Pond8Fish11_PondTime,154.413
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,310
Pond8Fish11_TimeLeft,802.262
PondEnd_LastFish,11
FishN,13
Type,RD
GiveUpTime,0.988
PondTime,155.272
TimeLeft,800.9
PondOutcome,110
TotalOutcome,310
PondStart,PondStart
PondIntroTime,16.729116367641836
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,gray
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.324
Pond5Fish1_PondTime,8.923
Pond5Fish1_PondOutcome,2
Pond5Fish1_TotalOutcome,312
Pond5Fish1_TimeLeft,774.614
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.347
Pond5Fish2_PondTime,16.294
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,324
Pond5Fish2_TimeLeft,767.243
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.296
Pond5Fish3_PondTime,24.131
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,336
Pond5Fish3_TimeLeft,759.406
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.549
Pond5Fish4_PondTime,32.514
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,348
Pond5Fish4_TimeLeft,751.023
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.364
Pond5Fish5_PondTime,41.552
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,360
Pond5Fish5_TimeLeft,741.984
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.87
Pond5Fish6_PondTime,51.62
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,372
Pond5Fish6_TimeLeft,731.917
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.382
Pond5Fish7_PondTime,62.597
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,384
Pond5Fish7_TimeLeft,720.94
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.137
Pond5Fish8_PondTime,74.969
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,396
Pond5Fish8_TimeLeft,708.568
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.093
Pond5Fish9_PondTime,89.372
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,408
Pond5Fish9_TimeLeft,694.165
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.456
Pond5Fish10_PondTime,106.75
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,420
Pond5Fish10_TimeLeft,676.787
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,gray
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,-1
Pond5Fish11_PondTime,129.183
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,420
Pond5Fish11_TimeLeft,654.354
Type,RD
FishN,14
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,1.372
Pond5Fish12_PondTime,161.574
Pond5Fish12_PondOutcome,122
Pond5Fish12_TotalOutcome,432
Pond5Fish12_TimeLeft,621.963
PondEnd_LastFish,12
FishN,14
Type,RD
GiveUpTime,47.543
PondTime,208.693
TimeLeft,574.342
PondOutcome,122
TotalOutcome,432
PondStart,PondStart
PondIntroTime,19.27306410856545
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.403
Pond3Fish1_PondTime,8.311
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,444
Pond3Fish1_TimeLeft,546.14
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.273
Pond3Fish2_PondTime,14.968
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,456
Pond3Fish2_TimeLeft,539.483
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,-1
Pond3Fish3_PondTime,22.026
Pond3Fish3_PondOutcome,24
Pond3Fish3_TotalOutcome,456
Pond3Fish3_TimeLeft,532.425
