,5c840aedbad8fb000106cb44
Pond3Fish11_TimeLeft,1060.208
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,0.508
PondTime,107.485
TimeLeft,1045.95
PondOutcome,112
TotalOutcome,160
PondStart,PondStart
PondIntroTime,11.430243505164981
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.682
Pond10Fish1_PondTime,8.881
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,172
Pond10Fish1_TimeLeft,1025.025
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.593
Pond10Fish2_PondTime,16.237
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,184
Pond10Fish2_TimeLeft,1017.669
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.671
Pond10Fish3_PondTime,24.057
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,196
Pond10Fish3_TimeLeft,1009.849
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,0.544
Pond10Fish4_PondTime,32.413
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,208
Pond10Fish4_TimeLeft,1001.493
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,gray
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,0.67
Pond10Fish5_PondTime,41.435
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,210
Pond10Fish5_TimeLeft,992.471
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,0.685
Pond10Fish6_PondTime,52.216
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,222
Pond10Fish6_TimeLeft,981.69
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,0.562
Pond10Fish7_PondTime,64.047
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,234
Pond10Fish7_TimeLeft,969.859
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,0.637
Pond10Fish8_PondTime,76.406
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,246
Pond10Fish8_TimeLeft,957.5
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,gray
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,0.597
Pond10Fish9_PondTime,90.767
Pond10Fish9_PondOutcome,88
Pond10Fish9_TotalOutcome,248
Pond10Fish9_TimeLeft,943.139
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,12
Pond10Fish10_CatchTime,0.913
Pond10Fish10_PondTime,108.133
Pond10Fish10_PondOutcome,100
Pond10Fish10_TotalOutcome,260
Pond10Fish10_TimeLeft,925.773
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,15
Pond10Fish11_CatchTime,0.509
Pond10Fish11_PondTime,130.489
Pond10Fish11_PondOutcome,112
Pond10Fish11_TotalOutcome,272
Pond10Fish11_TimeLeft,903.417
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,20
Pond10Fish12_CatchTime,0.712
Pond10Fish12_PondTime,162.856
Pond10Fish12_PondOutcome,124
Pond10Fish12_TotalOutcome,284
Pond10Fish12_TimeLeft,871.05
PondEnd_LastFish,12
FishN,14
Type,RD
GiveUpTime,2.318
PondTime,164.087
TimeLeft,869.317
PondOutcome,124
TotalOutcome,284
PondStart,PondStart
PondIntroTime,15.239245560951531
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,0.798
Pond8Fish1_PondTime,8.266
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,296
Pond8Fish1_TimeLeft,845.197
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,1.865
Pond8Fish2_PondTime,15.088
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,308
Pond8Fish2_TimeLeft,838.375
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,gray
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.777
Pond8Fish3_PondTime,22.068
Pond8Fish3_PondOutcome,26
Pond8Fish3_TotalOutcome,310
Pond8Fish3_TimeLeft,831.395
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,0.568
Pond8Fish4_PondTime,29.435
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,322
Pond8Fish4_TimeLeft,824.028
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.513
Pond8Fish5_PondTime,37.245
Pond8Fish5_PondOutcome,50
