,5c840aedbad8fb000106cb44
Pond1Fish3_TotalOutcome,856
Pond1Fish3_TimeLeft,185.037
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,1.24
Pond1Fish4_PondTime,28.021
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,868
Pond1Fish4_TimeLeft,178.058
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,gray
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.906
Pond1Fish5_PondTime,35.39
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,870
Pond1Fish5_TimeLeft,170.689
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,0.85
Pond1Fish6_PondTime,43.21
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,882
Pond1Fish6_TimeLeft,162.869
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,1.035
Pond1Fish7_PondTime,51.565
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,894
Pond1Fish7_TimeLeft,154.514
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,1.419
Pond1Fish8_PondTime,60.589
Pond1Fish8_PondOutcome,86
Pond1Fish8_TotalOutcome,906
Pond1Fish8_TimeLeft,145.49
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,0.724
Pond1Fish9_PondTime,70.453
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,918
Pond1Fish9_TimeLeft,135.626
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,0.8
Pond1Fish10_PondTime,81.384
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,930
Pond1Fish10_TimeLeft,124.695
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,-1
Pond1Fish11_PondTime,93.798
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,930
Pond1Fish11_TimeLeft,112.281
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,10
Pond1Fish12_CatchTime,0.586
Pond1Fish12_PondTime,108.16
Pond1Fish12_PondOutcome,122
Pond1Fish12_TotalOutcome,942
Pond1Fish12_TimeLeft,97.919
Type,RD
FishN,19
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,12
Pond1Fish13_CatchTime,0.954
Pond1Fish13_PondTime,125.524
Pond1Fish13_PondOutcome,134
Pond1Fish13_TotalOutcome,954
Pond1Fish13_TimeLeft,80.555
Type,RD
FishN,19
Fish,14
Pond1Fish14_FishType,blue
Pond1Fish14_FishLatency,15
Pond1Fish14_CatchTime,0.748
Pond1Fish14_PondTime,147.881
Pond1Fish14_PondOutcome,146
Pond1Fish14_TotalOutcome,966
Pond1Fish14_TimeLeft,58.198
PondEnd_LastFish,14
FishN,17
Type,RD
GiveUpTime,28.479
PondTime,175.312
TimeLeft,30.264
PondOutcome,146
TotalOutcome,966
PondStart,PondStart
PondIntroTime,11.00691230269149
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.8
Pond7Fish1_PondTime,7.601
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,978
Pond7Fish1_TimeLeft,11.041
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.035
Pond7Fish2_PondTime,13.485
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,990
Pond7Fish2_TimeLeft,5.157
