,5c097d961907db0001601f67
Pond1Fish6_PondTime,60.433
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,182
Pond1Fish6_TimeLeft,974.254
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,0.917
Pond1Fish7_PondTime,74.828
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,194
Pond1Fish7_TimeLeft,959.859
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,0.864
Pond1Fish8_PondTime,92.205
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,206
Pond1Fish8_TimeLeft,942.482
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,15
Pond1Fish9_CatchTime,0.958
Pond1Fish9_PondTime,114.606
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,218
Pond1Fish9_TimeLeft,920.081
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,20
Pond1Fish10_CatchTime,0.784
Pond1Fish10_PondTime,147.029
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,230
Pond1Fish10_TimeLeft,887.658
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,1.054
PondTime,147.059
TimeLeft,887.126
PondOutcome,120
TotalOutcome,230
PondStart,PondStart
PondIntroTime,15.86629590485245
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.664
Pond8Fish1_PondTime,8.913
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,242
Pond8Fish1_TimeLeft,861.717
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.557
Pond8Fish2_PondTime,16.297
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,254
Pond8Fish2_TimeLeft,854.333
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.498
Pond8Fish3_PondTime,24.143
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,266
Pond8Fish3_TimeLeft,846.487
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.63
Pond8Fish4_PondTime,32.543
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,278
Pond8Fish4_TimeLeft,838.087
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.607
Pond8Fish5_PondTime,41.584
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,290
Pond8Fish5_TimeLeft,829.046
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.691
Pond8Fish6_PondTime,51.48
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,302
Pond8Fish6_TimeLeft,819.15
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,gray
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.748
Pond8Fish7_PondTime,62.436
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,304
Pond8Fish7_TimeLeft,808.194
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,gray
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,0.733
Pond8Fish8_PondTime,74.824
Pond8Fish8_PondOutcome,76
Pond8Fish8_TotalOutcome,306
Pond8Fish8_TimeLeft,795.806
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,0.757
Pond8Fish9_PondTime,89.216
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,318
Pond8Fish9_TimeLeft,781.414
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,0.889
Pond8Fish10_PondTime,106.604
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,330
Pond8Fish10_TimeLeft,764.026
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,15
Pond8Fish11_CatchTime,0.748
Pond8Fish11_PondTime,129.002
Pond8Fish11_PondOutcome,112
Pond8Fish11_TotalOutcome,342
Pond8Fish11_TimeLeft,741.628
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,2.418
PondTime,130.355
TimeLeft,739.771
PondOutcome,112
TotalOutcome,342
PondStart,PondStart
PondIntroTime,19.678836513776332
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.969
Pond5Fish1_PondTime,11.813
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,354
Pond5Fish1_TimeLeft,706.445
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.148
Pond5Fish2_PondTime,19.184
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,366
Pond5Fish2_TimeLeft,699.074
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.959
Pond5Fish3_PondTime,27.053
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,378
Pond5Fish3_TimeLeft,691.205
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.801
Pond5Fish4_PondTime,35.432
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,390
Pond5Fish4_TimeLeft,682.826
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,gray
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.328
Pond5Fish5_PondTime,44.482
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,392
Pond5Fish5_TimeLeft,673.776
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.603
Pond5Fish6_PondTime,54.366
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,404
Pond5Fish6_TimeLeft,663.892
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.742
Pond5Fish7_PondTime,65.311
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,416
Pond5Fish7_TimeLeft,652.947
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.35
Pond5Fish8_PondTime,77.669
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,428
Pond5Fish8_TimeLeft,640.588
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,0.713
Pond5Fish9_PondTime,92.051
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,440
Pond5Fish9_TimeLeft,626.206
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,gray
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.662
Pond5Fish10_PondTime,109.431
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,442
Pond5Fish10_TimeLeft,608.827
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,0.949
Pond5Fish11_PondTime,131.789
Pond5Fish11_PondOutcome,112
Pond5Fish11_TotalOutcome,454
Pond5Fish11_TimeLeft,586.467
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,29.083
PondTime,160.022
TimeLeft,557.732
PondOutcome,112
TotalOutcome,454
PondStart,PondStart
PondIntroTime,17.482825231272727
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.714
Pond7Fish1_PondTime,10.932
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,466
Pond7Fish1_TimeLeft,527.307
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,gray
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.895
Pond7Fish2_PondTime,21.002
Pond7Fish2_PondOutcome,14
Pond7Fish2_TotalOutcome,468
Pond7Fish2_TimeLeft,517.237
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.944
Pond7Fish3_PondTime,31.305
Pond7Fish3_PondOutcome,26
Pond7Fish3_TotalOutcome,480
Pond7Fish3_TimeLeft,506.934
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,gray
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.794
Pond7Fish4_PondTime,41.19
Pond7Fish4_PondOutcome,28
Pond7Fish4_TotalOutcome,482
Pond7Fish4_TimeLeft,497.049
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.109
Pond7Fish5_PondTime,52.15
Pond7Fish5_PondOutcome,40
Pond7Fish5_TotalOutcome,494
Pond7Fish5_TimeLeft,486.089
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.605
Pond7Fish6_PondTime,64.566
Pond7Fish6_PondOutcome,52
Pond7Fish6_TotalOutcome,506
