,5e13361697234b9785ef3f81
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,170
Pond3Fish4_TimeLeft,1053.792
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,gray
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.023
Pond3Fish5_PondTime,44.606
Pond3Fish5_PondOutcome,40
Pond3Fish5_TotalOutcome,172
Pond3Fish5_TimeLeft,1043.883
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.13
Pond3Fish6_PondTime,55.557
Pond3Fish6_PondOutcome,52
Pond3Fish6_TotalOutcome,184
Pond3Fish6_TimeLeft,1032.932
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,1.19
Pond3Fish7_PondTime,67.969
Pond3Fish7_PondOutcome,64
Pond3Fish7_TotalOutcome,196
Pond3Fish7_TimeLeft,1020.519
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,1.049
Pond3Fish8_PondTime,82.343
Pond3Fish8_PondOutcome,76
Pond3Fish8_TotalOutcome,208
Pond3Fish8_TimeLeft,1006.146
PondEnd_LastFish,8
FishN,13
Type,RD
GiveUpTime,16.27
PondTime,97.869
TimeLeft,990.116
PondOutcome,76
TotalOutcome,208
PondStart,PondStart
PondIntroTime,11.772910319268703
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,1.681
Pond12Fish1_PondTime,9.767
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,220
Pond12Fish1_TimeLeft,967.813
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.416
Pond12Fish2_PondTime,18.165
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,232
Pond12Fish2_TimeLeft,959.414
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,gray
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1.39
Pond12Fish3_PondTime,27.231
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,234
Pond12Fish3_TimeLeft,950.349
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,-1
Pond12Fish4_PondTime,37.198
Pond12Fish4_PondOutcome,26
Pond12Fish4_TotalOutcome,234
Pond12Fish4_TimeLeft,940.382
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.251
Pond12Fish5_PondTime,48.17
Pond12Fish5_PondOutcome,38
Pond12Fish5_TotalOutcome,246
Pond12Fish5_TimeLeft,929.41
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,-1
Pond12Fish6_PondTime,60.649
Pond12Fish6_PondOutcome,38
Pond12Fish6_TotalOutcome,246
Pond12Fish6_TimeLeft,916.931
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.289
Pond12Fish7_PondTime,75.036
Pond12Fish7_PondOutcome,50
Pond12Fish7_TotalOutcome,258
Pond12Fish7_TimeLeft,902.544
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,0.924
Pond12Fish8_PondTime,92.426
Pond12Fish8_PondOutcome,62
Pond12Fish8_TotalOutcome,270
Pond12Fish8_TimeLeft,885.154
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,15
Pond12Fish9_CatchTime,0.868
Pond12Fish9_PondTime,114.827
Pond12Fish9_PondOutcome,74
Pond12Fish9_TotalOutcome,282
Pond12Fish9_TimeLeft,862.753
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,29.023
PondTime,142.916
TimeLeft,834.161
PondOutcome,74
TotalOutcome,282
PondStart,PondStart
PondIntroTime,16.020160254556686
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.084
Pond5Fish1_PondTime,8.908
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,294
Pond5Fish1_TimeLeft,808.473
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,16.337
Pond5Fish2_PondOutcome,12
Pond5Fish2_TotalOutcome,294
Pond5Fish2_TimeLeft,801.045
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,24.264
Pond5Fish3_PondOutcome,12
Pond5Fish3_TotalOutcome,294
Pond5Fish3_TimeLeft,793.118
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.193
Pond5Fish4_PondTime,32.646
Pond5Fish4_PondOutcome,24
Pond5Fish4_TotalOutcome,306
Pond5Fish4_TimeLeft,784.735
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.59
Pond5Fish5_PondTime,41.706
Pond5Fish5_PondOutcome,36
Pond5Fish5_TotalOutcome,318
Pond5Fish5_TimeLeft,775.676
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.183
Pond5Fish6_PondTime,51.593
Pond5Fish6_PondOutcome,48
Pond5Fish6_TotalOutcome,330
Pond5Fish6_TimeLeft,765.789
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,gray
Pond5Fish7_FishLatency,7.5
