,57da96a2bcd7150001ded382
Pond7Fish8_FishLatency,12
Pond7Fish8_CatchTime,1.384
Pond7Fish8_PondTime,92.58
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,172
Pond7Fish8_TimeLeft,1013.057
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,15
Pond7Fish9_CatchTime,1.286
Pond7Fish9_PondTime,114.962
Pond7Fish9_PondOutcome,98
Pond7Fish9_TotalOutcome,184
Pond7Fish9_TimeLeft,990.675
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,1.365
PondTime,115.813
TimeLeft,989.315
PondOutcome,98
TotalOutcome,184
PondStart,PondStart
PondIntroTime,15.71289338171482
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.163
Pond6Fish1_PondTime,8.594
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,196
Pond6Fish1_TimeLeft,964.361
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.46
Pond6Fish2_PondTime,15.626
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,208
Pond6Fish2_TimeLeft,957.329
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,gray
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.186
Pond6Fish3_PondTime,23.088
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,210
Pond6Fish3_TimeLeft,949.867
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.753
Pond6Fish4_PondTime,31.017
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,222
Pond6Fish4_TimeLeft,941.938
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.207
Pond6Fish5_PondTime,39.424
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,234
Pond6Fish5_TimeLeft,933.531
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,gray
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.52
Pond6Fish6_PondTime,48.458
Pond6Fish6_PondOutcome,52
Pond6Fish6_TotalOutcome,236
Pond6Fish6_TimeLeft,924.497
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.338
Pond6Fish7_PondTime,58.372
Pond6Fish7_PondOutcome,64
Pond6Fish7_TotalOutcome,248
Pond6Fish7_TimeLeft,914.583
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.434
Pond6Fish8_PondTime,69.388
Pond6Fish8_PondOutcome,76
Pond6Fish8_TotalOutcome,260
Pond6Fish8_TimeLeft,903.567
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.41
Pond6Fish9_PondTime,81.768
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,272
Pond6Fish9_TimeLeft,891.187
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,1.815
Pond6Fish10_PondTime,96.308
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,284
Pond6Fish10_TimeLeft,876.647
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,1.528
Pond6Fish11_PondTime,113.787
Pond6Fish11_PondOutcome,112
Pond6Fish11_TotalOutcome,296
Pond6Fish11_TimeLeft,859.168
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,4.184
PondTime,117.693
TimeLeft,854.747
PondOutcome,112
TotalOutcome,296
PondStart,PondStart
PondIntroTime,16.733664758503437
Type,RD
FishN,17
Fish,1
