,5cb255402051100001c5d058
Pond6Fish3_PondTime,24.292
Pond6Fish3_PondOutcome,24
Pond6Fish3_TotalOutcome,874
Pond6Fish3_TimeLeft,346.881
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.426
Pond6Fish4_PondTime,32.668
Pond6Fish4_PondOutcome,36
Pond6Fish4_TotalOutcome,886
Pond6Fish4_TimeLeft,338.505
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.353
Pond6Fish5_PondTime,41.699
Pond6Fish5_PondOutcome,48
Pond6Fish5_TotalOutcome,898
Pond6Fish5_TimeLeft,329.474
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.187
Pond6Fish6_PondTime,51.571
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,910
Pond6Fish6_TimeLeft,319.602
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.642
Pond6Fish7_PondTime,62.516
Pond6Fish7_PondOutcome,72
Pond6Fish7_TotalOutcome,922
Pond6Fish7_TimeLeft,308.657
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.232
Pond6Fish8_PondTime,74.909
Pond6Fish8_PondOutcome,84
Pond6Fish8_TotalOutcome,934
Pond6Fish8_TimeLeft,296.264
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,1.389
Pond6Fish9_PondTime,89.3
Pond6Fish9_PondOutcome,96
Pond6Fish9_TotalOutcome,946
Pond6Fish9_TimeLeft,281.873
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,1.453
Pond6Fish10_PondTime,106.673
Pond6Fish10_PondOutcome,108
Pond6Fish10_TotalOutcome,958
Pond6Fish10_TimeLeft,264.5
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,15
Pond6Fish11_CatchTime,1.209
Pond6Fish11_PondTime,129.044
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,970
Pond6Fish11_TimeLeft,242.129
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,gray
Pond6Fish12_FishLatency,20
Pond6Fish12_CatchTime,1.522
Pond6Fish12_PondTime,161.413
Pond6Fish12_PondOutcome,122
Pond6Fish12_TotalOutcome,972
Pond6Fish12_TimeLeft,209.76
PondEnd_LastFish,12
FishN,14
Type,RD
GiveUpTime,2.603
PondTime,163.741
TimeLeft,206.924
PondOutcome,122
TotalOutcome,972
PondStart,PondStart
PondIntroTime,19.586369954049587
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.335
Pond11Fish1_PondTime,9.757
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,984
Pond11Fish1_TimeLeft,176.962
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.543
Pond11Fish2_PondTime,18.139
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,996
Pond11Fish2_TimeLeft,168.58
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.765
Pond11Fish3_PondTime,27.243
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,1008
Pond11Fish3_TimeLeft,159.476
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.514
Pond11Fish4_PondTime,37.116
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,1020
Pond11Fish4_TimeLeft,149.602
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.293
Pond11Fish5_PondTime,48.064
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,1032
Pond11Fish5_TimeLeft,138.655
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.349
Pond11Fish6_PondTime,60.459
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,1044
Pond11Fish6_TimeLeft,126.26
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,1.097
Pond11Fish7_PondTime,74.835
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,1056
Pond11Fish7_TimeLeft,111.884
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,1.107
Pond11Fish8_PondTime,92.228
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,1068
Pond11Fish8_TimeLeft,94.49
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,15
Pond11Fish9_CatchTime,1.241
Pond11Fish9_PondTime,114.606
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,1080
Pond11Fish9_TimeLeft,72.113
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,20
Pond11Fish10_CatchTime,1.429
Pond11Fish10_PondTime,146.979
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,1092
Pond11Fish10_TimeLeft,39.74
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,1.802
PondTime,148.412
TimeLeft,37.799
PondOutcome,120
TotalOutcome,1092
PondStart,PondStart
PondIntroTime,19.483250896446407
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.203
Pond7Fish1_PondTime,7.807
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,1104
Pond7Fish1_TimeLeft,9.883
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.93
Pond7Fish2_PondTime,14.168
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,1116
Pond7Fish2_TimeLeft,3.522
