,5da6d3df245a300012a5ce60
PondStart,PondStart
PondIntroTime,17.359141597989947
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.887
Pond7Fish1_PondTime,8.022
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,938
Pond7Fish1_TimeLeft,190.884
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.066
Pond7Fish2_PondTime,14.379
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,950
Pond7Fish2_TimeLeft,184.527
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.009
Pond7Fish3_PondTime,21.038
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,962
Pond7Fish3_TimeLeft,177.868
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.948
Pond7Fish4_PondTime,28.009
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,974
Pond7Fish4_TimeLeft,170.897
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,gray
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.1
Pond7Fish5_PondTime,35.366
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,976
Pond7Fish5_TimeLeft,163.54
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.851
Pond7Fish6_PondTime,43.192
Pond7Fish6_PondOutcome,62
Pond7Fish6_TotalOutcome,988
Pond7Fish6_TimeLeft,155.714
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,gray
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.86
Pond7Fish7_PondTime,51.552
Pond7Fish7_PondOutcome,64
Pond7Fish7_TotalOutcome,990
Pond7Fish7_TimeLeft,147.353
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.637
Pond7Fish8_PondTime,60.577
Pond7Fish8_PondOutcome,76
Pond7Fish8_TotalOutcome,1002
Pond7Fish8_TimeLeft,138.329
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.925
Pond7Fish9_PondTime,70.437
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,1014
Pond7Fish9_TimeLeft,128.469
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.101
Pond7Fish10_PondTime,81.363
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,1026
Pond7Fish10_TimeLeft,117.542
Type,RD
FishN,18
Fish,11
Pond7Fish11_FishType,gray
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.069
Pond7Fish11_PondTime,93.727
Pond7Fish11_PondOutcome,102
Pond7Fish11_TotalOutcome,1028
Pond7Fish11_TimeLeft,105.179
Type,RD
FishN,18
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,0.969
Pond7Fish12_PondTime,108.091
Pond7Fish12_PondOutcome,114
Pond7Fish12_TotalOutcome,1040
Pond7Fish12_TimeLeft,90.815
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,0.551
PondTime,125.093
TimeLeft,73.307
PondOutcome,114
TotalOutcome,1040
PondStart,PondStart
PondIntroTime,16.861620286945254
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,0.919
Pond4Fish1_PondTime,9.727
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,1052
Pond4Fish1_TimeLeft,46.101
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,0.975
Pond4Fish2_PondTime,18.085
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,1064
Pond4Fish2_TimeLeft,37.742
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,1.041
Pond4Fish3_PondTime,27.109
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,1076
Pond4Fish3_TimeLeft,28.718
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,1.177
Pond4Fish4_PondTime,36.97
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,1088
Pond4Fish4_TimeLeft,18.857
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,0.874
Pond4Fish5_PondTime,47.899
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,1100
Pond4Fish5_TimeLeft,7.929
