,5ce2a924feca320001f93ee7
Type,RD
GiveUpTime,1.054
PondTime,10.264
TimeLeft,898.676
PondOutcome,12
TotalOutcome,140
PondStart,PondStart
PondIntroTime,19.501156862825155
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,1.488
Pond5Fish1_PondTime,8.29
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,152
Pond5Fish1_TimeLeft,870.256
PondEnd_LastFish,1
FishN,16
Type,RD
GiveUpTime,2.367
PondTime,10.35
TimeLeft,867.69
PondOutcome,12
TotalOutcome,152
PondStart,PondStart
PondIntroTime,13.26447268249467
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.258
Pond10Fish1_PondTime,7.627
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,164
Pond10Fish1_TimeLeft,846.164
PondEnd_LastFish,1
FishN,19
Type,RD
GiveUpTime,1.23
PondTime,8.334
TimeLeft,844.953
PondOutcome,12
TotalOutcome,164
PondStart,PondStart
PondIntroTime,10.526050368789583
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.69
Pond1Fish1_PondTime,9.291
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,176
Pond1Fish1_TimeLeft,824.49
PondEnd_LastFish,1
FishN,13
Type,RD
GiveUpTime,1.41
PondTime,10.597
TimeLeft,822.68
PondOutcome,12
TotalOutcome,176
PondStart,PondStart
PondIntroTime,10.57649837108329
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.752
Pond2Fish1_PondTime,7.681
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,188
Pond2Fish1_TimeLeft,803.781
PondEnd_LastFish,1
FishN,19
Type,RD
GiveUpTime,2.421
PondTime,10.001
TimeLeft,800.958
PondOutcome,12
TotalOutcome,188
PondStart,PondStart
PondIntroTime,19.019591675605625
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,gray
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.969
Pond8Fish1_PondTime,9.191
Pond8Fish1_PondOutcome,2
Pond8Fish1_TotalOutcome,190
Pond8Fish1_TimeLeft,772.12
PondEnd_LastFish,1
FishN,14
Type,RD
GiveUpTime,1.447
PondTime,10.535
TimeLeft,770.272
PondOutcome,2
TotalOutcome,190
PondStart,PondStart
PondIntroTime,15.056295737158507
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.316
Pond9Fish1_PondTime,9.733
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,202
Pond9Fish1_TimeLeft,744.865
PondEnd_LastFish,1
FishN,12
Type,RD
GiveUpTime,1.694
PondTime,10.957
TimeLeft,743.138
PondOutcome,12
TotalOutcome,202
PondStart,PondStart
PondIntroTime,14.352223703172058
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.384
Pond3Fish1_PondTime,9.757
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,214
Pond3Fish1_TimeLeft,718.405
PondEnd_LastFish,1
FishN,12
Type,RD
GiveUpTime,1.688
PondTime,11.027
TimeLeft,716.631
PondOutcome,12
TotalOutcome,214
PondStart,PondStart
PondIntroTime,13.721011963207275
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.36
Pond7Fish1_PondTime,8.902
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,226
Pond7Fish1_TimeLeft,693.374
PondEnd_LastFish,1
FishN,14
Type,RD
GiveUpTime,1.04
PondTime,9.523
TimeLeft,692.251
PondOutcome,12
TotalOutcome,226
PondStart,PondStart
PondIntroTime,10.717286311555654
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.848
Pond5Fish1_PondTime,8.904
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,238
Pond5Fish1_TimeLeft,672.009
PondEnd_LastFish,1
FishN,14
Type,RD
GiveUpTime,1.399
PondTime,9.356
TimeLeft,671.053
PondOutcome,12
TotalOutcome,238
PondStart,PondStart
PondIntroTime,12.296655992977321
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.551
Pond6Fish1_PondTime,8.033
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,250
Pond6Fish1_TimeLeft,650.108
PondEnd_LastFish,1
FishN,17
Type,RD
GiveUpTime,1.191
PondTime,8.972
TimeLeft,648.665
PondOutcome,12
TotalOutcome,250
PondStart,PondStart
PondIntroTime,14.29431569762528
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.362
Pond10Fish1_PondTime,9.281
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,262
Pond10Fish1_TimeLeft,624.459
PondEnd_LastFish,1
FishN,13
Type,RD
GiveUpTime,1.24
PondTime,10.101
TimeLeft,623.135
PondOutcome,12
TotalOutcome,262
PondStart,PondStart
PondIntroTime,13.367022527381778
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.365
Pond11Fish1_PondTime,7.799
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,274
Pond11Fish1_TimeLeft,601.338
PondEnd_LastFish,1
FishN,18
Type,RD
GiveUpTime,1.244
PondTime,8.624
TimeLeft,600.01
PondOutcome,12
TotalOutcome,274
PondStart,PondStart
PondIntroTime,15.31742249848321
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.464
Pond4Fish1_PondTime,8.024
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,286
Pond4Fish1_TimeLeft,576.03
PondEnd_LastFish,1
FishN,17
Type,RD
GiveUpTime,1.365
PondTime,9.071
TimeLeft,574.479
PondOutcome,12
TotalOutcome,286
PondStart,PondStart
PondIntroTime,14.632010096684098
PondEnd_LastFish,1
FishN,18
Type,RD
GiveUpTime,17.648
PondTime,2.61
TimeLeft,554.045
PondOutcome,0
TotalOutcome,286
PondStart,PondStart
PondIntroTime,12.97065059421584
