,5dcb1a05ae3b3b80279ee873
PlayerDetails,5dcb1a05ae3b3b80279ee873
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RD
Pond7_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,19
Pond9_Type,RD
Pond9_#Fishes,16
Pond8_Type,RD
Pond8_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:30:33 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.516
Pond7Fish1_PondTime,9.753
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,12
Pond7Fish1_TimeLeft,1192.628
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.851
Pond7Fish2_PondTime,18.318
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,24
Pond7Fish2_TimeLeft,1184.064
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.303
Pond7Fish3_PondTime,27.379
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,36
