,5c0909b43329c500019bc149
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.885
Pond9Fish6_PondTime,48.24
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,182
Pond9Fish6_TimeLeft,1034.771
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.212
Pond9Fish7_PondTime,58.125
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,194
Pond9Fish7_TimeLeft,1024.886
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.817
Pond9Fish8_PondTime,69.083
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,206
Pond9Fish8_TimeLeft,1013.927
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.209
Pond9Fish9_PondTime,81.47
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,218
Pond9Fish9_TimeLeft,1001.541
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,0.967
Pond9Fish10_PondTime,95.855
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,230
Pond9Fish10_TimeLeft,987.156
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,1.083
Pond9Fish11_PondTime,113.243
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,242
Pond9Fish11_TimeLeft,969.768
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,16.834
PondTime,129.354
TimeLeft,953.155
PondOutcome,122
TotalOutcome,242
PondStart,PondStart
PondIntroTime,17.239257057663053
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.097
Pond5Fish1_PondTime,7.617
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,254
Pond5Fish1_TimeLeft,927.673
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.863
Pond5Fish2_PondTime,13.522
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,266
Pond5Fish2_TimeLeft,921.768
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,1.178
Pond5Fish3_PondTime,19.649
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,278
Pond5Fish3_TimeLeft,915.641
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.891
Pond5Fish4_PondTime,26.018
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,290
Pond5Fish4_TimeLeft,909.272
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,1.041
Pond5Fish5_PondTime,32.699
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,302
Pond5Fish5_TimeLeft,902.591
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,gray
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,1.022
Pond5Fish6_PondTime,39.701
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,304
Pond5Fish6_TimeLeft,895.589
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.241
Pond5Fish7_PondTime,47.094
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,316
Pond5Fish7_TimeLeft,888.195
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.838
Pond5Fish8_PondTime,54.935
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,328
Pond5Fish8_TimeLeft,880.355
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.074
Pond5Fish9_PondTime,63.317
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,340
Pond5Fish9_TimeLeft,871.973
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.708
Pond5Fish10_PondTime,72.368
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,352
Pond5Fish10_TimeLeft,862.922
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,0.941
Pond5Fish11_PondTime,82.263
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,364
Pond5Fish11_TimeLeft,853.027
Type,RD
FishN,14
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.081
