,5e1d924e8e5af50f53dba287
Pond9Fish12_PondOutcome,134
Pond9Fish12_TotalOutcome,934
Pond9Fish12_TimeLeft,203.256
Type,RD
FishN,18
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.326
Pond9Fish13_PondTime,105.349
Pond9Fish13_PondOutcome,146
Pond9Fish13_TotalOutcome,946
Pond9Fish13_TimeLeft,190.886
Type,RD
FishN,18
Fish,14
Pond9Fish14_FishType,blue
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.348
Pond9Fish14_PondTime,119.721
Pond9Fish14_PondOutcome,158
Pond9Fish14_TotalOutcome,958
Pond9Fish14_TimeLeft,176.514
Type,RD
FishN,18
Fish,15
Pond9Fish15_FishType,blue
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.83
Pond9Fish15_PondTime,137.222
Pond9Fish15_PondOutcome,170
Pond9Fish15_TotalOutcome,970
Pond9Fish15_TimeLeft,159.013
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,17.193
PondTime,154.313
TimeLeft,141.418
PondOutcome,170
TotalOutcome,970
PondStart,PondStart
PondIntroTime,13.454770501703024
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,gray
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.853
Pond5Fish1_PondTime,8.727
Pond5Fish1_PondOutcome,2
Pond5Fish1_TotalOutcome,972
Pond5Fish1_TimeLeft,118.613
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,1.264
Pond5Fish2_PondTime,15.707
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,984
Pond5Fish2_TimeLeft,111.633
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.428
Pond5Fish3_PondTime,23.066
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,996
Pond5Fish3_TimeLeft,104.274
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,gray
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,1.251
Pond5Fish4_PondTime,30.895
Pond5Fish4_PondOutcome,28
Pond5Fish4_TotalOutcome,998
Pond5Fish4_TimeLeft,96.444
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,1.158
Pond5Fish5_PondTime,39.254
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,1010
Pond5Fish5_TimeLeft,88.086
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,1.278
Pond5Fish6_PondTime,48.281
Pond5Fish6_PondOutcome,52
Pond5Fish6_TotalOutcome,1022
Pond5Fish6_TimeLeft,79.059
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,1.435
Pond5Fish7_PondTime,58.138
Pond5Fish7_PondOutcome,64
Pond5Fish7_TotalOutcome,1034
Pond5Fish7_TimeLeft,69.202
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,1.821
Pond5Fish8_PondTime,69.209
Pond5Fish8_PondOutcome,76
Pond5Fish8_TotalOutcome,1046
Pond5Fish8_TimeLeft,58.13
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,1.402
Pond5Fish9_PondTime,81.572
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,1058
Pond5Fish9_TimeLeft,45.768
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,1.662
Pond5Fish10_PondTime,95.942
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,1070
Pond5Fish10_TimeLeft,31.398
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,12
Pond5Fish11_CatchTime,1.159
Pond5Fish11_PondTime,113.31
Pond5Fish11_PondOutcome,112
Pond5Fish11_TotalOutcome,1082
Pond5Fish11_TimeLeft,14.03
