,5b49d3a519f8e70001b7df02
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.818
Pond9Fish8_PondTime,55
Pond9Fish8_PondOutcome,66
Pond9Fish8_TotalOutcome,922
Pond9Fish8_TimeLeft,229.497
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.944
Pond9Fish9_PondTime,63.377
Pond9Fish9_PondOutcome,78
Pond9Fish9_TotalOutcome,934
Pond9Fish9_TimeLeft,221.12
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.093
Pond9Fish10_PondTime,72.443
Pond9Fish10_PondOutcome,90
Pond9Fish10_TotalOutcome,946
Pond9Fish10_TimeLeft,212.054
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.968
Pond9Fish11_PondTime,82.318
Pond9Fish11_PondOutcome,102
Pond9Fish11_TotalOutcome,958
Pond9Fish11_TimeLeft,202.179
Type,RD
FishN,18
Fish,12
Pond9Fish12_FishType,gray
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.139
Pond9Fish12_PondTime,93.317
Pond9Fish12_PondOutcome,104
Pond9Fish12_TotalOutcome,960
Pond9Fish12_TimeLeft,191.18
Type,RD
FishN,18
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.064
Pond9Fish13_PondTime,105.695
Pond9Fish13_PondOutcome,116
Pond9Fish13_TotalOutcome,972
Pond9Fish13_TimeLeft,178.802
Type,RD
FishN,18
Fish,14
Pond9Fish14_FishType,blue
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,0.712
Pond9Fish14_PondTime,120.103
Pond9Fish14_PondOutcome,128
Pond9Fish14_TotalOutcome,984
Pond9Fish14_TimeLeft,164.394
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,0.678
PondTime,137.226
TimeLeft,146.767
PondOutcome,128
TotalOutcome,984
PondStart,PondStart
PondIntroTime,14.340548350010067
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.194
Pond12Fish1_PondTime,9.293
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,996
Pond12Fish1_TimeLeft,122.5
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.069
Pond12Fish2_PondTime,17.124
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,1008
Pond12Fish2_TimeLeft,114.669
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.971
Pond12Fish3_PondTime,25.509
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,1020
Pond12Fish3_TimeLeft,106.284
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.345
Pond12Fish4_PondTime,34.546
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,1032
Pond12Fish4_TimeLeft,97.247
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.044
Pond12Fish5_PondTime,44.412
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,1044
Pond12Fish5_TimeLeft,87.381
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.132
Pond12Fish6_PondTime,55.355
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,1056
Pond12Fish6_TimeLeft,76.438
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.135
Pond12Fish7_PondTime,67.757
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,1068
Pond12Fish7_TimeLeft,64.036
PondEnd_LastFish,7
FishN,13
Type,RD
GiveUpTime,0.474
PondTime,81.666
TimeLeft,49.625
PondOutcome,84
TotalOutcome,1068
PondStart,PondStart
PondIntroTime,11.195850560907274
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.97
Pond2Fish1_PondTime,9.777
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,1080
Pond2Fish1_TimeLeft,28.014
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.928
Pond2Fish2_PondTime,18.164
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,1092
Pond2Fish2_TimeLeft,19.627
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,gray
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.165
Pond2Fish3_PondTime,27.206
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,1094
Pond2Fish3_TimeLeft,10.585
