,5b49d3a519f8e70001b7df02
Pond6Fish2_TimeLeft,1037.004
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.039
Pond6Fish3_PondTime,27.181
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,170
Pond6Fish3_TimeLeft,1027.962
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.9
Pond6Fish4_PondTime,37.079
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,182
Pond6Fish4_TimeLeft,1018.064
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.054
Pond6Fish5_PondTime,48.059
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,194
Pond6Fish5_TimeLeft,1007.083
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.099
Pond6Fish6_PondTime,60.449
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,206
Pond6Fish6_TimeLeft,994.694
PondEnd_LastFish,6
FishN,12
Type,RD
GiveUpTime,1.292
PondTime,61.038
TimeLeft,993.603
PondOutcome,62
TotalOutcome,206
PondStart,PondStart
PondIntroTime,11.307200631126761
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.313
Pond10Fish1_PondTime,8.317
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,218
Pond10Fish1_TimeLeft,973.352
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.166
Pond10Fish2_PondTime,14.996
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,230
Pond10Fish2_TimeLeft,966.673
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,1.108
Pond10Fish3_PondTime,21.982
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,242
Pond10Fish3_TimeLeft,959.687
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,1.436
Pond10Fish4_PondTime,29.379
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,254
Pond10Fish4_TimeLeft,952.29
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,1.027
Pond10Fish5_PondTime,37.209
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,266
Pond10Fish5_TimeLeft,944.46
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.01
Pond10Fish6_PondTime,45.603
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,278
Pond10Fish6_TimeLeft,936.066
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,1.44
Pond10Fish7_PondTime,54.645
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,290
Pond10Fish7_TimeLeft,927.024
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.012
Pond10Fish8_PondTime,64.533
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,302
Pond10Fish8_TimeLeft,917.136
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.039
Pond10Fish9_PondTime,75.493
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,314
Pond10Fish9_TimeLeft,906.176
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,0.957
Pond10Fish10_PondTime,87.872
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,326
Pond10Fish10_TimeLeft,893.797
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,0.458
PondTime,102.118
TimeLeft,879.047
PondOutcome,120
TotalOutcome,326
PondStart,PondStart
PondIntroTime,11.556304458063096
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.077
Pond3Fish1_PondTime,8.29
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,338
Pond3Fish1_TimeLeft,858.558
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.373
Pond3Fish2_PondTime,14.947
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,350
Pond3Fish2_TimeLeft,851.901
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.123
Pond3Fish3_PondTime,21.94
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,362
Pond3Fish3_TimeLeft,844.908
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.959
Pond3Fish4_PondTime,29.32
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,374
Pond3Fish4_TimeLeft,837.528
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.218
Pond3Fish5_PondTime,37.155
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,386
Pond3Fish5_TimeLeft,829.693
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.025
Pond3Fish6_PondTime,45.548
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,398
Pond3Fish6_TimeLeft,821.3
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,gray
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.261
Pond3Fish7_PondTime,54.614
