,5de2dfc5a6653131de675189
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.944
Pond11Fish3_PondTime,21.999
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,172
Pond11Fish3_TimeLeft,1055.48
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.021
Pond11Fish4_PondTime,29.37
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,184
Pond11Fish4_TimeLeft,1048.109
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.935
Pond11Fish5_PondTime,37.241
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,196
Pond11Fish5_TimeLeft,1040.239
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.933
Pond11Fish6_PondTime,45.62
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,208
Pond11Fish6_TimeLeft,1031.86
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.935
Pond11Fish7_PondTime,54.699
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,220
Pond11Fish7_TimeLeft,1022.781
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,0.974
Pond11Fish8_PondTime,64.606
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,232
Pond11Fish8_TimeLeft,1012.873
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,1.136
Pond11Fish9_PondTime,75.549
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,244
Pond11Fish9_TimeLeft,1001.931
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,gray
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,0.899
Pond11Fish10_PondTime,87.925
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,246
Pond11Fish10_TimeLeft,989.555
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,9.26
PondTime,96.278
TimeLeft,980.696
PondOutcome,110
TotalOutcome,246
PondStart,PondStart
PondIntroTime,15.181366533506662
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.118
Pond6Fish1_PondTime,8.935
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,258
Pond6Fish1_TimeLeft,955.956
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.129
Pond6Fish2_PondTime,16.315
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,270
Pond6Fish2_TimeLeft,948.577
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.191
Pond6Fish3_PondTime,24.172
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,282
Pond6Fish3_TimeLeft,940.719
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.226
Pond6Fish4_PondTime,32.546
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,294
Pond6Fish4_TimeLeft,932.345
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,gray
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.163
Pond6Fish5_PondTime,41.615
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,296
Pond6Fish5_TimeLeft,923.276
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.061
Pond6Fish6_PondTime,51.489
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,308
Pond6Fish6_TimeLeft,913.403
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.174
Pond6Fish7_PondTime,62.432
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,320
Pond6Fish7_TimeLeft,902.459
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.115
Pond6Fish8_PondTime,74.809
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,332
Pond6Fish8_TimeLeft,890.083
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,1.101
Pond6Fish9_PondTime,89.187
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,344
Pond6Fish9_TimeLeft,875.705
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,1.264
Pond6Fish10_PondTime,106.561
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,356
Pond6Fish10_TimeLeft,858.331
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,0.697
PondTime,106.715
TimeLeft,857.669
PondOutcome,110
TotalOutcome,356
PondStart,PondStart
PondIntroTime,19.700944125652313
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.169
Pond10Fish1_PondTime,7.62
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,368
Pond10Fish1_TimeLeft,829.716
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.074
Pond10Fish2_PondTime,13.528
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,380
Pond10Fish2_TimeLeft,823.809
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.571
Pond10Fish3_PondTime,19.652
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,392
Pond10Fish3_TimeLeft,817.685
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.977
Pond10Fish4_PondTime,26.017
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,404
Pond10Fish4_TimeLeft,811.32
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.933
Pond10Fish5_PondTime,32.726
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,416
Pond10Fish5_TimeLeft,804.611
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.029
Pond10Fish6_PondTime,39.732
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,428
Pond10Fish6_TimeLeft,797.604
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.013
Pond10Fish7_PondTime,47.105
