,5de6547d1017855bbe3622cb
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,1.05
Pond9Fish9_PondTime,66.479
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,182
Pond9Fish9_TimeLeft,1068.561
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,gray
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,1.507
Pond9Fish10_PondTime,76.343
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,184
Pond9Fish10_TimeLeft,1058.697
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,1.249
Pond9Fish11_PondTime,87.272
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,196
Pond9Fish11_TimeLeft,1047.768
PondEnd_LastFish,11
FishN,18
Type,RD
GiveUpTime,0.782
PondTime,99.481
TimeLeft,1035.057
PondOutcome,122
TotalOutcome,196
PondStart,PondStart
PondIntroTime,15.813222546130419
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.092
Pond4Fish1_PondTime,8.566
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,208
Pond4Fish1_TimeLeft,1010.03
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.053
Pond4Fish2_PondTime,15.546
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,220
Pond4Fish2_TimeLeft,1003.05
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.073
Pond4Fish3_PondTime,22.912
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,232
Pond4Fish3_TimeLeft,995.684
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.94
Pond4Fish4_PondTime,30.726
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,244
Pond4Fish4_TimeLeft,987.87
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,0.816
Pond4Fish5_PondTime,39.09
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,256
Pond4Fish5_TimeLeft,979.506
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,0.814
Pond4Fish6_PondTime,48.118
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,268
Pond4Fish6_TimeLeft,970.478
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,0.897
Pond4Fish7_PondTime,57.984
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,280
Pond4Fish7_TimeLeft,960.612
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,0.913
Pond4Fish8_PondTime,68.912
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,292
Pond4Fish8_TimeLeft,949.684
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,1.116
Pond4Fish9_PondTime,81.275
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,304
Pond4Fish9_TimeLeft,937.321
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,0.769
Pond4Fish10_PondTime,95.635
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,316
Pond4Fish10_TimeLeft,922.961
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,0.755
PondTime,112.717
TimeLeft,905.377
PondOutcome,120
TotalOutcome,316
PondStart,PondStart
PondIntroTime,13.079888911452144
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.953
Pond3Fish1_PondTime,9.733
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,328
Pond3Fish1_TimeLeft,881.921
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.111
Pond3Fish2_PondTime,18.095
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,340
Pond3Fish2_TimeLeft,873.558
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.017
Pond3Fish3_PondTime,27.125
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,352
Pond3Fish3_TimeLeft,864.529
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.069
Pond3Fish4_PondTime,36.989
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,364
Pond3Fish4_TimeLeft,854.665
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,0.969
Pond3Fish5_PondTime,47.919
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,376
Pond3Fish5_TimeLeft,843.735
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,0.938
Pond3Fish6_PondTime,60.282
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,388
Pond3Fish6_TimeLeft,831.372
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,1.094
Pond3Fish7_PondTime,74.642
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,400
Pond3Fish7_TimeLeft,817.012
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,1.411
Pond3Fish8_PondTime,92.003
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,412
Pond3Fish8_TimeLeft,799.651
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,0.793
PondTime,114.304
TimeLeft,776.848
PondOutcome,96
TotalOutcome,412
PondStart,PondStart
PondIntroTime,16.85478894971311
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,8.347
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,424
Pond5Fish1_TimeLeft,751.017
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.867
Pond5Fish2_PondTime,14.996
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,436
Pond5Fish2_TimeLeft,744.368
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.878
Pond5Fish3_PondTime,21.975
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,448
Pond5Fish3_TimeLeft,737.389
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,1.114
Pond5Fish4_PondTime,29.342
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,460
Pond5Fish4_TimeLeft,730.022
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,gray
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.262
Pond5Fish5_PondTime,37.154
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,462
Pond5Fish5_TimeLeft,722.21
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.01
Pond5Fish6_PondTime,45.518
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,474
Pond5Fish6_TimeLeft,713.846
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,0.724
Pond5Fish7_PondTime,54.548
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,486
Pond5Fish7_TimeLeft,704.816
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.922
Pond5Fish8_PondTime,64.413
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,498
Pond5Fish8_TimeLeft,694.95
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,1.202
Pond5Fish9_PondTime,75.341
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,510
Pond5Fish9_TimeLeft,684.023
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.972
Pond5Fish10_PondTime,87.706
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,522
Pond5Fish10_TimeLeft,671.658
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,1.263
PondTime,88.15
TimeLeft,670.712
PondOutcome,110
TotalOutcome,522
PondStart,PondStart
PondIntroTime,18.741093343123794
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.904
Pond12Fish1_PondTime,8.017
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,534
Pond12Fish1_TimeLeft,643.334
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,0.865
Pond12Fish2_PondTime,14.379
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,546
Pond12Fish2_TimeLeft,636.972
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,0.893
Pond12Fish3_PondTime,21.029
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,558
Pond12Fish3_TimeLeft,630.322
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.978
Pond12Fish4_PondTime,28.291
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,570
Pond12Fish4_TimeLeft,623.06
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,0.898
Pond12Fish5_PondTime,35.656
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,582
Pond12Fish5_TimeLeft,615.695
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.613
Pond12Fish6_PondTime,43.471
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,594
Pond12Fish6_TimeLeft,607.88
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,gray
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,0.946
Pond12Fish7_PondTime,51.835
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,596
Pond12Fish7_TimeLeft,599.516
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.706
Pond12Fish8_PondTime,60.867
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,608
Pond12Fish8_TimeLeft,590.484
