,5d3dfdff5b68280016063ee7
Pond12Fish13_PondTime,105.287
Pond12Fish13_PondOutcome,146
Pond12Fish13_TotalOutcome,932
Pond12Fish13_TimeLeft,223.23
Type,RD
FishN,15
Fish,14
Pond12Fish14_FishType,blue
Pond12Fish14_FishLatency,10
Pond12Fish14_CatchTime,0.864
Pond12Fish14_PondTime,119.653
Pond12Fish14_PondOutcome,158
Pond12Fish14_TotalOutcome,944
Pond12Fish14_TimeLeft,208.864
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,1.882
PondTime,120.599
TimeLeft,207.415
PondOutcome,158
TotalOutcome,944
PondStart,PondStart
PondIntroTime,16.369508504867554
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.606
Pond3Fish1_PondTime,8.557
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,956
Pond3Fish1_TimeLeft,181.872
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,1.201
Pond3Fish2_PondTime,15.531
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,968
Pond3Fish2_TimeLeft,174.898
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.012
Pond3Fish3_PondTime,22.889
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,980
Pond3Fish3_TimeLeft,167.54
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,0.955
Pond3Fish4_PondTime,30.713
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,992
Pond3Fish4_TimeLeft,159.716
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,0.925
Pond3Fish5_PondTime,39.073
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,1004
Pond3Fish5_TimeLeft,151.356
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,1.028
Pond3Fish6_PondTime,48.096
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,1016
Pond3Fish6_TimeLeft,142.333
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,1.032
Pond3Fish7_PondTime,57.959
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,1028
Pond3Fish7_TimeLeft,132.47
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.095
Pond3Fish8_PondTime,68.885
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,1040
Pond3Fish8_TimeLeft,121.544
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,gray
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,1.021
Pond3Fish9_PondTime,81.247
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,1042
Pond3Fish9_TimeLeft,109.182
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,0.714
Pond3Fish10_PondTime,95.611
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,1054
Pond3Fish10_TimeLeft,94.818
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,12
Pond3Fish11_CatchTime,1.386
Pond3Fish11_PondTime,112.978
Pond3Fish11_PondOutcome,122
Pond3Fish11_TotalOutcome,1066
Pond3Fish11_TimeLeft,77.45
Type,RD
FishN,15
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,15
Pond3Fish12_CatchTime,0.989
Pond3Fish12_PondTime,135.333
Pond3Fish12_PondOutcome,134
Pond3Fish12_TotalOutcome,1078
Pond3Fish12_TimeLeft,55.095
Type,RD
FishN,15
Fish,13
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,20
Pond3Fish13_CatchTime,1.384
Pond3Fish13_PondTime,167.698
Pond3Fish13_PondOutcome,146
Pond3Fish13_TotalOutcome,1090
Pond3Fish13_TimeLeft,22.731
PondEnd_LastFish,13
FishN,15
Type,RD
GiveUpTime,1.38
PondTime,168.662
TimeLeft,21.264
PondOutcome,146
TotalOutcome,1090
PondStart,PondStart
PondIntroTime,16.992542315274477
