,5d40d474037fb000013a2b83
Pond9Fish5_TimeLeft,1051.512
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.009
Pond9Fish6_PondTime,60.398
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,170
Pond9Fish6_TimeLeft,1039.132
PondEnd_LastFish,6
FishN,12
Type,RD
GiveUpTime,1.243
PondTime,60.847
TimeLeft,1038.18
PondOutcome,72
TotalOutcome,170
PondStart,PondStart
PondIntroTime,16.73434965312481
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,gray
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,0.863
Pond10Fish1_PondTime,9.3
Pond10Fish1_PondOutcome,2
Pond10Fish1_TotalOutcome,172
Pond10Fish1_TimeLeft,1011.522
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,0.638
Pond10Fish2_PondTime,17.15
Pond10Fish2_PondOutcome,14
Pond10Fish2_TotalOutcome,184
Pond10Fish2_TimeLeft,1003.672
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.677
Pond10Fish3_PondTime,25.53
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,196
Pond10Fish3_TimeLeft,995.292
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,0.811
Pond10Fish4_PondTime,34.599
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,208
Pond10Fish4_TimeLeft,986.223
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,gray
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.759
Pond10Fish5_PondTime,44.498
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,210
Pond10Fish5_TimeLeft,976.323
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,0.737
Pond10Fish6_PondTime,55.468
Pond10Fish6_PondOutcome,52
Pond10Fish6_TotalOutcome,222
Pond10Fish6_TimeLeft,965.354
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,0.887
Pond10Fish7_PondTime,67.849
Pond10Fish7_PondOutcome,64
Pond10Fish7_TotalOutcome,234
Pond10Fish7_TimeLeft,952.973
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,0.665
Pond10Fish8_PondTime,82.238
Pond10Fish8_PondOutcome,76
Pond10Fish8_TotalOutcome,246
Pond10Fish8_TimeLeft,938.584
PondEnd_LastFish,8
FishN,13
Type,RD
GiveUpTime,14.115
PondTime,95.201
TimeLeft,925.111
PondOutcome,76
TotalOutcome,246
PondStart,PondStart
PondIntroTime,18.707542843185365
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.771
Pond1Fish1_PondTime,9.286
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,258
Pond1Fish1_TimeLeft,896.478
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.634
Pond1Fish2_PondTime,17.133
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,270
Pond1Fish2_TimeLeft,888.63
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.881
Pond1Fish3_PondTime,25.515
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,282
Pond1Fish3_TimeLeft,880.248
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.784
Pond1Fish4_PondTime,34.585
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,294
Pond1Fish4_TimeLeft,871.179
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.713
Pond1Fish5_PondTime,44.487
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,306
Pond1Fish5_TimeLeft,861.277
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.723
Pond1Fish6_PondTime,55.445
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,318
Pond1Fish6_TimeLeft,850.319
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,0.731
Pond1Fish7_PondTime,67.854
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,330
Pond1Fish7_TimeLeft,837.91
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,0.722
Pond1Fish8_PondTime,82.254
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,342
Pond1Fish8_TimeLeft,823.51
PondEnd_LastFish,8
FishN,13
Type,RD
GiveUpTime,12.809
PondTime,93.981
TimeLeft,811.276
PondOutcome,96
TotalOutcome,342
PondStart,PondStart
PondIntroTime,18.15073181176558
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
