,5c762ce8eda5da001662be0b
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,818
Pond8Fish9_TimeLeft,290.502
PondEnd_LastFish,9
FishN,16
Type,RD
GiveUpTime,1.048
PondTime,75.428
TimeLeft,289.872
PondOutcome,98
TotalOutcome,818
PondStart,PondStart
PondIntroTime,11.63136440096423
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.826
Pond4Fish1_PondTime,8.032
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,830
Pond4Fish1_TimeLeft,269.571
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.772
Pond4Fish2_PondTime,14.397
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,842
Pond4Fish2_TimeLeft,263.205
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.695
Pond4Fish3_PondTime,21.049
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,854
Pond4Fish3_TimeLeft,256.554
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.686
Pond4Fish4_PondTime,28.03
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,866
Pond4Fish4_TimeLeft,249.573
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.863
Pond4Fish5_PondTime,35.394
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,878
Pond4Fish5_TimeLeft,242.209
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,1.268
Pond4Fish6_PondTime,43.212
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,890
Pond4Fish6_TimeLeft,234.391
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.58
Pond4Fish7_PondTime,51.577
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,902
Pond4Fish7_TimeLeft,226.026
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.623
Pond4Fish8_PondTime,60.612
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,914
Pond4Fish8_TimeLeft,216.991
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.884
Pond4Fish9_PondTime,70.477
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,926
Pond4Fish9_TimeLeft,207.126
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,0.837
Pond4Fish10_PondTime,81.408
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,938
Pond4Fish10_TimeLeft,196.195
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,0.665
Pond4Fish11_PondTime,93.776
Pond4Fish11_PondOutcome,132
Pond4Fish11_TotalOutcome,950
Pond4Fish11_TimeLeft,183.827
Type,RD
FishN,17
Fish,12
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,0.8
Pond4Fish12_PondTime,108.142
Pond4Fish12_PondOutcome,144
Pond4Fish12_TotalOutcome,962
Pond4Fish12_TimeLeft,169.461
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,0.774
PondTime,125.181
TimeLeft,151.911
PondOutcome,144
TotalOutcome,962
PondStart,PondStart
PondIntroTime,18.692770863417536
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.722
Pond5Fish1_PondTime,8.279
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,974
Pond5Fish1_TimeLeft,124.314
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.78
Pond5Fish2_PondTime,14.928
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,986
Pond5Fish2_TimeLeft,117.665
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.655
Pond5Fish3_PondTime,21.911
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,998
Pond5Fish3_TimeLeft,110.682
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.612
Pond5Fish4_PondTime,29.278
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,1010
Pond5Fish4_TimeLeft,103.315
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.805
Pond5Fish5_PondTime,37.094
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,1022
Pond5Fish5_TimeLeft,95.499
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,gray
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,0.855
Pond5Fish6_PondTime,45.459
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,1024
Pond5Fish6_TimeLeft,87.133
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,0.666
Pond5Fish7_PondTime,54.492
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,1036
Pond5Fish7_TimeLeft,78.101
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,gray
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.93
Pond5Fish8_PondTime,64.36
Pond5Fish8_PondOutcome,76
Pond5Fish8_TotalOutcome,1038
Pond5Fish8_TimeLeft,68.233
PondEnd_LastFish,8
FishN,16
Type,RD
GiveUpTime,0.622
PondTime,74.945
TimeLeft,57.144
PondOutcome,76
TotalOutcome,1038
PondStart,PondStart
PondIntroTime,18.358445439953357
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,gray
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.012
Pond10Fish1_PondTime,7.8
Pond10Fish1_PondOutcome,2
Pond10Fish1_TotalOutcome,1040
Pond10Fish1_TimeLeft,30.369
PondEnd_LastFish,1
FishN,18
Type,RD
GiveUpTime,0.651
PondTime,13.432
TimeLeft,24.235
PondOutcome,2
TotalOutcome,1040
PondStart,PondStart
PondIntroTime,13.569271492306143
