,5d02ba68604711000157c04e
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.492
Pond11Fish8_PondTime,64.724
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,192
Pond11Fish8_TimeLeft,1039.597
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,1.453
Pond11Fish9_PondTime,75.725
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,204
Pond11Fish9_TimeLeft,1028.596
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,1.1
Pond11Fish10_PondTime,88.128
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,216
Pond11Fish10_TimeLeft,1016.193
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.498
Pond11Fish11_PondTime,102.526
Pond11Fish11_PondOutcome,132
Pond11Fish11_TotalOutcome,228
Pond11Fish11_TimeLeft,1001.795
Type,RD
FishN,16
Fish,12
Pond11Fish12_FishType,gray
Pond11Fish12_FishLatency,12
Pond11Fish12_CatchTime,1.872
Pond11Fish12_PondTime,120.12
Pond11Fish12_PondOutcome,134
Pond11Fish12_TotalOutcome,230
Pond11Fish12_TimeLeft,984.2
PondEnd_LastFish,12
FishN,16
Type,RD
GiveUpTime,1.498
PondTime,121.499
TimeLeft,982.305
PondOutcome,134
TotalOutcome,230
PondStart,PondStart
PondIntroTime,16.021569359581918
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.46
Pond5Fish1_PondTime,8.963
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,242
Pond5Fish1_TimeLeft,956.569
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,gray
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.441
Pond5Fish2_PondTime,16.357
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,244
Pond5Fish2_TimeLeft,949.174
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.387
Pond5Fish3_PondTime,24.22
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,256
Pond5Fish3_TimeLeft,941.312
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.43
Pond5Fish4_PondTime,32.628
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,268
Pond5Fish4_TimeLeft,932.904
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.749
Pond5Fish5_PondTime,41.756
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,280
Pond5Fish5_TimeLeft,923.776
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.438
Pond5Fish6_PondTime,51.647
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,292
Pond5Fish6_TimeLeft,913.884
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.588
Pond5Fish7_PondTime,62.614
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,304
Pond5Fish7_TimeLeft,902.918
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,gray
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.556
Pond5Fish8_PondTime,75.017
Pond5Fish8_PondOutcome,76
Pond5Fish8_TotalOutcome,306
