,5d02ba68604711000157c04e
Pond1Fish7_FishType,gray
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.573
Pond1Fish7_PondTime,47.442
Pond1Fish7_PondOutcome,52
Pond1Fish7_TotalOutcome,936
Pond1Fish7_TimeLeft,289.944
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,1.371
Pond1Fish8_PondTime,55.321
Pond1Fish8_PondOutcome,64
Pond1Fish8_TotalOutcome,948
Pond1Fish8_TimeLeft,282.067
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,1.64
Pond1Fish9_PondTime,63.729
Pond1Fish9_PondOutcome,76
Pond1Fish9_TotalOutcome,960
Pond1Fish9_TimeLeft,273.658
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,1.359
Pond1Fish10_PondTime,72.792
Pond1Fish10_PondOutcome,88
Pond1Fish10_TotalOutcome,972
Pond1Fish10_TimeLeft,264.595
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,1.307
Pond1Fish11_PondTime,82.683
Pond1Fish11_PondOutcome,100
Pond1Fish11_TotalOutcome,984
Pond1Fish11_TimeLeft,254.704
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,1.664
Pond1Fish12_PondTime,93.651
Pond1Fish12_PondOutcome,112
Pond1Fish12_TotalOutcome,996
Pond1Fish12_TimeLeft,243.737
Type,RD
FishN,19
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,1.271
Pond1Fish13_PondTime,106.052
Pond1Fish13_PondOutcome,124
Pond1Fish13_TotalOutcome,1008
Pond1Fish13_TimeLeft,231.336
Type,RD
FishN,19
Fish,14
Pond1Fish14_FishType,blue
Pond1Fish14_FishLatency,10
Pond1Fish14_CatchTime,1.21
Pond1Fish14_PondTime,120.551
Pond1Fish14_PondOutcome,136
Pond1Fish14_TotalOutcome,1020
Pond1Fish14_TimeLeft,216.837
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,1.225
PondTime,121.166
TimeLeft,215.705
PondOutcome,136
TotalOutcome,1020
PondStart,PondStart
PondIntroTime,18.643533536233008
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.389
Pond8Fish1_PondTime,7.858
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,1032
Pond8Fish1_TimeLeft,188.483
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.449
Pond8Fish2_PondTime,14.004
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,1044
Pond8Fish2_TimeLeft,182.335
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.475
Pond8Fish3_PondTime,20.418
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,1056
Pond8Fish3_TimeLeft,175.922
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,2.063
Pond8Fish4_PondTime,27.174
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,1068
Pond8Fish4_TimeLeft,169.166
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,gray
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.659
Pond8Fish5_PondTime,34.211
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,1070
Pond8Fish5_TimeLeft,162.13
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.461
Pond8Fish6_PondTime,41.604
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,1082
Pond8Fish6_TimeLeft,154.736
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.443
Pond8Fish7_PondTime,49.467
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,1094
Pond8Fish7_TimeLeft,146.874
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,gray
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,1.38
Pond8Fish8_PondTime,57.86
Pond8Fish8_PondOutcome,76
Pond8Fish8_TotalOutcome,1096
Pond8Fish8_TimeLeft,138.481
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.284
Pond8Fish9_PondTime,66.923
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,1108
Pond8Fish9_TimeLeft,129.418
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.627
Pond8Fish10_PondTime,76.877
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,1120
Pond8Fish10_TimeLeft,119.462
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,1.307
Pond8Fish11_PondTime,87.86
Pond8Fish11_PondOutcome,112
Pond8Fish11_TotalOutcome,1132
Pond8Fish11_TimeLeft,108.48
Type,RD
FishN,12
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,1.381
Pond8Fish12_PondTime,100.26
Pond8Fish12_PondOutcome,124
Pond8Fish12_TotalOutcome,1144
Pond8Fish12_TimeLeft,96.079
Type,RD
FishN,12
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,1.449
Pond8Fish13_PondTime,114.672
Pond8Fish13_PondOutcome,136
Pond8Fish13_TotalOutcome,1156
Pond8Fish13_TimeLeft,81.668
PondEnd_LastFish,13
FishN,18
Type,RD
GiveUpTime,1.169
PondTime,115.507
TimeLeft,80.318
PondOutcome,136
TotalOutcome,1156
PondStart,PondStart
PondIntroTime,10.163853757549077
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.559
Pond3Fish1_PondTime,8.948
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,1168
Pond3Fish1_TimeLeft,60.413
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.359
Pond3Fish2_PondTime,16.357
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,1180
Pond3Fish2_TimeLeft,53.005
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.36
Pond3Fish3_PondTime,24.252
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,1192
Pond3Fish3_TimeLeft,45.11
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.378
Pond3Fish4_PondTime,32.643
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,1204
Pond3Fish4_TimeLeft,36.718
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.33
Pond3Fish5_PondTime,41.707
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,1216
Pond3Fish5_TimeLeft,27.654
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.594
Pond3Fish6_PondTime,51.6
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,1228
Pond3Fish6_TimeLeft,17.761
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,gray
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.601
Pond3Fish7_PondTime,62.583
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,1230
Pond3Fish7_TimeLeft,6.779
