,5c4e3248ad466000019166df
Pond5Fish6_CatchTime,1.036
Pond5Fish6_PondTime,60.288
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,946
Pond5Fish6_TimeLeft,135.563
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,1.098
Pond5Fish7_PondTime,74.642
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,958
Pond5Fish7_TimeLeft,121.209
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,1.149
Pond5Fish8_PondTime,92.017
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,970
Pond5Fish8_TimeLeft,103.834
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,15
Pond5Fish9_CatchTime,1.285
Pond5Fish9_PondTime,114.381
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,982
Pond5Fish9_TimeLeft,81.47
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,20
Pond5Fish10_CatchTime,0.973
Pond5Fish10_PondTime,146.758
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,994
Pond5Fish10_TimeLeft,49.093
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,0.948
PondTime,146.878
TimeLeft,48.47
PondOutcome,120
TotalOutcome,994
PondStart,PondStart
PondIntroTime,11.827486869879067
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.858
Pond2Fish1_PondTime,7.617
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,1006
Pond2Fish1_TimeLeft,28.396
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,0.916
Pond2Fish2_PondTime,13.506
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,1018
Pond2Fish2_TimeLeft,22.507
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.876
Pond2Fish3_PondTime,19.626
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,1030
Pond2Fish3_TimeLeft,16.387
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.073
Pond2Fish4_PondTime,25.988
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,1042
Pond2Fish4_TimeLeft,10.025
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.721
Pond2Fish5_PondTime,32.652
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,1054
Pond2Fish5_TimeLeft,3.361
