,580241d0279ffd000124e3e3
PondEnd_LastFish,16
FishN,19
Type,RD
GiveUpTime,25.749
PondTime,184.344
TimeLeft,1017.549
PondOutcome,160
TotalOutcome,160
PondStart,PondStart
PondIntroTime,16.47548204055056
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,0.641
Pond4Fish1_PondTime,7.8
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,172
Pond4Fish1_TimeLeft,992.65
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,0.94
Pond4Fish2_PondTime,13.916
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,184
Pond4Fish2_TimeLeft,986.534
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,0.74
Pond4Fish3_PondTime,20.285
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,196
Pond4Fish3_TimeLeft,980.165
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.907
Pond4Fish4_PondTime,26.94
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,208
Pond4Fish4_TimeLeft,973.507
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,0.957
Pond4Fish5_PondTime,33.919
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,220
Pond4Fish5_TimeLeft,966.531
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,0.837
Pond4Fish6_PondTime,41.285
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,232
Pond4Fish6_TimeLeft,959.165
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,0.741
Pond4Fish7_PondTime,49.102
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,244
Pond4Fish7_TimeLeft,951.348
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,1.029
Pond4Fish8_PondTime,57.469
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,256
Pond4Fish8_TimeLeft,942.981
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,1.036
Pond4Fish9_PondTime,66.505
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,268
Pond4Fish9_TimeLeft,933.945
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,gray
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,0.91
Pond4Fish10_PondTime,76.435
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,270
Pond4Fish10_TimeLeft,924.015
Type,RD
FishN,17
Fish,11
