,5bf003ccaf38d100016bb945
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.591
Pond3Fish6_PondTime,51.515
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,182
Pond3Fish6_TimeLeft,1027.451
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.83
Pond3Fish7_PondTime,62.476
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,194
Pond3Fish7_TimeLeft,1016.49
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.154
Pond3Fish8_PondTime,74.881
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,206
Pond3Fish8_TimeLeft,1004.085
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,0.977
Pond3Fish9_PondTime,89.271
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,218
Pond3Fish9_TimeLeft,989.695
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,0.955
Pond3Fish10_PondTime,106.658
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,230
Pond3Fish10_TimeLeft,972.308
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,1.548
PondTime,107.355
TimeLeft,971.106
PondOutcome,120
TotalOutcome,230
PondStart,PondStart
PondIntroTime,18.41722578043118
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.784
Pond1Fish1_PondTime,7.828
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,242
Pond1Fish1_TimeLeft,944.225
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.627
Pond1Fish2_PondTime,13.97
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,254
Pond1Fish2_TimeLeft,938.084
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.835
Pond1Fish3_PondTime,20.36
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,266
Pond1Fish3_TimeLeft,931.693
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,gray
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.925
Pond1Fish4_PondTime,27.047
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,268
Pond1Fish4_TimeLeft,925.006
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.718
Pond1Fish5_PondTime,34.064
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,280
Pond1Fish5_TimeLeft,917.99
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.843
Pond1Fish6_PondTime,41.454
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,292
Pond1Fish6_TimeLeft,910.6
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5
