,5d3f689ff771700001843d43
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.065
Pond1Fish6_PondTime,60.28
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,882
Pond1Fish6_TimeLeft,147.751
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.166
Pond1Fish7_PondTime,74.643
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,894
Pond1Fish7_TimeLeft,133.388
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,0.732
PondTime,74.741
TimeLeft,132.788
PondOutcome,74
TotalOutcome,894
PondStart,PondStart
PondIntroTime,19.364880251232535
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,0.959
Pond12Fish1_PondTime,8.898
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,906
Pond12Fish1_TimeLeft,103.879
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.206
Pond12Fish2_PondTime,16.262
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,918
Pond12Fish2_TimeLeft,96.515
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,0.925
Pond12Fish3_PondTime,24.077
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,930
Pond12Fish3_TimeLeft,88.699
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.85
Pond12Fish4_PondTime,32.442
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,942
Pond12Fish4_TimeLeft,80.335
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,1.169
Pond12Fish5_PondTime,41.473
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,954
Pond12Fish5_TimeLeft,71.304
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,-1
Pond12Fish6_PondTime,51.4
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,954
Pond12Fish6_TimeLeft,61.377
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.108
Pond12Fish7_PondTime,62.333
Pond12Fish7_PondOutcome,72
Pond12Fish7_TotalOutcome,966
Pond12Fish7_TimeLeft,50.444
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,1.001
Pond12Fish8_PondTime,74.696
Pond12Fish8_PondOutcome,84
Pond12Fish8_TotalOutcome,978
Pond12Fish8_TimeLeft,38.081
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,1.308
Pond12Fish9_PondTime,89.057
Pond12Fish9_PondOutcome,96
Pond12Fish9_TotalOutcome,990
Pond12Fish9_TimeLeft,23.72
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,12
Pond12Fish10_CatchTime,1.2
Pond12Fish10_PondTime,106.42
Pond12Fish10_PondOutcome,108
Pond12Fish10_TotalOutcome,1002
Pond12Fish10_TimeLeft,6.357
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,0.797
PondTime,106.629
TimeLeft,5.645
PondOutcome,108
TotalOutcome,1002
PondStart,PondStart
PondIntroTime,18.288822923786938
