,5d72bccf93a94500013ea39f
Pond7Fish12_CatchTime,0.774
Pond7Fish12_PondTime,108.343
Pond7Fish12_PondOutcome,134
Pond7Fish12_TotalOutcome,270
Pond7Fish12_TimeLeft,968.55
Type,RD
FishN,18
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,0.92
Pond7Fish13_PondTime,125.709
Pond7Fish13_PondOutcome,146
Pond7Fish13_TotalOutcome,282
Pond7Fish13_TimeLeft,951.184
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,20.807
PondTime,145.645
TimeLeft,930.745
PondOutcome,146
TotalOutcome,282
PondStart,PondStart
PondIntroTime,17.195396416354924
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,2.023
Pond10Fish1_PondTime,8.094
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,294
Pond10Fish1_TimeLeft,904.832
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.196
Pond10Fish2_PondTime,14.456
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,306
Pond10Fish2_TimeLeft,898.47
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,gray
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,-1
Pond10Fish3_PondTime,21.163
Pond10Fish3_PondOutcome,24
Pond10Fish3_TotalOutcome,306
Pond10Fish3_TimeLeft,891.763
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.567
Pond10Fish4_PondTime,28.142
Pond10Fish4_PondOutcome,36
Pond10Fish4_TotalOutcome,318
Pond10Fish4_TimeLeft,884.783
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.934
Pond10Fish5_PondTime,35.503
Pond10Fish5_PondOutcome,48
Pond10Fish5_TotalOutcome,330
Pond10Fish5_TimeLeft,877.423
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.989
Pond10Fish6_PondTime,43.327
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,342
Pond10Fish6_TimeLeft,869.599
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.646
Pond10Fish7_PondTime,51.685
Pond10Fish7_PondOutcome,72
Pond10Fish7_TotalOutcome,354
Pond10Fish7_TimeLeft,861.241
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.854
Pond10Fish8_PondTime,60.71
Pond10Fish8_PondOutcome,84
Pond10Fish8_TotalOutcome,366
Pond10Fish8_TimeLeft,852.216
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.366
Pond10Fish9_PondTime,70.567
Pond10Fish9_PondOutcome,96
Pond10Fish9_TotalOutcome,378
Pond10Fish9_TimeLeft,842.358
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,-1
Pond10Fish10_PondTime,81.57
Pond10Fish10_PondOutcome,96
Pond10Fish10_TotalOutcome,378
Pond10Fish10_TimeLeft,831.356
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.469
Pond10Fish11_PondTime,93.928
Pond10Fish11_PondOutcome,108
Pond10Fish11_TotalOutcome,390
Pond10Fish11_TimeLeft,818.998
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.124
Pond10Fish12_PondTime,108.297
Pond10Fish12_PondOutcome,120
Pond10Fish12_TotalOutcome,402
Pond10Fish12_TimeLeft,804.629
Type,RD
FishN,12
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,1.325
Pond10Fish13_PondTime,125.664
Pond10Fish13_PondOutcome,132
Pond10Fish13_TotalOutcome,414
Pond10Fish13_TimeLeft,787.262
Type,RD
FishN,12
Fish,14
Pond10Fish14_FishType,blue
Pond10Fish14_FishLatency,15
Pond10Fish14_CatchTime,-1
Pond10Fish14_PondTime,148.087
Pond10Fish14_PondOutcome,132
Pond10Fish14_TotalOutcome,414
Pond10Fish14_TimeLeft,764.839
PondEnd_LastFish,14
FishN,17
Type,RD
GiveUpTime,48.117
PondTime,173.31
TimeLeft,739.114
PondOutcome,132
TotalOutcome,414
PondStart,PondStart
PondIntroTime,11.099908198229969
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.994
Pond4Fish1_PondTime,8.03
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,426
Pond4Fish1_TimeLeft,719.347
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.938
Pond4Fish2_PondTime,14.39
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,438
Pond4Fish2_TimeLeft,712.987
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.733
Pond4Fish3_PondTime,21.034
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,450
Pond4Fish3_TimeLeft,706.343
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,1.965
Pond4Fish4_PondTime,28.291
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,462
Pond4Fish4_TimeLeft,699.086
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,1.922
Pond4Fish5_PondTime,35.884
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,464
Pond4Fish5_TimeLeft,691.493
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,1.033
Pond4Fish6_PondTime,43.695
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,476
Pond4Fish6_TimeLeft,683.682
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,-1
Pond4Fish7_PondTime,52.116
Pond4Fish7_PondOutcome,62
Pond4Fish7_TotalOutcome,476
Pond4Fish7_TimeLeft,675.261
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.919
Pond4Fish8_PondTime,61.144
Pond4Fish8_PondOutcome,74
Pond4Fish8_TotalOutcome,488
Pond4Fish8_TimeLeft,666.233
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,1.214
Pond4Fish9_PondTime,71.003
Pond4Fish9_PondOutcome,86
Pond4Fish9_TotalOutcome,500
Pond4Fish9_TimeLeft,656.374
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,1.227
Pond4Fish10_PondTime,81.941
Pond4Fish10_PondOutcome,98
Pond4Fish10_TotalOutcome,512
Pond4Fish10_TimeLeft,645.436
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,1.296
Pond4Fish11_PondTime,94.312
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,524
Pond4Fish11_TimeLeft,633.065
Type,RD
FishN,17
Fish,12
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,0.703
Pond4Fish12_PondTime,108.68
Pond4Fish12_PondOutcome,122
Pond4Fish12_TotalOutcome,536
Pond4Fish12_TimeLeft,618.697
Type,RD
FishN,17
Fish,13
Pond4Fish13_FishType,blue
Pond4Fish13_FishLatency,12
Pond4Fish13_CatchTime,1.065
Pond4Fish13_PondTime,126.046
Pond4Fish13_PondOutcome,134
Pond4Fish13_TotalOutcome,548
Pond4Fish13_TimeLeft,601.33
Type,RD
FishN,17
Fish,14
Pond4Fish14_FishType,blue
Pond4Fish14_FishLatency,15
Pond4Fish14_CatchTime,0.918
Pond4Fish14_PondTime,148.407
Pond4Fish14_PondOutcome,146
Pond4Fish14_TotalOutcome,560
Pond4Fish14_TimeLeft,578.97
Type,RD
FishN,17
Fish,15
Pond4Fish15_FishType,blue
Pond4Fish15_FishLatency,20
Pond4Fish15_CatchTime,0.975
Pond4Fish15_PondTime,180.775
Pond4Fish15_PondOutcome,158
Pond4Fish15_TotalOutcome,572
Pond4Fish15_TimeLeft,546.602
PondEnd_LastFish,15
FishN,17
Type,RD
GiveUpTime,49.947
PondTime,229.904
TimeLeft,496.97
PondOutcome,158
TotalOutcome,572
PondStart,PondStart
PondIntroTime,17.096398232970387
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.983
Pond2Fish1_PondTime,7.611
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,584
Pond2Fish1_TimeLeft,471.642
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,13.569
Pond2Fish2_PondOutcome,12
Pond2Fish2_TotalOutcome,584
Pond2Fish2_TimeLeft,465.684
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,19.746
Pond2Fish3_PondOutcome,12
Pond2Fish3_TotalOutcome,584
Pond2Fish3_TimeLeft,459.506
