,5bf537ed3a426e00019e329f
Pond8Fish12_PondOutcome,134
Pond8Fish12_TotalOutcome,878
Pond8Fish12_TimeLeft,187.124
Type,RD
FishN,12
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,0.976
Pond8Fish13_PondTime,105.492
Pond8Fish13_PondOutcome,146
Pond8Fish13_TotalOutcome,890
Pond8Fish13_TimeLeft,174.758
Type,RD
FishN,12
Fish,14
Pond8Fish14_FishType,blue
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.16
Pond8Fish14_PondTime,119.862
Pond8Fish14_PondOutcome,158
Pond8Fish14_TotalOutcome,902
Pond8Fish14_TimeLeft,160.388
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,0.6
PondTime,137.18
TimeLeft,142.566
PondOutcome,158
TotalOutcome,902
PondStart,PondStart
PondIntroTime,19.234364833682775
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,gray
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.503
Pond12Fish1_PondTime,8.889
Pond12Fish1_PondOutcome,2
Pond12Fish1_TotalOutcome,904
Pond12Fish1_TimeLeft,113.814
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.528
Pond12Fish2_PondTime,16.261
Pond12Fish2_PondOutcome,14
Pond12Fish2_TotalOutcome,916
Pond12Fish2_TimeLeft,106.442
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,gray
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,1.17
Pond12Fish3_PondTime,24.077
Pond12Fish3_PondOutcome,16
Pond12Fish3_TotalOutcome,918
Pond12Fish3_TimeLeft,98.626
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.995
Pond12Fish4_PondTime,32.435
Pond12Fish4_PondOutcome,28
Pond12Fish4_TotalOutcome,930
Pond12Fish4_TimeLeft,90.267
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,1.033
Pond12Fish5_PondTime,41.467
Pond12Fish5_PondOutcome,40
Pond12Fish5_TotalOutcome,942
Pond12Fish5_TimeLeft,81.235
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.353
Pond12Fish6_PondTime,51.326
Pond12Fish6_PondOutcome,52
Pond12Fish6_TotalOutcome,954
Pond12Fish6_TimeLeft,71.377
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.287
Pond12Fish7_PondTime,62.255
Pond12Fish7_PondOutcome,64
Pond12Fish7_TotalOutcome,966
Pond12Fish7_TimeLeft,60.448
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,-1
Pond12Fish8_PondTime,74.665
Pond12Fish8_PondOutcome,64
Pond12Fish8_TotalOutcome,966
Pond12Fish8_TimeLeft,48.038
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,1.234
Pond12Fish9_PondTime,89.035
Pond12Fish9_PondOutcome,76
Pond12Fish9_TotalOutcome,978
Pond12Fish9_TimeLeft,33.668
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,12
Pond12Fish10_CatchTime,1.311
Pond12Fish10_PondTime,106.403
Pond12Fish10_PondOutcome,88
Pond12Fish10_TotalOutcome,990
Pond12Fish10_TimeLeft,16.3
