,5da4f016341c56001432248c
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.769
Pond5Fish3_PondTime,21.918
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,914
Pond5Fish3_TimeLeft,175.881
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.581
Pond5Fish4_PondTime,29.286
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,926
Pond5Fish4_TimeLeft,168.513
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.857
Pond5Fish5_PondTime,37.102
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,938
Pond5Fish5_TimeLeft,160.697
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,gray
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,0.717
Pond5Fish6_PondTime,45.469
Pond5Fish6_PondOutcome,52
Pond5Fish6_TotalOutcome,940
Pond5Fish6_TimeLeft,152.329
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,0.744
Pond5Fish7_PondTime,54.503
Pond5Fish7_PondOutcome,64
Pond5Fish7_TotalOutcome,952
Pond5Fish7_TimeLeft,143.296
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.591
Pond5Fish8_PondTime,64.37
Pond5Fish8_PondOutcome,76
Pond5Fish8_TotalOutcome,964
Pond5Fish8_TimeLeft,133.429
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.44
Pond5Fish9_PondTime,75.305
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,976
Pond5Fish9_TimeLeft,122.494
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.607
Pond5Fish10_PondTime,87.672
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,988
Pond5Fish10_TimeLeft,110.127
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,0.659
Pond5Fish11_PondTime,102.043
Pond5Fish11_PondOutcome,112
Pond5Fish11_TotalOutcome,1000
Pond5Fish11_TimeLeft,95.756
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,0.308
PondTime,118.582
TimeLeft,78.713
PondOutcome,112
TotalOutcome,1000
PondStart,PondStart
PondIntroTime,10.241061749402434
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,0.599
Pond7Fish1_PondTime,8.882
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,1012
Pond7Fish1_TimeLeft,58.975
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.68
Pond7Fish2_PondTime,16.249
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,1024
Pond7Fish2_TimeLeft,51.608
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.859
Pond7Fish3_PondTime,24.068
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,1036
Pond7Fish3_TimeLeft,43.789
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.606
Pond7Fish4_PondTime,32.434
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,1048
Pond7Fish4_TimeLeft,35.423
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,gray
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,0.795
Pond7Fish5_PondTime,41.467
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,1050
Pond7Fish5_TimeLeft,26.389
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.666
Pond7Fish6_PondTime,51.323
Pond7Fish6_PondOutcome,62
Pond7Fish6_TotalOutcome,1062
Pond7Fish6_TimeLeft,16.534
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,0.606
Pond7Fish7_PondTime,62.252
Pond7Fish7_PondOutcome,74
Pond7Fish7_TotalOutcome,1074
Pond7Fish7_TimeLeft,5.605
