,5b8fe6de30fa28000100f8db
Pond2Fish6_PondOutcome,28
Pond2Fish6_TotalOutcome,118
Pond2Fish6_TimeLeft,1033.334
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,1.173
Pond2Fish7_PondTime,58.113
Pond2Fish7_PondOutcome,40
Pond2Fish7_TotalOutcome,130
Pond2Fish7_TimeLeft,1023.471
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,0.757
Pond2Fish8_PondTime,69.05
Pond2Fish8_PondOutcome,52
Pond2Fish8_TotalOutcome,142
Pond2Fish8_TimeLeft,1012.534
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,1.027
Pond2Fish9_PondTime,81.423
Pond2Fish9_PondOutcome,64
Pond2Fish9_TotalOutcome,154
Pond2Fish9_TimeLeft,1000.161
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,1.036
Pond2Fish10_PondTime,95.785
Pond2Fish10_PondOutcome,76
Pond2Fish10_TotalOutcome,166
Pond2Fish10_TimeLeft,985.799
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,0.836
PondTime,113.016
TimeLeft,968.065
PondOutcome,76
TotalOutcome,166
PondStart,PondStart
PondIntroTime,14.889004223514348
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.086
Pond1Fish1_PondTime,9.274
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,178
Pond1Fish1_TimeLeft,943.256
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.276
Pond1Fish2_PondTime,17.091
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,190
Pond1Fish2_TimeLeft,935.439
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.18
Pond1Fish3_PondTime,25.459
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,202
Pond1Fish3_TimeLeft,927.071
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.851
Pond1Fish4_PondTime,34.493
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,214
Pond1Fish4_TimeLeft,918.037
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.984
Pond1Fish5_PondTime,44.36
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,226
Pond1Fish5_TimeLeft,908.17
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.942
Pond1Fish6_PondTime,55.289
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,238
Pond1Fish6_TimeLeft,897.241
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.004
Pond1Fish7_PondTime,67.643
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,250
Pond1Fish7_TimeLeft,884.886
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.043
Pond1Fish8_PondTime,82.012
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,262
Pond1Fish8_TimeLeft,870.518
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,1.164
Pond1Fish9_PondTime,99.37
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,274
Pond1Fish9_TimeLeft,853.16
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,15
Pond1Fish10_CatchTime,1.208
Pond1Fish10_PondTime,121.735
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,286
Pond1Fish10_TimeLeft,830.795
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,1.137
PondTime,122.292
TimeLeft,829.733
PondOutcome,120
TotalOutcome,286
PondStart,PondStart
PondIntroTime,16.978254476562142
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.458
Pond10Fish1_PondTime,7.598
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,298
Pond10Fish1_TimeLeft,804.524
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,gray
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.077
Pond10Fish2_PondTime,13.483
Pond10Fish2_PondOutcome,14
Pond10Fish2_TotalOutcome,300
Pond10Fish2_TimeLeft,798.64
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.192
Pond10Fish3_PondTime,19.599
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,312
Pond10Fish3_TimeLeft,792.524
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.427
Pond10Fish4_PondTime,25.966
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,324
Pond10Fish4_TimeLeft,786.157
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.636
Pond10Fish5_PondTime,32.616
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,336
Pond10Fish5_TimeLeft,779.507
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.955
Pond10Fish6_PondTime,39.597
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,348
Pond10Fish6_TimeLeft,772.526
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,0.948
Pond10Fish7_PondTime,46.966
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,360
Pond10Fish7_TimeLeft,765.157
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,0.749
Pond10Fish8_PondTime,54.787
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,372
Pond10Fish8_TimeLeft,757.336
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.198
Pond10Fish9_PondTime,63.148
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,384
Pond10Fish9_TimeLeft,748.975
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.149
Pond10Fish10_PondTime,72.18
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,396
Pond10Fish10_TimeLeft,739.943
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.2
Pond10Fish11_PondTime,82.049
Pond10Fish11_PondOutcome,122
Pond10Fish11_TotalOutcome,408
Pond10Fish11_TimeLeft,730.074
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,0.948
Pond10Fish12_PondTime,92.981
Pond10Fish12_PondOutcome,134
Pond10Fish12_TotalOutcome,420
Pond10Fish12_TimeLeft,719.142
Type,RD
FishN,12
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,0.966
Pond10Fish13_PondTime,105.347
Pond10Fish13_PondOutcome,146
Pond10Fish13_TotalOutcome,432
Pond10Fish13_TimeLeft,706.775
Type,RD
FishN,12
Fish,14
Pond10Fish14_FishType,blue
Pond10Fish14_FishLatency,10
Pond10Fish14_CatchTime,0.905
Pond10Fish14_PondTime,119.714
Pond10Fish14_PondOutcome,158
Pond10Fish14_TotalOutcome,444
Pond10Fish14_TimeLeft,692.409
Type,RD
FishN,12
Fish,15
Pond10Fish15_FishType,blue
Pond10Fish15_FishLatency,12
Pond10Fish15_CatchTime,1.26
Pond10Fish15_PondTime,137.077
Pond10Fish15_PondOutcome,170
Pond10Fish15_TotalOutcome,456
Pond10Fish15_TimeLeft,675.046
Type,RD
FishN,12
Fish,16
Pond10Fish16_FishType,blue
Pond10Fish16_FishLatency,15
Pond10Fish16_CatchTime,1.19
Pond10Fish16_PondTime,159.435
Pond10Fish16_PondOutcome,182
Pond10Fish16_TotalOutcome,468
Pond10Fish16_TimeLeft,652.688
Type,RD
FishN,12
Fish,17
Pond10Fish17_FishType,blue
Pond10Fish17_FishLatency,20
Pond10Fish17_CatchTime,1.317
Pond10Fish17_PondTime,191.795
Pond10Fish17_PondOutcome,194
Pond10Fish17_TotalOutcome,480
Pond10Fish17_TimeLeft,620.328
PondEnd_LastFish,17
FishN,19
Type,RD
GiveUpTime,0.74
PondTime,192.067
TimeLeft,619.553
PondOutcome,194
TotalOutcome,480
PondStart,PondStart
PondIntroTime,15.867015442345291
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.843
Pond5Fish1_PondTime,7.966
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,492
Pond5Fish1_TimeLeft,595.094
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.985
Pond5Fish2_PondTime,14.383
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,504
Pond5Fish2_TimeLeft,588.678
Type,RD
FishN,14
Fish,3
