,5c448a8452eba20001da07d0
Pond9Fish7_TimeLeft,1056.581
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.179
Pond9Fish8_PondTime,55.131
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,182
Pond9Fish8_TimeLeft,1048.707
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1
Pond9Fish9_PondTime,63.536
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,194
Pond9Fish9_TimeLeft,1040.302
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.19
Pond9Fish10_PondTime,72.599
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,206
Pond9Fish10_TimeLeft,1031.239
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.075
Pond9Fish11_PondTime,82.521
Pond9Fish11_PondOutcome,132
Pond9Fish11_TotalOutcome,218
Pond9Fish11_TimeLeft,1021.317
Type,RD
FishN,18
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.965
Pond9Fish12_PondTime,93.505
Pond9Fish12_PondOutcome,144
Pond9Fish12_TotalOutcome,230
Pond9Fish12_TimeLeft,1010.333
Type,RD
FishN,18
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.058
Pond9Fish13_PondTime,105.911
Pond9Fish13_PondOutcome,156
Pond9Fish13_TotalOutcome,242
Pond9Fish13_TimeLeft,997.927
Type,RD
FishN,18
Fish,14
Pond9Fish14_FishType,gray
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.439
Pond9Fish14_PondTime,120.322
Pond9Fish14_PondOutcome,158
Pond9Fish14_TotalOutcome,244
Pond9Fish14_TimeLeft,983.516
Type,RD
FishN,18
Fish,15
Pond9Fish15_FishType,gray
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.29
Pond9Fish15_PondTime,137.739
Pond9Fish15_PondOutcome,160
Pond9Fish15_TotalOutcome,246
Pond9Fish15_TimeLeft,966.098
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,13.237
PondTime,150.452
TimeLeft,952.877
PondOutcome,160
TotalOutcome,246
PondStart,PondStart
