,5e1c77b25299ce000b689d9e
FishN,15
Type,RD
GiveUpTime,1.485
PondTime,59.081
TimeLeft,1063.697
PondOutcome,74
TotalOutcome,170
PondStart,PondStart
PondIntroTime,15.21359411533922
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.745
Pond2Fish1_PondTime,7.662
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,182
Pond2Fish1_TimeLeft,1040.201
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,0.89
Pond2Fish2_PondTime,13.579
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,194
Pond2Fish2_TimeLeft,1034.284
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.853
Pond2Fish3_PondTime,19.71
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,206
Pond2Fish3_TimeLeft,1028.153
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.078
Pond2Fish4_PondTime,26.094
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,218
Pond2Fish4_TimeLeft,1021.769
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.818
Pond2Fish5_PondTime,32.777
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,230
Pond2Fish5_TimeLeft,1015.086
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,gray
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.306
Pond2Fish6_PondTime,39.785
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,232
Pond2Fish6_TimeLeft,1008.078
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.898
Pond2Fish7_PondTime,47.177
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,244
Pond2Fish7_TimeLeft,1000.686
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,0.816
Pond2Fish8_PondTime,55.042
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,256
Pond2Fish8_TimeLeft,992.821
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,0.872
