,56cc926a425487000a76dbc6
Pond4Fish8_TimeLeft,1022.819
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.211
Pond4Fish9_PondTime,89.216
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,182
Pond4Fish9_TimeLeft,1008.434
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,gray
Pond4Fish10_FishLatency,12
Pond4Fish10_CatchTime,0.92
Pond4Fish10_PondTime,106.585
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,184
Pond4Fish10_TimeLeft,991.066
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,1.177
PondTime,106.893
TimeLeft,990.25
PondOutcome,100
TotalOutcome,184
PondStart,PondStart
PondIntroTime,15.807069658767432
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,0.846
Pond10Fish1_PondTime,8.034
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,196
Pond10Fish1_TimeLeft,965.785
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,0.772
Pond10Fish2_PondTime,14.403
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,208
Pond10Fish2_TimeLeft,959.415
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.026
Pond10Fish3_PondTime,21.071
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,220
Pond10Fish3_TimeLeft,952.747
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.662
Pond10Fish4_PondTime,28.068
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,232
Pond10Fish4_TimeLeft,945.75
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.777
Pond10Fish5_PondTime,35.437
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,244
Pond10Fish5_TimeLeft,938.382
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,gray
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.336
Pond10Fish6_PondTime,43.256
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,246
Pond10Fish6_TimeLeft,930.563
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.473
Pond10Fish7_PondTime,51.621
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,258
Pond10Fish7_TimeLeft,922.198
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.852
Pond10Fish8_PondTime,60.653
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,270
Pond10Fish8_TimeLeft,913.166
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,gray
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,0.816
Pond10Fish9_PondTime,70.519
Pond10Fish9_PondOutcome,88
Pond10Fish9_TotalOutcome,272
Pond10Fish9_TimeLeft,903.299
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.215
Pond10Fish10_PondTime,81.47
Pond10Fish10_PondOutcome,100
Pond10Fish10_TotalOutcome,284
Pond10Fish10_TimeLeft,892.349
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,0.79
Pond10Fish11_PondTime,93.841
Pond10Fish11_PondOutcome,112
Pond10Fish11_TotalOutcome,296
Pond10Fish11_TimeLeft,879.978
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,0.762
Pond10Fish12_PondTime,108.203
Pond10Fish12_PondOutcome,124
Pond10Fish12_TotalOutcome,308
Pond10Fish12_TimeLeft,865.616
Type,RD
FishN,12
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,1.932
Pond10Fish13_PondTime,125.806
Pond10Fish13_PondOutcome,136
Pond10Fish13_TotalOutcome,320
Pond10Fish13_TimeLeft,848.013
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,0.925
PondTime,126.629
TimeLeft,846.68
PondOutcome,136
TotalOutcome,320
PondStart,PondStart
PondIntroTime,11.767024237196892
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.08
Pond2Fish1_PondTime,9.269
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,332
Pond2Fish1_TimeLeft,825.013
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.042
Pond2Fish2_PondTime,17.117
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,344
Pond2Fish2_TimeLeft,817.165
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.018
Pond2Fish3_PondTime,25.489
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,356
Pond2Fish3_TimeLeft,808.793
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.801
Pond2Fish4_PondTime,34.536
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,368
Pond2Fish4_TimeLeft,799.745
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.045
Pond2Fish5_PondTime,44.402
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,380
Pond2Fish5_TimeLeft,789.88
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.745
