,56cc926a425487000a76dbc6
Pond8Fish7_PondOutcome,72
Pond8Fish7_TotalOutcome,876
Pond8Fish7_TimeLeft,169.18
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,0.947
PondTime,92.045
TimeLeft,151.37
PondOutcome,72
TotalOutcome,876
PondStart,PondStart
PondIntroTime,15.46527546364814
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.853
Pond1Fish1_PondTime,9.286
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,888
Pond1Fish1_TimeLeft,125.998
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,-1
Pond1Fish2_PondTime,17.166
Pond1Fish2_PondOutcome,12
Pond1Fish2_TotalOutcome,888
Pond1Fish2_TimeLeft,118.118
