,taly5
PlayerDetails,taly5
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,15
Pond2Type,RD
Pond2FishN,14
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,14
Pond5Type,RD
Pond5FishN,13
Pond6Type,RD
Pond6FishN,16
Pond7Type,RD
Pond7FishN,16
Pond8Type,RD
Pond8FishN,19
Pond9Type,RD
Pond9FishN,12
Pond10Type,RD
Pond10FishN,15
Pond11Type,RD
Pond11FishN,16
Pond12Type,RD
Pond12FishN,12
Date:,Sun Nov 24 2019 17:48:36 GMT+0200 (Israel Standard Time)
Pond7_Type,RD
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.285
Pond7Fish1_PondTime,5.898
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,12
Pond7Fish1_TimeLeft,1194.089
Pond7_GiveUpTime,0.582
Pond7_PondTime,12.798
Pond7_PondOutcome,12
Pond7_TotalOutcome,12
Pond7_TimeLeft,1187.19
Pond2IntroTime,12.833113893866539
