,taly7
PlayerDetails,taly7
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,12
Pond3Type,RT
Pond3FishN,12
Pond4Type,RT
Pond4FishN,13
Pond5Type,RT
Pond5FishN,17
Pond6Type,RT
Pond6FishN,13
Pond7Type,RT
Pond7FishN,19
Pond8Type,RT
Pond8FishN,15
Pond9Type,RT
Pond9FishN,13
Pond10Type,RT
Pond10FishN,15
Pond11Type,RT
Pond11FishN,12
Pond12Type,RT
Pond12FishN,13
Date:,Sun Nov 24 2019 19:12:15 GMT+0200 (Israel Standard Time)
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.169
Pond3Fish1_PondTime,7.33
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1192.657
Pond3_GiveUpTime,3.237
Pond3_PondTime,10.347
Pond3_PondOutcome,10
Pond3_TotalOutcome,10
Pond3_TimeLeft,1189.64
Pond2IntroTime,12.62892363825813
Pond2_Type,RT
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,23.061
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1166.578
Pond2_Type,RT
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,31.511
Pond2Fish2_PondOutcome,0
Pond2Fish2_TotalOutcome,10
Pond2Fish2_TimeLeft,1158.129
Pond2_Type,RT
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,40.644
Pond2Fish3_PondOutcome,0
Pond2Fish3_TotalOutcome,10
Pond2Fish3_TimeLeft,1148.996
Pond2_Type,RT
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,-1
Pond2Fish4_PondTime,50.594
Pond2Fish4_PondOutcome,0
Pond2Fish4_TotalOutcome,10
Pond2Fish4_TimeLeft,1139.046
Pond2_Type,RT
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,-1
Pond2Fish5_PondTime,61.627
Pond2Fish5_PondOutcome,0
Pond2Fish5_TotalOutcome,10
Pond2Fish5_TimeLeft,1128.013
Pond2_Type,RT
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,-1
Pond2Fish6_PondTime,74.076
Pond2Fish6_PondOutcome,0
Pond2Fish6_TotalOutcome,10
Pond2Fish6_TimeLeft,1115.564
