,5b87e13126d98700015ed667
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,1.285
Pond11Fish8_PondTime,91.106
Pond11Fish8_PondOutcome,66
Pond11Fish8_TotalOutcome,154
Pond11Fish8_TimeLeft,993.618
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,1.612
Pond11Fish9_PondTime,105.515
Pond11Fish9_PondOutcome,77
Pond11Fish9_TotalOutcome,165
Pond11Fish9_TimeLeft,979.209
Pond11_Type,N
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,12
Pond11Fish10_CatchTime,1.143
Pond11Fish10_PondTime,122.92
Pond11Fish10_PondOutcome,88
Pond11Fish10_TotalOutcome,176
Pond11Fish10_TimeLeft,961.803
Pond11_Type,N
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,15
Pond11Fish11_CatchTime,1.114
Pond11Fish11_PondTime,145.331
Pond11Fish11_PondOutcome,99
Pond11Fish11_TotalOutcome,187
Pond11Fish11_TimeLeft,939.393
Pond11_GiveUpTime,30.698
Pond11_PondTime,175.724
Pond11_PondOutcome,99
Pond11_TotalOutcome,187
Pond11_TimeLeft,909
Pond1IntroTime,12.523811794817448
Pond1_Type,RD
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.149
Pond1Fish1_PondTime,22.099
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,199
Pond1Fish1_TimeLeft,886.901
Pond1_Type,RD
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.1
Pond1Fish2_PondTime,29.505
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,211
Pond1Fish2_TimeLeft,879.495
Pond1_Type,RD
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.873
Pond1Fish3_PondTime,37.361
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,223
Pond1Fish3_TimeLeft,871.638
Pond1_Type,RD
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,1.489
Pond1Fish4_PondTime,45.776
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,235
Pond1Fish4_TimeLeft,863.224
Pond1_Type,RD
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,1.111
Pond1Fish5_PondTime,54.874
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,247
Pond1Fish5_TimeLeft,854.125
Pond1_Type,RD
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,1.105
Pond1Fish6_PondTime,64.799
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,259
Pond1Fish6_TimeLeft,844.201
Pond1_Type,RD
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,1.167
Pond1Fish7_PondTime,75.784
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,271
Pond1Fish7_TimeLeft,833.216
Pond1_Type,RD
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,0.763
Pond1Fish8_PondTime,88.178
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,283
Pond1Fish8_TimeLeft,820.822
Pond1_Type,RD
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,0.984
Pond1Fish9_PondTime,102.603
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,295
Pond1Fish9_TimeLeft,806.397
Pond1_Type,RD
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,1.463
Pond1Fish10_PondTime,120.017
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,307
Pond1Fish10_TimeLeft,788.983
Pond1_Type,RD
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,15
Pond1Fish11_CatchTime,0.934
Pond1Fish11_PondTime,142.43
Pond1Fish11_PondOutcome,132
Pond1Fish11_TotalOutcome,319
Pond1Fish11_TimeLeft,766.57
Pond1_GiveUpTime,28.893
Pond1_PondTime,170.846
Pond1_PondOutcome,132
Pond1_TotalOutcome,319
Pond1_TimeLeft,738.154
Pond10IntroTime,19.045363664627075
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.345
Pond10Fish1_PondTime,29.002
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,330
Pond10Fish1_TimeLeft,709.152
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.139
Pond10Fish2_PondTime,36.864
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,341
Pond10Fish2_TimeLeft,701.289
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,1.398
Pond10Fish3_PondTime,45.27
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,352
Pond10Fish3_TimeLeft,692.884
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,1.104
Pond10Fish4_PondTime,54.338
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,363
Pond10Fish4_TimeLeft,683.816
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,1.379
Pond10Fish5_PondTime,64.229
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,374
Pond10Fish5_TimeLeft,673.924
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,1.704
Pond10Fish6_PondTime,75.22
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,385
Pond10Fish6_TimeLeft,662.934
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,1.498
Pond10Fish7_PondTime,87.626
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,396
Pond10Fish7_TimeLeft,650.528
Pond10_Type,N
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,1.396
Pond10Fish8_PondTime,102.019
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,407
Pond10Fish8_TimeLeft,636.135
Pond10_Type,N
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,12
Pond10Fish9_CatchTime,1.485
Pond10Fish9_PondTime,119.429
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,418
Pond10Fish9_TimeLeft,618.725
Pond10_Type,N
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,15
Pond10Fish10_CatchTime,1.371
Pond10Fish10_PondTime,141.82
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,429
Pond10Fish10_TimeLeft,596.334
Pond10_GiveUpTime,1.236
Pond10_PondTime,143.026
Pond10_PondOutcome,110
Pond10_TotalOutcome,429
Pond10_TimeLeft,595.128
Pond7IntroTime,19.667357681319118
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,1.034
Pond7Fish1_PondTime,28.94
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,439
Pond7Fish1_TimeLeft,566.188
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.895
Pond7Fish2_PondTime,36.16
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,449
Pond7Fish2_TimeLeft,558.968
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,1.271
Pond7Fish3_PondTime,43.578
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,459
Pond7Fish3_TimeLeft,551.55
Pond7_Type,RT
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,1.169
Pond7Fish4_PondTime,51.444
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,469
Pond7Fish4_TimeLeft,543.684
Pond7_Type,RT
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,-1
Pond7Fish5_PondTime,59.901
Pond7Fish5_PondOutcome,40
Pond7Fish5_TotalOutcome,469
Pond7Fish5_TimeLeft,535.227
Pond7_Type,RT
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.986
Pond7Fish6_PondTime,68.977
Pond7Fish6_PondOutcome,50
Pond7Fish6_TotalOutcome,479
Pond7Fish6_TimeLeft,526.151
Pond7_Type,RT
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,1.175
Pond7Fish7_PondTime,78.905
Pond7Fish7_PondOutcome,60
Pond7Fish7_TotalOutcome,489
Pond7Fish7_TimeLeft,516.222
Pond7_Type,RT
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,1.06
Pond7Fish8_PondTime,89.861
Pond7Fish8_PondOutcome,70
Pond7Fish8_TotalOutcome,499
Pond7Fish8_TimeLeft,505.267
Pond7_Type,RT
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,8.571428571428571
Pond7Fish9_CatchTime,1.256
Pond7Fish9_PondTime,102.25
Pond7Fish9_PondOutcome,80
Pond7Fish9_TotalOutcome,509
Pond7Fish9_TimeLeft,492.878
Pond7_Type,RT
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,1.087
Pond7Fish10_PondTime,116.645
Pond7Fish10_PondOutcome,90
Pond7Fish10_TotalOutcome,519
Pond7Fish10_TimeLeft,478.482
Pond7_Type,RT
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,12
Pond7Fish11_CatchTime,1.115
Pond7Fish11_PondTime,134.048
Pond7Fish11_PondOutcome,100
Pond7Fish11_TotalOutcome,529
Pond7Fish11_TimeLeft,461.08
Pond7_Type,RT
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,15
Pond7Fish12_CatchTime,1.104
Pond7Fish12_PondTime,156.432
Pond7Fish12_PondOutcome,110
Pond7Fish12_TotalOutcome,539
Pond7Fish12_TimeLeft,438.695
Pond7_GiveUpTime,8.112
Pond7_PondTime,164.242
Pond7_PondOutcome,110
Pond7_TotalOutcome,539
Pond7_TimeLeft,430.886
Pond8IntroTime,15.886677287053317
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.416
Pond8Fish1_PondTime,24.173
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,550
Pond8Fish1_TimeLeft,406.713
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.116
Pond8Fish2_PondTime,30.1
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,561
Pond8Fish2_TimeLeft,400.785
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.093
Pond8Fish3_PondTime,36.267
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,572
Pond8Fish3_TimeLeft,394.619
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.78
Pond8Fish4_PondTime,42.684
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,583
Pond8Fish4_TimeLeft,388.201
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.084
Pond8Fish5_PondTime,49.384
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,594
Pond8Fish5_TimeLeft,381.502
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.578
Pond8Fish6_PondTime,56.418
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,605
Pond8Fish6_TimeLeft,374.467
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.06
Pond8Fish7_PondTime,63.834
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,616
Pond8Fish7_TimeLeft,367.052
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.202
Pond8Fish8_PondTime,71.718
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,627
Pond8Fish8_TimeLeft,359.168
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,1.141
Pond8Fish9_PondTime,80.132
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,638
Pond8Fish9_TimeLeft,350.753
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,1.158
Pond8Fish10_PondTime,89.209
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,649
Pond8Fish10_TimeLeft,341.677
Pond8_Type,N
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.236
Pond8Fish11_PondTime,99.133
Pond8Fish11_PondOutcome,121
