,taly6
PlayerDetails,taly6
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,12
Pond3Type,RT
Pond3FishN,12
Pond4Type,RT
Pond4FishN,13
Pond5Type,RT
Pond5FishN,17
Pond6Type,RT
Pond6FishN,13
Pond7Type,RT
Pond7FishN,19
Pond8Type,RT
Pond8FishN,15
Pond9Type,RT
Pond9FishN,13
Pond10Type,RT
Pond10FishN,15
Pond11Type,RT
Pond11FishN,12
Pond12Type,RT
Pond12FishN,13
Date:,Sun Nov 24 2019 18:17:15 GMT+0200 (Israel Standard Time)
Pond2_Type,RT
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.459
Pond2Fish1_PondTime,7.36
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1192.637
Pond2_GiveUpTime,1.035
Pond2_PondTime,8.443
Pond2_PondOutcome,10
Pond2_TotalOutcome,10
Pond2_TimeLeft,1191.554
Pond8IntroTime,13.72432837728411
