,5c7070519f9392000150023c
PlayerDetails,5c7070519f9392000150023c
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,12
Pond3Type,RT
Pond3FishN,12
Pond4Type,RT
Pond4FishN,13
Pond5Type,RT
Pond5FishN,17
Pond6Type,RT
Pond6FishN,13
Pond7Type,RT
Pond7FishN,19
Pond8Type,RT
Pond8FishN,15
Pond9Type,RT
Pond9FishN,13
Pond10Type,RT
Pond10FishN,15
Pond11Type,RT
Pond11FishN,12
Pond12Type,RT
Pond12FishN,13
Date:,Sun Nov 24 2019 11:00:11 GMT-0600 (Central Standard Time)
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.328
Pond7Fish1_PondTime,5.2
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1194.797
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.291
Pond7Fish2_PondTime,11.088
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,20
Pond7Fish2_TimeLeft,1188.909
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.279
Pond7Fish3_PondTime,17.193
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,30
Pond7Fish3_TimeLeft,1182.804
Pond7_Type,RT
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.088
Pond7Fish4_PondTime,23.548
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,40
