,5b2150d538b0be00014137fb
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.863
Pond4Fish6_PondTime,69.404
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,985
Pond4Fish6_TimeLeft,67.91
Pond4_Type,RT
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.276
Pond4Fish7_PondTime,80.332
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,995
Pond4Fish7_TimeLeft,56.982
Pond4_GiveUpTime,2.621
Pond4_PondTime,82.828
Pond4_PondOutcome,70
Pond4_TotalOutcome,995
Pond4_TimeLeft,54.486
Pond11IntroTime,12.014279905706644
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.862
Pond11Fish1_PondTime,21.589
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,1006
Pond11Fish1_TimeLeft,32.897
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.796
Pond11Fish2_PondTime,28.944
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,1017
Pond11Fish2_TimeLeft,25.542
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.963
Pond11Fish3_PondTime,36.762
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,1028
Pond11Fish3_TimeLeft,17.724
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.998
Pond11Fish4_PondTime,45.123
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,1039
Pond11Fish4_TimeLeft,9.363
