,5b9125803e41080001a850e5
Pond9Fish14_PondOutcome,143
Pond9Fish14_TotalOutcome,836
Pond9Fish14_TimeLeft,135.273
Pond7IntroTime,16.196775259450078
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.718
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,28.851
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,847
Pond2Fish1_TimeLeft,106.422
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,0.904
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.548
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,858
Pond2Fish2_TimeLeft,96.874
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.685
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.101
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,869
Pond2Fish3_TimeLeft,86.773
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.093
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.768
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,880
Pond2Fish4_TimeLeft,76.005
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.012
Pond2Fish5_GiveUpTime,-1
Pond2Fish5_PondTime,11.596
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,891
Pond2Fish5_TimeLeft,64.408
Pond2_Type,N
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.907
Pond2Fish6_GiveUpTime,-1
Pond2Fish6_PondTime,12.67
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,902
Pond2Fish6_TimeLeft,51.738
Pond2_Type,N
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.839
Pond2Fish7_GiveUpTime,-1
Pond2Fish7_PondTime,14.1
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,913
Pond2Fish7_TimeLeft,37.638
Pond2_Type,N
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,-1
Pond2Fish8_GiveUpTime,0.485
Pond2Fish8_PondTime,13.856
Pond2Fish8_PondOutcome,77
Pond2Fish8_TotalOutcome,913
Pond2Fish8_TimeLeft,23.782
Pond8IntroTime,15.058204727247357
