,5b9125803e41080001a850e5
Pond1Fish5_TimeLeft,976.077
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.763
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.101
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,165
Pond1Fish6_TimeLeft,966.975
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.021
Pond1Fish7_GiveUpTime,-1
Pond1Fish7_PondTime,9.549
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,176
Pond1Fish7_TimeLeft,957.426
Pond1_Type,N
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.734
Pond1Fish8_GiveUpTime,-1
Pond1Fish8_PondTime,10.1
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,187
Pond1Fish8_TimeLeft,947.326
Pond1_Type,N
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.064
Pond1Fish9_GiveUpTime,-1
Pond1Fish9_PondTime,10.766
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,198
Pond1Fish9_TimeLeft,936.56
Pond1_Type,N
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.849
Pond1Fish10_GiveUpTime,-1
Pond1Fish10_PondTime,11.599
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,209
Pond1Fish10_TimeLeft,924.961
Pond1_Type,N
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.06
Pond1Fish11_GiveUpTime,-1
Pond1Fish11_PondTime,13.247
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,220
Pond1Fish11_TimeLeft,911.714
Pond1_Type,N
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.806
Pond1Fish12_GiveUpTime,-1
Pond1Fish12_PondTime,15.143
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,231
Pond1Fish12_TimeLeft,896.57
Pond1_Type,N
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,0.778
Pond1Fish13_GiveUpTime,-1
Pond1Fish13_PondTime,17.87
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,242
Pond1Fish13_TimeLeft,878.7
Pond1_Type,N
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,0.9
Pond1Fish14_GiveUpTime,-1
Pond1Fish14_PondTime,20.825
Pond1Fish14_PondOutcome,154
Pond1Fish14_TotalOutcome,253
Pond1Fish14_TimeLeft,857.875
Pond1_Type,N
Pond1Fish15_FishType,green
Pond1Fish15_FishLatency,15
Pond1Fish15_CatchTime,-1
Pond1Fish15_GiveUpTime,1.292
Pond1Fish15_PondTime,22.663
Pond1Fish15_PondOutcome,154
Pond1Fish15_TotalOutcome,253
Pond1Fish15_TimeLeft,835.212
Pond3IntroTime,13.961238481570035
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.903
Pond7Fish1_GiveUpTime,-1
Pond7Fish1_PondTime,28.485
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,264
Pond7Fish1_TimeLeft,806.727
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.162
Pond7Fish2_GiveUpTime,-1
Pond7Fish2_PondTime,8.084
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,275
Pond7Fish2_TimeLeft,798.643
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.683
Pond7Fish3_GiveUpTime,-1
Pond7Fish3_PondTime,8.385
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,286
Pond7Fish3_TimeLeft,790.257
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.039
Pond7Fish4_GiveUpTime,-1
