,taly3
PlayerDetails,taly3
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 12:05:39 GMT+0300 (Israel Daylight Time)
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.625
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,9.568
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1188.427
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,-1
Pond10Fish2_GiveUpTime,0.711
Pond10Fish2_PondTime,8.033
Pond10Fish2_PondOutcome,11
Pond10Fish2_TotalOutcome,11
Pond10Fish2_TimeLeft,1180.393
Pond2IntroTime,19.522540252655745
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.655
Pond6Fish1_GiveUpTime,-1
Pond6Fish1_PondTime,30.718
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,22
Pond6Fish1_TimeLeft,1149.675
Pond6_Type,N
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.531
Pond6Fish2_GiveUpTime,-1
Pond6Fish2_PondTime,7.851
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,33
Pond6Fish2_TimeLeft,1141.824
Pond6_Type,N
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.488
Pond6Fish3_GiveUpTime,-1
Pond6Fish3_PondTime,8.099
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,44
Pond6Fish3_TimeLeft,1133.725
Pond6_Type,N
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.656
Pond6Fish4_GiveUpTime,-1
Pond6Fish4_PondTime,8.383
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,55
Pond6Fish4_TimeLeft,1125.341
Pond6_Type,N
