,5c3b31ef2fd47d00013d4468
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,66
Pond3Fish6_TimeLeft,1149.711
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,1.301
Pond3Fish7_GiveUpTime,-1
Pond3Fish7_PondTime,9.145
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,77
Pond3Fish7_TimeLeft,1140.566
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.465
Pond3Fish8_GiveUpTime,-1
Pond3Fish8_PondTime,9.586
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,88
Pond3Fish8_TimeLeft,1130.98
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.159
Pond3Fish9_GiveUpTime,-1
Pond3Fish9_PondTime,10.131
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,99
Pond3Fish9_TimeLeft,1120.848
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.311
Pond3Fish10_GiveUpTime,-1
Pond3Fish10_PondTime,10.754
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,110
Pond3Fish10_TimeLeft,1110.094
Pond3_Type,N
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.388
Pond3Fish11_GiveUpTime,-1
Pond3Fish11_PondTime,11.63
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,121
Pond3Fish11_TimeLeft,1098.462
Pond3_Type,N
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.289
Pond3Fish12_GiveUpTime,-1
Pond3Fish12_PondTime,12.678
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,132
Pond3Fish12_TimeLeft,1085.784
Pond3_Type,N
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.294
Pond3Fish13_GiveUpTime,-1
Pond3Fish13_PondTime,14.144
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,143
Pond3Fish13_TimeLeft,1071.639
Pond3_Type,N
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,1.353
Pond3Fish14_GiveUpTime,-1
Pond3Fish14_PondTime,16.153
Pond3Fish14_PondOutcome,154
Pond3Fish14_TotalOutcome,154
Pond3Fish14_TimeLeft,1055.485
Pond3_Type,N
Pond3Fish15_FishType,green
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,1.526
Pond3Fish15_GiveUpTime,-1
Pond3Fish15_PondTime,19.1
Pond3Fish15_PondOutcome,165
Pond3Fish15_TotalOutcome,165
Pond3Fish15_TimeLeft,1036.385
Pond3_Type,N
Pond3Fish16_FishType,green
Pond3Fish16_FishLatency,15
Pond3Fish16_CatchTime,1.394
Pond3Fish16_GiveUpTime,-1
Pond3Fish16_PondTime,24.121
Pond3Fish16_PondOutcome,176
Pond3Fish16_TotalOutcome,176
Pond3Fish16_TimeLeft,1012.264
Pond3_Type,N
Pond3Fish17_FishType,green
Pond3Fish17_FishLatency,20
Pond3Fish17_CatchTime,1.192
Pond3Fish17_GiveUpTime,-1
Pond3Fish17_PondTime,34.116
Pond3Fish17_PondOutcome,187
Pond3Fish17_TotalOutcome,187
Pond3Fish17_TimeLeft,978.148
Pond3_Type,N
Pond3Fish18_FishType,green
Pond3Fish18_FishLatency,30
Pond3Fish18_CatchTime,1.604
Pond3Fish18_GiveUpTime,-1
Pond3Fish18_PondTime,64.102
Pond3Fish18_PondOutcome,198
Pond3Fish18_TotalOutcome,198
Pond3Fish18_TimeLeft,914.046
Pond3_Type,N
Pond3Fish19_FishType,green
Pond3Fish19_FishLatency,60
Pond3Fish19_CatchTime,1.414
Pond3Fish19_GiveUpTime,-1
Pond3Fish19_PondTime,4.101
Pond3Fish19_PondOutcome,209
Pond3Fish19_TotalOutcome,209
Pond3Fish19_TimeLeft,909.945
Pond3_Type,N
Pond3Fish19_FishType,green
Pond3Fish19_FishLatency,60
Pond3Fish19_CatchTime,-1
Pond3Fish19_GiveUpTime,47.529
Pond3Fish19_PondTime,45.241
Pond3Fish19_PondOutcome,209
Pond3Fish19_TotalOutcome,209
Pond3Fish19_TimeLeft,864.704
Pond2IntroTime,17.090922696515918
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.54
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,28.108
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,220
Pond4Fish1_TimeLeft,836.596
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.466
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.658
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,231
Pond4Fish2_TimeLeft,828.938
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.846
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.905
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,242
Pond4Fish3_TimeLeft,821.032
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.088
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,8.088
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,253
Pond4Fish4_TimeLeft,812.942
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.51
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.393
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,264
Pond4Fish5_TimeLeft,804.549
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.134
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,8.749
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,275
Pond4Fish6_TimeLeft,795.8
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.317
Pond4Fish7_GiveUpTime,-1
Pond4Fish7_PondTime,9.132
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,286
Pond4Fish7_TimeLeft,786.668
Pond4_Type,N
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,1.527
Pond4Fish8_GiveUpTime,-1
Pond4Fish8_PondTime,9.614
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,297
Pond4Fish8_TimeLeft,777.054
Pond4_Type,N
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.129
Pond4Fish9_GiveUpTime,-1
Pond4Fish9_PondTime,10.092
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,308
Pond4Fish9_TimeLeft,766.962
Pond4_Type,N
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.542
Pond4Fish10_GiveUpTime,-1
Pond4Fish10_PondTime,10.782
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,319
Pond4Fish10_TimeLeft,756.178
Pond4_Type,N
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,1.545
Pond4Fish11_GiveUpTime,-1
Pond4Fish11_PondTime,11.599
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,330
Pond4Fish11_TimeLeft,744.579
Pond4_Type,N
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,1.939
Pond4Fish12_GiveUpTime,-1
Pond4Fish12_PondTime,12.663
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,341
Pond4Fish12_TimeLeft,731.915
Pond4_Type,N
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.419
Pond4Fish13_GiveUpTime,-1
Pond4Fish13_PondTime,14.109
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,352
Pond4Fish13_TimeLeft,717.806
Pond4_Type,N
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.089
Pond4Fish14_GiveUpTime,-1
Pond4Fish14_PondTime,16.097
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,363
Pond4Fish14_TimeLeft,701.709
Pond4_Type,N
Pond4Fish15_FishType,green
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,1.307
Pond4Fish15_GiveUpTime,-1
Pond4Fish15_PondTime,19.086
Pond4Fish15_PondOutcome,165
Pond4Fish15_TotalOutcome,374
Pond4Fish15_TimeLeft,682.623
Pond4_Type,N
Pond4Fish16_FishType,green
Pond4Fish16_FishLatency,15
Pond4Fish16_CatchTime,1.172
Pond4Fish16_GiveUpTime,-1
Pond4Fish16_PondTime,24.112
Pond4Fish16_PondOutcome,176
Pond4Fish16_TotalOutcome,385
Pond4Fish16_TimeLeft,658.51
Pond4_Type,N
Pond4Fish17_FishType,green
Pond4Fish17_FishLatency,20
Pond4Fish17_CatchTime,1.251
Pond4Fish17_GiveUpTime,-1
Pond4Fish17_PondTime,34.098
Pond4Fish17_PondOutcome,187
Pond4Fish17_TotalOutcome,396
Pond4Fish17_TimeLeft,624.412
Pond4_Type,N
Pond4Fish18_FishType,green
Pond4Fish18_FishLatency,30
Pond4Fish18_CatchTime,-1
Pond4Fish18_GiveUpTime,59.598
Pond4Fish18_PondTime,57.151
Pond4Fish18_PondOutcome,187
Pond4Fish18_TotalOutcome,396
Pond4Fish18_TimeLeft,567.26
Pond3IntroTime,15.838263917248696
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.024
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,28.145
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,407
Pond5Fish1_TimeLeft,539.115
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.095
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.095
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,418
Pond5Fish2_TimeLeft,530.019
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.287
Pond5Fish3_GiveUpTime,-1
Pond5Fish3_PondTime,9.549
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,429
Pond5Fish3_TimeLeft,520.47
Pond5_Type,N
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.213
Pond5Fish4_GiveUpTime,-1
Pond5Fish4_PondTime,10.096
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,440
Pond5Fish4_TimeLeft,510.374
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,3.053
Pond5Fish5_GiveUpTime,-1
Pond5Fish5_PondTime,10.763
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,451
Pond5Fish5_TimeLeft,499.609
Pond5_Type,N
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.421
Pond5Fish6_GiveUpTime,-1
Pond5Fish6_PondTime,11.629
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,462
Pond5Fish6_TimeLeft,487.979
Pond5_Type,N
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.982
Pond5Fish7_GiveUpTime,-1
Pond5Fish7_PondTime,12.698
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,473
Pond5Fish7_TimeLeft,475.281
Pond5_Type,N
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.421
Pond5Fish8_GiveUpTime,-1
Pond5Fish8_PondTime,14.111
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,484
Pond5Fish8_TimeLeft,461.169
Pond5_Type,N
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,-1
Pond5Fish9_GiveUpTime,-1
Pond5Fish9_PondTime,16.179
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,484
Pond5Fish9_TimeLeft,444.989
Pond5_Type,N
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.056
Pond5Fish10_GiveUpTime,-1
Pond5Fish10_PondTime,19.126
Pond5Fish10_PondOutcome,99
Pond5Fish10_TotalOutcome,495
Pond5Fish10_TimeLeft,425.862
Pond5_Type,N
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,0.947
Pond5Fish11_GiveUpTime,-1
Pond5Fish11_PondTime,24.12
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,506
Pond5Fish11_TimeLeft,401.742
Pond5_Type,N
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,1.241
Pond5Fish12_GiveUpTime,-1
Pond5Fish12_PondTime,34.097
Pond5Fish12_PondOutcome,121
Pond5Fish12_TotalOutcome,517
Pond5Fish12_TimeLeft,367.645
Pond5_Type,N
Pond5Fish13_FishType,green
Pond5Fish13_FishLatency,30
Pond5Fish13_CatchTime,-1
Pond5Fish13_GiveUpTime,58.237
Pond5Fish13_PondTime,55.764
Pond5Fish13_PondOutcome,121
Pond5Fish13_TotalOutcome,517
Pond5Fish13_TimeLeft,311.88
Pond4IntroTime,14.12786329165101
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.258
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,27.275
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,528
Pond10Fish1_TimeLeft,284.604
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,2.11
Pond10Fish2_GiveUpTime,-1
Pond10Fish2_PondTime,10.124
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,539
Pond10Fish2_TimeLeft,274.478
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.096
Pond10Fish3_GiveUpTime,-1
Pond10Fish3_PondTime,10.763
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,550
Pond10Fish3_TimeLeft,263.715
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.122
Pond10Fish4_GiveUpTime,-1
Pond10Fish4_PondTime,11.651
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,561
Pond10Fish4_TimeLeft,252.064
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.22
Pond10Fish5_GiveUpTime,-1
Pond10Fish5_PondTime,12.676
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,572
Pond10Fish5_TimeLeft,239.386
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,2.245
Pond10Fish6_GiveUpTime,-1
Pond10Fish6_PondTime,14.145
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,583
Pond10Fish6_TimeLeft,225.24
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.113
Pond10Fish7_GiveUpTime,-1
Pond10Fish7_PondTime,16.094
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,594
Pond10Fish7_TimeLeft,209.145
Pond10_Type,N
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.057
Pond10Fish8_GiveUpTime,-1
Pond10Fish8_PondTime,19.097
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,605
Pond10Fish8_TimeLeft,190.048
Pond10_Type,N
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,1.262
Pond10Fish9_GiveUpTime,-1
Pond10Fish9_PondTime,24.096
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,616
Pond10Fish9_TimeLeft,165.951
Pond10_Type,N
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,20
Pond10Fish10_CatchTime,1.62
Pond10Fish10_GiveUpTime,-1
Pond10Fish10_PondTime,34.107
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,627
Pond10Fish10_TimeLeft,131.843
Pond10_Type,N
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,30
Pond10Fish11_CatchTime,2.485
Pond10Fish11_GiveUpTime,-1
Pond10Fish11_PondTime,64.138
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,638
Pond10Fish11_TimeLeft,67.704
Pond10_Type,N
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,60
Pond10Fish12_CatchTime,1.59
Pond10Fish12_GiveUpTime,-1
Pond10Fish12_PondTime,4.102
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,649
Pond10Fish12_TimeLeft,63.601
