,5c5fdf37808997000178a8ac
Pond6Fish2_CatchTime,0.813
Pond6Fish2_GiveUpTime,-1
Pond6Fish2_PondTime,7.856
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,198
Pond6Fish2_TimeLeft,944.312
Pond6_Type,N
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.134
Pond6Fish3_GiveUpTime,-1
Pond6Fish3_PondTime,8.1
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,209
Pond6Fish3_TimeLeft,936.211
Pond6_Type,N
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.134
Pond6Fish4_GiveUpTime,-1
Pond6Fish4_PondTime,8.391
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,220
Pond6Fish4_TimeLeft,927.82
Pond6_Type,N
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.968
Pond6Fish5_GiveUpTime,-1
Pond6Fish5_PondTime,8.724
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,231
Pond6Fish5_TimeLeft,919.095
Pond6_Type,N
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.076
Pond6Fish6_GiveUpTime,-1
Pond6Fish6_PondTime,9.101
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,242
Pond6Fish6_TimeLeft,909.994
Pond6_Type,N
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.91
Pond6Fish7_GiveUpTime,-1
Pond6Fish7_PondTime,9.558
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,253
Pond6Fish7_TimeLeft,900.436
Pond6_Type,N
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.884
Pond6Fish8_GiveUpTime,-1
Pond6Fish8_PondTime,10.104
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,264
Pond6Fish8_TimeLeft,890.332
Pond6_Type,N
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.56
Pond6Fish9_GiveUpTime,-1
Pond6Fish9_PondTime,10.765
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,275
Pond6Fish9_TimeLeft,879.567
Pond6_Type,N
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,1.084
Pond6Fish10_GiveUpTime,-1
Pond6Fish10_PondTime,11.592
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,286
Pond6Fish10_TimeLeft,867.974
Pond6_Type,N
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,2.262
Pond6Fish11_GiveUpTime,-1
Pond6Fish11_PondTime,12.668
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,297
Pond6Fish11_TimeLeft,855.305
Pond6_Type,N
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,1.085
Pond6Fish12_GiveUpTime,-1
Pond6Fish12_PondTime,14.112
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,308
Pond6Fish12_TimeLeft,841.193
Pond6_Type,N
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.311
Pond6Fish13_GiveUpTime,-1
Pond6Fish13_PondTime,16.104
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,319
Pond6Fish13_TimeLeft,825.088
Pond6_Type,N
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,-1
Pond6Fish14_GiveUpTime,-1
Pond6Fish14_PondTime,19.161
Pond6Fish14_PondOutcome,143
Pond6Fish14_TotalOutcome,319
Pond6Fish14_TimeLeft,805.926
Pond6_Type,N
Pond6Fish15_FishType,green
Pond6Fish15_FishLatency,15
Pond6Fish15_CatchTime,2.049
Pond6Fish15_GiveUpTime,-1
Pond6Fish15_PondTime,24.107
Pond6Fish15_PondOutcome,154
Pond6Fish15_TotalOutcome,330
Pond6Fish15_TimeLeft,781.819
Pond6_Type,N
Pond6Fish16_FishType,green
Pond6Fish16_FishLatency,20
Pond6Fish16_CatchTime,-1
Pond6Fish16_GiveUpTime,10.382
Pond6Fish16_PondTime,8.716
Pond6Fish16_PondOutcome,154
Pond6Fish16_TotalOutcome,330
Pond6Fish16_TimeLeft,773.103
Pond3IntroTime,17.19738971441984
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,-1
Pond8Fish1_GiveUpTime,-1
Pond8Fish1_PondTime,25.433
