,5c74467337793100010f8c7c
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.475
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.11
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,748
Pond9Fish4_TimeLeft,182.941
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.795
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.421
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,759
Pond9Fish5_TimeLeft,174.519
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.453
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,8.74
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,770
Pond9Fish6_TimeLeft,165.779
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.443
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,9.157
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,781
Pond9Fish7_TimeLeft,156.62
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.886
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,9.571
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,792
Pond9Fish8_TimeLeft,147.049
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.786
Pond9Fish9_GiveUpTime,-1
Pond9Fish9_PondTime,10.166
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,803
Pond9Fish9_TimeLeft,136.882
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.804
Pond9Fish10_GiveUpTime,-1
Pond9Fish10_PondTime,10.832
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,814
Pond9Fish10_TimeLeft,126.049
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.567
Pond9Fish11_GiveUpTime,-1
Pond9Fish11_PondTime,11.63
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,825
Pond9Fish11_TimeLeft,114.418
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,3.113
Pond9Fish12_GiveUpTime,-1
Pond9Fish12_PondTime,12.7
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,836
Pond9Fish12_TimeLeft,101.717
Pond9_Type,N
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,2.2
Pond9Fish13_GiveUpTime,-1
Pond9Fish13_PondTime,14.143
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,847
Pond9Fish13_TimeLeft,87.573
Pond9_Type,N
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.616
Pond9Fish14_GiveUpTime,-1
Pond9Fish14_PondTime,16.103
Pond9Fish14_PondOutcome,154
Pond9Fish14_TotalOutcome,858
Pond9Fish14_TimeLeft,71.47
Pond9_Type,N
Pond9Fish15_FishType,green
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,-1
Pond9Fish15_GiveUpTime,15.962
Pond9Fish15_PondTime,13.882
Pond9Fish15_PondOutcome,154
Pond9Fish15_TotalOutcome,858
Pond9Fish15_TimeLeft,57.587
Pond12IntroTime,19.5806931424886
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.79
Pond6Fish1_GiveUpTime,-1
Pond6Fish1_PondTime,30.815
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,869
Pond6Fish1_TimeLeft,26.77
Pond6_Type,N
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.687
Pond6Fish2_GiveUpTime,-1
Pond6Fish2_PondTime,7.852
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,880
Pond6Fish2_TimeLeft,18.918
Pond6_Type,N
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.581
Pond6Fish3_GiveUpTime,-1
Pond6Fish3_PondTime,8.155
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,891
Pond6Fish3_TimeLeft,10.762
Pond6_Type,N
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,2.181
Pond6Fish4_GiveUpTime,-1
Pond6Fish4_PondTime,8.428
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,902
Pond6Fish4_TimeLeft,2.333
