,5cebc8f712495000171573a3
Pond1Fish7_TotalOutcome,143
Pond1Fish7_TimeLeft,1058.948
Pond3IntroTime,17.482569229323417
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.916
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,29.747
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,154
Pond5Fish1_TimeLeft,1029.201
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.145
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.099
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,165
Pond5Fish2_TimeLeft,1020.102
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.083
Pond5Fish3_GiveUpTime,-1
Pond5Fish3_PondTime,9.549
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,176
Pond5Fish3_TimeLeft,1010.553
Pond5_Type,N
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.744
Pond5Fish4_GiveUpTime,-1
Pond5Fish4_PondTime,10.084
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,187
Pond5Fish4_TimeLeft,1000.469
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.004
Pond5Fish5_GiveUpTime,-1
Pond5Fish5_PondTime,10.749
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,198
Pond5Fish5_TimeLeft,989.72
Pond5_Type,N
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.139
Pond5Fish6_GiveUpTime,-1
Pond5Fish6_PondTime,11.6
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,209
Pond5Fish6_TimeLeft,978.12
Pond5_Type,N
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.434
Pond5Fish7_GiveUpTime,-1
Pond5Fish7_PondTime,12.665
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,220
Pond5Fish7_TimeLeft,965.455
Pond5_Type,N
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,-1
Pond5Fish8_GiveUpTime,12.382
Pond5Fish8_PondTime,10.105
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,220
Pond5Fish8_TimeLeft,955.35
Pond4IntroTime,18.46128082834184
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.084
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,29.443
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,231
Pond4Fish1_TimeLeft,925.906
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.236
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.619
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,242
Pond4Fish2_TimeLeft,918.287
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.953
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.848
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,253
Pond4Fish3_TimeLeft,910.439
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.351
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,8.1
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,264
Pond4Fish4_TimeLeft,902.339
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.688
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.38
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,275
Pond4Fish5_TimeLeft,893.959
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.211
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,8.702
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,286
Pond4Fish6_TimeLeft,885.257
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,0.889
Pond4Fish7_GiveUpTime,-1
Pond4Fish7_PondTime,9.082
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,297
Pond4Fish7_TimeLeft,876.175
Pond4_Type,N
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.995
Pond4Fish8_GiveUpTime,-1
Pond4Fish8_PondTime,9.551
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,308
Pond4Fish8_TimeLeft,866.624
Pond4_Type,N
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.032
Pond4Fish9_GiveUpTime,-1
Pond4Fish9_PondTime,11.359
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,319
Pond4Fish9_TimeLeft,855.265
Pond4_Type,N
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,-1
Pond4Fish10_GiveUpTime,-1
Pond4Fish10_PondTime,15.999
Pond4Fish10_PondOutcome,99
Pond4Fish10_TotalOutcome,319
Pond4Fish10_TimeLeft,839.266
Pond4_Type,N
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,-1
Pond4Fish11_GiveUpTime,-1
Pond4Fish11_PondTime,17
Pond4Fish11_PondOutcome,99
Pond4Fish11_TotalOutcome,319
Pond4Fish11_TimeLeft,822.266
Pond4_Type,N
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,-1
Pond4Fish12_GiveUpTime,-1
Pond4Fish12_PondTime,18.001
Pond4Fish12_PondOutcome,99
Pond4Fish12_TotalOutcome,319
Pond4Fish12_TimeLeft,804.265
Pond4_Type,N
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,-1
Pond4Fish13_GiveUpTime,-1
Pond4Fish13_PondTime,19
Pond4Fish13_PondOutcome,99
Pond4Fish13_TotalOutcome,319
Pond4Fish13_TimeLeft,785.265
Pond4_Type,N
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,-1
Pond4Fish14_GiveUpTime,-1
Pond4Fish14_PondTime,21
Pond4Fish14_PondOutcome,99
Pond4Fish14_TotalOutcome,319
Pond4Fish14_TimeLeft,764.265
Pond4_Type,N
Pond4Fish15_FishType,green
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,-1
Pond4Fish15_GiveUpTime,-1
Pond4Fish15_PondTime,24
Pond4Fish15_PondOutcome,99
Pond4Fish15_TotalOutcome,319
Pond4Fish15_TimeLeft,740.265
