,5d553486ee19cf00016a808c
Pond7Fish7_TimeLeft,966.913
Pond7_Type,N
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.168
Pond7Fish8_GiveUpTime,-1
Pond7Fish8_PondTime,10.768
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,231
Pond7Fish8_TimeLeft,956.145
Pond7_Type,N
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.023
Pond7Fish9_GiveUpTime,-1
Pond7Fish9_PondTime,11.604
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,242
Pond7Fish9_TimeLeft,944.541
Pond7_Type,N
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.784
Pond7Fish10_GiveUpTime,-1
Pond7Fish10_PondTime,12.668
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,253
Pond7Fish10_TimeLeft,931.873
Pond7_Type,N
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,0.969
Pond7Fish11_GiveUpTime,-1
Pond7Fish11_PondTime,14.101
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,264
Pond7Fish11_TimeLeft,917.772
Pond7_Type,N
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.131
Pond7Fish12_GiveUpTime,-1
Pond7Fish12_PondTime,16.097
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,275
Pond7Fish12_TimeLeft,901.675
Pond7_Type,N
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,-1
Pond7Fish13_GiveUpTime,0.88
Pond7Fish13_PondTime,17.255
Pond7Fish13_PondOutcome,132
Pond7Fish13_TotalOutcome,275
Pond7Fish13_TimeLeft,884.42
Pond3IntroTime,12.468508733436465
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.038
