,5d4d53b6f20feb00180b594a
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,143
Pond5Fish7_TimeLeft,1016.463
Pond5_Type,N
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.326
Pond5Fish8_GiveUpTime,-1
Pond5Fish8_PondTime,14.117
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,154
Pond5Fish8_TimeLeft,1002.346
Pond5_Type,N
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,-1
Pond5Fish9_GiveUpTime,13.742
Pond5Fish9_PondTime,11.351
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,154
Pond5Fish9_TimeLeft,990.995
Pond4IntroTime,10.182814635336399
Pond1_Type,N
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.42
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,21.413
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,165
Pond1Fish1_TimeLeft,969.582
Pond1_Type,N
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.439
Pond1Fish2_GiveUpTime,-1
Pond1Fish2_PondTime,7.863
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,176
Pond1Fish2_TimeLeft,961.718
Pond1_Type,N
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.324
Pond1Fish3_GiveUpTime,-1
Pond1Fish3_PondTime,8.122
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,187
Pond1Fish3_TimeLeft,953.596
Pond1_Type,N
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.516
Pond1Fish4_GiveUpTime,-1
Pond1Fish4_PondTime,8.392
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,198
Pond1Fish4_TimeLeft,945.204
Pond1_Type,N
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.6
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.719
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,209
Pond1Fish5_TimeLeft,936.485
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.523
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.111
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,220
Pond1Fish6_TimeLeft,927.374
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.406
Pond1Fish7_GiveUpTime,-1
Pond1Fish7_PondTime,9.554
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,231
Pond1Fish7_TimeLeft,917.819
Pond1_Type,N
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.22
Pond1Fish8_GiveUpTime,-1
Pond1Fish8_PondTime,10.118
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,242
Pond1Fish8_TimeLeft,907.701
Pond1_Type,N
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.207
Pond1Fish9_GiveUpTime,-1
Pond1Fish9_PondTime,10.777
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,253
Pond1Fish9_TimeLeft,896.924
Pond1_Type,N
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.803
Pond1Fish10_GiveUpTime,-1
Pond1Fish10_PondTime,11.619
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,264
Pond1Fish10_TimeLeft,885.305
Pond1_Type,N
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.802
Pond1Fish11_GiveUpTime,-1
Pond1Fish11_PondTime,12.695
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,275
Pond1Fish11_TimeLeft,872.61
Pond1_Type,N
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.474
Pond1Fish12_GiveUpTime,-1
Pond1Fish12_PondTime,14.108
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,286
Pond1Fish12_TimeLeft,858.502
Pond1_Type,N
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,-1
Pond1Fish13_GiveUpTime,12.092
Pond1Fish13_PondTime,9.857
Pond1Fish13_PondOutcome,132
Pond1Fish13_TotalOutcome,286
Pond1Fish13_TimeLeft,848.645
Pond5IntroTime,17.195508994627744
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,3.132
Pond6Fish1_GiveUpTime,-1
Pond6Fish1_PondTime,28.439
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,297
Pond6Fish1_TimeLeft,820.206
Pond6_Type,N
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.257
Pond6Fish2_GiveUpTime,-1
Pond6Fish2_PondTime,7.857
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,308
Pond6Fish2_TimeLeft,812.349
Pond6_Type,N
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.17
Pond6Fish3_GiveUpTime,-1
Pond6Fish3_PondTime,8.111
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,319
Pond6Fish3_TimeLeft,804.238
Pond6_Type,N
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.425
Pond6Fish4_GiveUpTime,-1
Pond6Fish4_PondTime,8.395
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,330
Pond6Fish4_TimeLeft,795.843
Pond6_Type,N
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,1.714
Pond6Fish5_GiveUpTime,-1
Pond6Fish5_PondTime,8.715
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,341
Pond6Fish5_TimeLeft,787.128
Pond6_Type,N
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.624
Pond6Fish6_GiveUpTime,-1
Pond6Fish6_PondTime,9.109
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,352
Pond6Fish6_TimeLeft,778.018
Pond6_Type,N
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.59
Pond6Fish7_GiveUpTime,-1
Pond6Fish7_PondTime,9.576
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,363
Pond6Fish7_TimeLeft,768.442
Pond6_Type,N
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.569
Pond6Fish8_GiveUpTime,-1
Pond6Fish8_PondTime,10.112
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,374
Pond6Fish8_TimeLeft,758.33
Pond6_Type,N
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.582
Pond6Fish9_GiveUpTime,-1
Pond6Fish9_PondTime,10.78
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,385
Pond6Fish9_TimeLeft,747.55
Pond6_Type,N
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,1.927
Pond6Fish10_GiveUpTime,-1
Pond6Fish10_PondTime,11.602
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,396
Pond6Fish10_TimeLeft,735.948
Pond6_Type,N
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,-1
Pond6Fish11_GiveUpTime,1.265
Pond6Fish11_PondTime,12.146
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,396
Pond6Fish11_TimeLeft,723.802
Pond6IntroTime,14.256529237609357
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.219
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,25.247
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,407
Pond4Fish1_TimeLeft,698.555
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.353
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.637
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,418
Pond4Fish2_TimeLeft,690.918
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.633
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.849
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,429
Pond4Fish3_TimeLeft,683.069
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.596
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,8.12
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,440
Pond4Fish4_TimeLeft,674.949
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.311
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.388
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,451
Pond4Fish5_TimeLeft,666.561
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.454
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,8.723
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,462
Pond4Fish6_TimeLeft,657.838
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.608
Pond4Fish7_GiveUpTime,-1
Pond4Fish7_PondTime,9.112
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,473
Pond4Fish7_TimeLeft,648.726
Pond4_Type,N
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,1.57
Pond4Fish8_GiveUpTime,-1
Pond4Fish8_PondTime,9.571
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,484
Pond4Fish8_TimeLeft,639.155
Pond4_Type,N
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.45
Pond4Fish9_GiveUpTime,-1
Pond4Fish9_PondTime,10.107
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,495
Pond4Fish9_TimeLeft,629.048
Pond4_Type,N
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.269
Pond4Fish10_GiveUpTime,-1
Pond4Fish10_PondTime,10.767
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,506
Pond4Fish10_TimeLeft,618.281
Pond4_Type,N
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,1.666
Pond4Fish11_GiveUpTime,-1
Pond4Fish11_PondTime,11.62
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,517
Pond4Fish11_TimeLeft,606.661
Pond4_Type,N
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,-1
Pond4Fish12_GiveUpTime,1.25
Pond4Fish12_PondTime,11.599
Pond4Fish12_PondOutcome,121
Pond4Fish12_TotalOutcome,517
Pond4Fish12_TimeLeft,595.062
Pond7IntroTime,12.224222859367728
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.485
Pond7Fish1_GiveUpTime,-1
Pond7Fish1_PondTime,23.662
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,528
