,5d8db9ab00bbaa001b10bc5d
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.143
Pond3Fish9_GiveUpTime,-1
Pond3Fish9_PondTime,10.101
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,814
Pond3Fish9_TimeLeft,282.252
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,-1
Pond3Fish10_GiveUpTime,0.445
Pond3Fish10_PondTime,8.596
Pond3Fish10_PondOutcome,99
Pond3Fish10_TotalOutcome,814
Pond3Fish10_TimeLeft,273.656
Pond10IntroTime,17.597041509579867
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.501
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,30.275
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,825
Pond2Fish1_TimeLeft,243.38
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,0.934
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.547
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,836
Pond2Fish2_TimeLeft,233.832
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.045
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.103
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,847
Pond2Fish3_TimeLeft,223.727
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,-1
Pond2Fish4_GiveUpTime,0.416
Pond2Fish4_PondTime,8.659
Pond2Fish4_PondOutcome,33
Pond2Fish4_TotalOutcome,847
Pond2Fish4_TimeLeft,215.068
Pond11IntroTime,13.880131859332323
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.081
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,25.104
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,858
Pond11Fish1_TimeLeft,189.963
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.246
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,7.849
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,869
Pond11Fish2_TimeLeft,182.113
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.832
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.087
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,880
Pond11Fish3_TimeLeft,174.025
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.022
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,8.377
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,891
Pond11Fish4_TimeLeft,165.647
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.925
Pond11Fish5_GiveUpTime,-1
Pond11Fish5_PondTime,8.713
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,902
Pond11Fish5_TimeLeft,156.932
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.342
Pond11Fish6_GiveUpTime,-1
Pond11Fish6_PondTime,9.088
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,913
Pond11Fish6_TimeLeft,147.844
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.063
Pond11Fish7_GiveUpTime,-1
Pond11Fish7_PondTime,9.543
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,924
Pond11Fish7_TimeLeft,138.3
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.156
Pond11Fish8_GiveUpTime,-1
Pond11Fish8_PondTime,10.091
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,935
Pond11Fish8_TimeLeft,128.209
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,-1
Pond11Fish9_GiveUpTime,0.563
Pond11Fish9_PondTime,8.887
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,935
Pond11Fish9_TimeLeft,119.321
Pond12IntroTime,18.501117581035942
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.19
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,30.83
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,946
Pond5Fish1_TimeLeft,88.49
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.242
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.092
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,957
Pond5Fish2_TimeLeft,79.398
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.067
Pond5Fish3_GiveUpTime,-1
Pond5Fish3_PondTime,9.548
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,968
Pond5Fish3_TimeLeft,69.849
Pond5_Type,N
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.075
Pond5Fish4_GiveUpTime,-1
Pond5Fish4_PondTime,10.093
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,979
Pond5Fish4_TimeLeft,59.755
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,-1
Pond5Fish5_GiveUpTime,0.566
Pond5Fish5_PondTime,8.986
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,979
Pond5Fish5_TimeLeft,50.767
Pond13IntroTime,18.30807722406462
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.215
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,30.975
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,990
Pond2Fish1_TimeLeft,19.792
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.054
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.549
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,1001
Pond2Fish2_TimeLeft,10.242
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,-1
Pond2Fish3_GiveUpTime,0.393
Pond2Fish3_PondTime,8.036
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,1001
Pond2Fish3_TimeLeft,2.205
Pond14IntroTime,15.125821740366518
