,5c6dcf4e066f6b0001556e87
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,1
Pond8Fish7_GiveUpTime,-1
Pond8Fish7_PondTime,10.761
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,836
Pond8Fish7_TimeLeft,231.462
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,0.989
Pond8Fish8_GiveUpTime,-1
Pond8Fish8_PondTime,11.595
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,847
Pond8Fish8_TimeLeft,219.867
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,0.902
Pond8Fish9_GiveUpTime,-1
Pond8Fish9_PondTime,12.662
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,858
Pond8Fish9_TimeLeft,207.204
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.835
Pond8Fish10_GiveUpTime,-1
Pond8Fish10_PondTime,14.099
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,869
Pond8Fish10_TimeLeft,193.105
Pond8_Type,N
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,-1
Pond8Fish11_GiveUpTime,0.646
Pond8Fish11_PondTime,14.035
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,869
Pond8Fish11_TimeLeft,179.069
Pond8IntroTime,18.383159169461578
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.896
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,29.376
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,880
Pond4Fish1_TimeLeft,149.692
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.159
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.624
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,891
Pond4Fish2_TimeLeft,142.068
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.902
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.84
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,902
Pond4Fish3_TimeLeft,134.228
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.264
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,8.092
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,913
Pond4Fish4_TimeLeft,126.135
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.801
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.375
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,924
Pond4Fish5_TimeLeft,117.76
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.917
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,8.709
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,935
Pond4Fish6_TimeLeft,109.051
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,0.952
Pond4Fish7_GiveUpTime,-1
Pond4Fish7_PondTime,9.091
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,946
Pond4Fish7_TimeLeft,99.959
Pond4_Type,N
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,1.249
Pond4Fish8_GiveUpTime,-1
Pond4Fish8_PondTime,9.545
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,957
Pond4Fish8_TimeLeft,90.414
Pond4_Type,N
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.299
Pond4Fish9_GiveUpTime,-1
Pond4Fish9_PondTime,10.093
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,968
Pond4Fish9_TimeLeft,80.321
Pond4_Type,N
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.026
Pond4Fish10_GiveUpTime,-1
Pond4Fish10_PondTime,10.759
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,979
Pond4Fish10_TimeLeft,69.562
Pond4_Type,N
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.831
Pond4Fish11_GiveUpTime,-1
Pond4Fish11_PondTime,11.596
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,990
Pond4Fish11_TimeLeft,57.966
Pond4_Type,N
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,-1
Pond4Fish12_GiveUpTime,0.963
Pond4Fish12_PondTime,11.082
Pond4Fish12_PondOutcome,121
Pond4Fish12_TotalOutcome,990
Pond4Fish12_TimeLeft,46.884
Pond9IntroTime,16.237116230186075
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.956
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,27.427
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,1001
Pond11Fish1_TimeLeft,19.457
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.636
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,7.841
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,1012
Pond11Fish2_TimeLeft,11.616
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.751
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.091
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,1023
Pond11Fish3_TimeLeft,3.525
