,5c847acf879a350016dee2e5
Pond5Fish1_CatchTime,0.986
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,24.694
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,825
Pond5Fish1_TimeLeft,260.865
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.08
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.104
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,836
Pond5Fish2_TimeLeft,251.76
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.701
Pond5Fish3_GiveUpTime,-1
Pond5Fish3_PondTime,9.546
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,847
Pond5Fish3_TimeLeft,242.214
Pond5_Type,N
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.753
Pond5Fish4_GiveUpTime,-1
Pond5Fish4_PondTime,11.088
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,858
Pond5Fish4_TimeLeft,231.126
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.935
Pond5Fish5_GiveUpTime,-1
Pond5Fish5_PondTime,10.785
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,869
Pond5Fish5_TimeLeft,220.34
Pond5_Type,N
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.636
Pond5Fish6_GiveUpTime,-1
Pond5Fish6_PondTime,11.593
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,880
Pond5Fish6_TimeLeft,208.746
Pond5_Type,N
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.303
Pond5Fish7_GiveUpTime,-1
Pond5Fish7_PondTime,12.661
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,891
Pond5Fish7_TimeLeft,196.084
Pond5_Type,N
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,0.92
Pond5Fish8_GiveUpTime,-1
Pond5Fish8_PondTime,14.099
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,902
Pond5Fish8_TimeLeft,181.984
Pond5_Type,N
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.458
Pond5Fish9_GiveUpTime,-1
Pond5Fish9_PondTime,16.101
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,913
Pond5Fish9_TimeLeft,165.882
Pond5_Type,N
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,-1
Pond5Fish10_GiveUpTime,2.559
Pond5Fish10_PondTime,0.306
Pond5Fish10_PondOutcome,99
Pond5Fish10_TotalOutcome,913
Pond5Fish10_TimeLeft,165.575
Pond9IntroTime,16.953016268089414
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.932
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,28.618
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,924
Pond12Fish1_TimeLeft,136.957
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,2.284
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.377
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,935
Pond12Fish2_TimeLeft,128.58
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.828
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,9.146
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,946
Pond12Fish3_TimeLeft,119.434
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.999
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.109
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,957
Pond12Fish4_TimeLeft,110.324
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.098
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.556
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,968
Pond12Fish5_TimeLeft,100.768
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.338
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.104
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,979
Pond12Fish6_TimeLeft,90.663
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.954
Pond12Fish7_GiveUpTime,-1
Pond12Fish7_PondTime,10.767
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,990
Pond12Fish7_TimeLeft,79.894
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.958
Pond12Fish8_GiveUpTime,-1
Pond12Fish8_PondTime,11.603
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,1001
Pond12Fish8_TimeLeft,68.29
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.088
Pond12Fish9_GiveUpTime,-1
Pond12Fish9_PondTime,12.664
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,1012
Pond12Fish9_TimeLeft,55.625
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.362
Pond12Fish10_GiveUpTime,-1
Pond12Fish10_PondTime,14.1
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,1023
Pond12Fish10_TimeLeft,41.525
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,-1
Pond12Fish11_GiveUpTime,0.571
Pond12Fish11_PondTime,13.753
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,1023
Pond12Fish11_TimeLeft,27.771
Pond10IntroTime,12.21612585708499
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.221
Pond8Fish1_GiveUpTime,-1
Pond8Fish1_PondTime,23.897
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,1034
Pond8Fish1_TimeLeft,3.874
