,5acb33fd436f55000100151f
Pond6Fish13_TimeLeft,113.615
Pond6_Type,N
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,-1
Pond6Fish14_GiveUpTime,1.577
Pond6Fish14_PondTime,17.829
Pond6Fish14_PondOutcome,143
Pond6Fish14_TotalOutcome,836
Pond6Fish14_TimeLeft,95.786
Pond8IntroTime,18.444987745024264
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.018
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,29.606
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,847
Pond4Fish1_TimeLeft,66.18
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.227
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.631
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,858
Pond4Fish2_TimeLeft,58.549
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.042
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,9.029
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,869
Pond4Fish3_TimeLeft,49.52
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.076
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,9.538
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,880
Pond4Fish4_TimeLeft,39.982
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.812
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.401
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,891
Pond4Fish5_TimeLeft,31.58
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.052
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,8.843
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,902
Pond4Fish6_TimeLeft,22.736
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.891
Pond4Fish7_GiveUpTime,-1
Pond4Fish7_PondTime,10.216
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,913
Pond4Fish7_TimeLeft,12.52
Pond4_Type,N
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.848
Pond4Fish8_GiveUpTime,-1
Pond4Fish8_PondTime,10.176
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,924
Pond4Fish8_TimeLeft,2.344
