,5acb33fd436f55000100151f
Pond10Fish5_PondTime,10.894
Pond10Fish5_PondOutcome,44
Pond10Fish5_TotalOutcome,143
Pond10Fish5_TimeLeft,1036.826
Pond3IntroTime,18.52769917342812
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.732
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,31.008
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,154
Pond12Fish1_TimeLeft,1005.818
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.174
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.385
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,165
Pond12Fish2_TimeLeft,997.433
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.03
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.717
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,176
Pond12Fish3_TimeLeft,988.716
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.01
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.1
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,187
Pond12Fish4_TimeLeft,979.616
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.863
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.55
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,198
Pond12Fish5_TimeLeft,970.066
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.812
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.101
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,209
Pond12Fish6_TimeLeft,959.965
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.896
Pond12Fish7_GiveUpTime,-1
Pond12Fish7_PondTime,10.767
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,220
Pond12Fish7_TimeLeft,949.198
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.723
Pond12Fish8_GiveUpTime,-1
Pond12Fish8_PondTime,11.604
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,231
Pond12Fish8_TimeLeft,937.594
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.806
Pond12Fish9_GiveUpTime,-1
Pond12Fish9_PondTime,12.663
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,242
Pond12Fish9_TimeLeft,924.93
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,0.953
Pond12Fish10_GiveUpTime,-1
Pond12Fish10_PondTime,14.099
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,253
Pond12Fish10_TimeLeft,910.831
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,0.813
Pond12Fish11_GiveUpTime,-1
Pond12Fish11_PondTime,16.084
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,264
Pond12Fish11_TimeLeft,894.747
Pond12_Type,N
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,0.768
Pond12Fish12_GiveUpTime,-1
Pond12Fish12_PondTime,19.099
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,275
Pond12Fish12_TimeLeft,875.648
Pond12_Type,N
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,15
Pond12Fish13_CatchTime,1.101
Pond12Fish13_GiveUpTime,-1
Pond12Fish13_PondTime,24.088
Pond12Fish13_PondOutcome,143
Pond12Fish13_TotalOutcome,286
Pond12Fish13_TimeLeft,851.559
Pond12_Type,N
Pond12Fish14_FishType,green
Pond12Fish14_FishLatency,20
Pond12Fish14_CatchTime,-1
Pond12Fish14_GiveUpTime,0.624
Pond12Fish14_PondTime,31.594
Pond12Fish14_PondOutcome,143
Pond12Fish14_TotalOutcome,286
Pond12Fish14_TimeLeft,819.965
Pond4IntroTime,13.65899953758344
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.685
Pond9Fish1_GiveUpTime,-1
Pond9Fish1_PondTime,24.806
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,297
Pond9Fish1_TimeLeft,795.159
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.506
Pond9Fish2_GiveUpTime,-1
Pond9Fish2_PondTime,7.622
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,308
Pond9Fish2_TimeLeft,787.536
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.969
Pond9Fish3_GiveUpTime,-1
Pond9Fish3_PondTime,7.843
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,319
Pond9Fish3_TimeLeft,779.693
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.405
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.103
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,330
Pond9Fish4_TimeLeft,771.59
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.859
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.38
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,341
Pond9Fish5_TimeLeft,763.21
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.099
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,8.704
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,352
Pond9Fish6_TimeLeft,754.506
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.896
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,9.098
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,363
Pond9Fish7_TimeLeft,745.408
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.961
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,9.551
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,374
Pond9Fish8_TimeLeft,735.857
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.819
Pond9Fish9_GiveUpTime,-1
Pond9Fish9_PondTime,10.1
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,385
Pond9Fish9_TimeLeft,725.757
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.845
Pond9Fish10_GiveUpTime,-1
Pond9Fish10_PondTime,10.749
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,396
Pond9Fish10_TimeLeft,715.008
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.726
Pond9Fish11_GiveUpTime,-1
Pond9Fish11_PondTime,11.586
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,407
Pond9Fish11_TimeLeft,703.421
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.77
Pond9Fish12_GiveUpTime,-1
Pond9Fish12_PondTime,12.666
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,418
Pond9Fish12_TimeLeft,690.755
Pond9_Type,N
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,0.667
Pond9Fish13_GiveUpTime,-1
Pond9Fish13_PondTime,14.101
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,429
Pond9Fish13_TimeLeft,676.654
Pond9_Type,N
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,0.911
Pond9Fish14_GiveUpTime,-1
Pond9Fish14_PondTime,16.1
Pond9Fish14_PondOutcome,154
Pond9Fish14_TotalOutcome,440
Pond9Fish14_TimeLeft,660.554
Pond9_Type,N
Pond9Fish15_FishType,green
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.091
Pond9Fish15_GiveUpTime,-1
Pond9Fish15_PondTime,19.083
Pond9Fish15_PondOutcome,165
Pond9Fish15_TotalOutcome,451
Pond9Fish15_TimeLeft,641.471
Pond9_Type,N
Pond9Fish16_FishType,green
Pond9Fish16_FishLatency,15
Pond9Fish16_CatchTime,0.6
Pond9Fish16_GiveUpTime,-1
Pond9Fish16_PondTime,24.101
Pond9Fish16_PondOutcome,176
Pond9Fish16_TotalOutcome,462
Pond9Fish16_TimeLeft,617.37
Pond9_Type,N
Pond9Fish17_FishType,green
Pond9Fish17_FishLatency,20
Pond9Fish17_CatchTime,-1
Pond9Fish17_GiveUpTime,0.527
Pond9Fish17_PondTime,31.618
