,55c09521fdf99b1b8c34379f
Pond4Fish16_PondOutcome,176
Pond4Fish16_TotalOutcome,836
Pond4Fish16_TimeLeft,191.53
Pond4_Type,N
Pond4Fish17_FishType,green
Pond4Fish17_FishLatency,20
Pond4Fish17_CatchTime,-1
Pond4Fish17_GiveUpTime,-1
Pond4Fish17_PondTime,34.256
Pond4Fish17_PondOutcome,176
Pond4Fish17_TotalOutcome,836
Pond4Fish17_TimeLeft,157.274
Pond4_Type,N
Pond4Fish18_FishType,green
Pond4Fish18_FishLatency,30
Pond4Fish18_CatchTime,-1
Pond4Fish18_GiveUpTime,37.632
Pond4Fish18_PondTime,1.151
Pond4Fish18_PondOutcome,176
Pond4Fish18_TotalOutcome,836
Pond4Fish18_TimeLeft,156.123
Pond7IntroTime,11.0865423316136
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.21
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,23.447
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,847
Pond5Fish1_TimeLeft,132.676
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.001
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.109
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,858
Pond5Fish2_TimeLeft,123.566
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.033
Pond5Fish3_GiveUpTime,-1
Pond5Fish3_PondTime,9.608
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,869
Pond5Fish3_TimeLeft,113.958
Pond5_Type,N
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.013
Pond5Fish4_GiveUpTime,-1
Pond5Fish4_PondTime,10.097
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,880
Pond5Fish4_TimeLeft,103.861
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.129
Pond5Fish5_GiveUpTime,-1
Pond5Fish5_PondTime,10.788
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,891
Pond5Fish5_TimeLeft,93.073
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,-1
Pond5Fish5_GiveUpTime,-1
Pond5Fish5_PondTime,0.004
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,891
Pond5Fish5_TimeLeft,93.069
Pond5_Type,N
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.902
Pond5Fish7_GiveUpTime,-1
Pond5Fish7_PondTime,12.728
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,902
Pond5Fish7_TimeLeft,80.341
Pond5_Type,N
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,-1
Pond5Fish7_GiveUpTime,-1
Pond5Fish7_PondTime,0
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,902
Pond5Fish7_TimeLeft,80.34
Pond5_Type,N
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,0.999
Pond5Fish9_GiveUpTime,-1
Pond5Fish9_PondTime,16.149
Pond5Fish9_PondOutcome,77
Pond5Fish9_TotalOutcome,913
Pond5Fish9_TimeLeft,64.191
Pond5_Type,N
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,-1
Pond5Fish9_GiveUpTime,-1
Pond5Fish9_PondTime,0.006
Pond5Fish9_PondOutcome,77
Pond5Fish9_TotalOutcome,913
Pond5Fish9_TimeLeft,64.185
Pond5_Type,N
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,1.015
Pond5Fish11_GiveUpTime,-1
Pond5Fish11_PondTime,24.245
Pond5Fish11_PondOutcome,88
Pond5Fish11_TotalOutcome,924
Pond5Fish11_TimeLeft,39.938
Pond5_Type,N
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,-1
Pond5Fish11_GiveUpTime,-1
Pond5Fish11_PondTime,0
Pond5Fish11_PondOutcome,88
Pond5Fish11_TotalOutcome,924
Pond5Fish11_TimeLeft,39.938
