,5d28efe23cb67a001aa1ec85
PlayerDetails,5d28efe23cb67a001aa1ec85
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 10:27:07 GMT+0100 (Hora de verão da Europa Ocidental)
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.299
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,8.696
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,11
Pond5Fish1_TimeLeft,1189.3
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.754
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.095
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,22
Pond5Fish2_TimeLeft,1180.204
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.253
Pond5Fish3_GiveUpTime,-1
Pond5Fish3_PondTime,9.559
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,33
Pond5Fish3_TimeLeft,1170.645
Pond5_Type,N
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.106
Pond5Fish4_GiveUpTime,-1
Pond5Fish4_PondTime,10.093
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,44
Pond5Fish4_TimeLeft,1160.551
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.975
Pond5Fish5_GiveUpTime,-1
Pond5Fish5_PondTime,10.754
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,55
Pond5Fish5_TimeLeft,1149.797
Pond5_Type,N
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,-1
Pond5Fish6_GiveUpTime,0.844
Pond5Fish6_PondTime,9.787
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,55
Pond5Fish6_TimeLeft,1140.01
Pond2IntroTime,18.38221019366756
Pond1_Type,N
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.199
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,29.594
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,66
Pond1Fish1_TimeLeft,1110.416
Pond1_Type,N
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.861
Pond1Fish2_GiveUpTime,-1
Pond1Fish2_PondTime,7.843
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,77
Pond1Fish2_TimeLeft,1102.573
Pond1_Type,N
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.017
Pond1Fish3_GiveUpTime,-1
Pond1Fish3_PondTime,8.094
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,88
Pond1Fish3_TimeLeft,1094.479
Pond1_Type,N
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.01
Pond1Fish4_GiveUpTime,-1
Pond1Fish4_PondTime,8.374
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,99
Pond1Fish4_TimeLeft,1086.104
Pond1_Type,N
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.013
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.709
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,110
Pond1Fish5_TimeLeft,1077.395
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.674
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.094
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,121
Pond1Fish6_TimeLeft,1068.301
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.093
Pond1Fish7_GiveUpTime,-1
Pond1Fish7_PondTime,9.557
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,132
Pond1Fish7_TimeLeft,1058.744
Pond1_Type,N
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.918
Pond1Fish8_GiveUpTime,-1
Pond1Fish8_PondTime,10.091
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,143
Pond1Fish8_TimeLeft,1048.652
Pond1_Type,N
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.845
