,5a9887c935237b00011282a4
Pond1Fish2_TotalOutcome,748
Pond1Fish2_TimeLeft,296.048
Pond1_Type,N
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.688
Pond1Fish3_GiveUpTime,-1
Pond1Fish3_PondTime,8.101
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,759
Pond1Fish3_TimeLeft,287.947
Pond1_Type,N
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.882
Pond1Fish4_GiveUpTime,-1
Pond1Fish4_PondTime,8.382
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,770
Pond1Fish4_TimeLeft,279.565
Pond1_Type,N
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.724
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.716
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,781
Pond1Fish5_TimeLeft,270.848
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.824
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.099
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,792
Pond1Fish6_TimeLeft,261.748
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,-1
Pond1Fish7_GiveUpTime,0.512
Pond1Fish7_PondTime,7.184
Pond1Fish7_PondOutcome,66
Pond1Fish7_TotalOutcome,792
Pond1Fish7_TimeLeft,254.564
Pond15IntroTime,16.263201779220253
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.685
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,27.433
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,803
Pond11Fish1_TimeLeft,227.131
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.965
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,7.833
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,814
Pond11Fish2_TimeLeft,219.298
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.576
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.102
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,825
Pond11Fish3_TimeLeft,211.196
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.929
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,8.382
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,836
Pond11Fish4_TimeLeft,202.814
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.637
Pond11Fish5_GiveUpTime,-1
Pond11Fish5_PondTime,8.702
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,847
Pond11Fish5_TimeLeft,194.112
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.882
Pond11Fish6_GiveUpTime,-1
Pond11Fish6_PondTime,9.098
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,858
Pond11Fish6_TimeLeft,185.014
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.705
Pond11Fish7_GiveUpTime,-1
Pond11Fish7_PondTime,9.551
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,869
Pond11Fish7_TimeLeft,175.462
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,-1
Pond11Fish8_GiveUpTime,0.528
Pond11Fish8_PondTime,7.732
Pond11Fish8_PondOutcome,77
Pond11Fish8_TotalOutcome,869
Pond11Fish8_TimeLeft,167.73
Pond16IntroTime,11.535838143900037
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.766
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,22.552
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,880
Pond4Fish1_TimeLeft,145.178
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.812
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.617
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,891
Pond4Fish2_TimeLeft,137.561
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.9
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.85
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,902
Pond4Fish3_TimeLeft,129.711
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.328
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,8.098
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,913
Pond4Fish4_TimeLeft,121.612
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.945
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.383
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,924
Pond4Fish5_TimeLeft,113.229
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.78
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,8.7
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,935
Pond4Fish6_TimeLeft,104.528
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,0.783
Pond4Fish7_GiveUpTime,-1
Pond4Fish7_PondTime,9.083
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,946
Pond4Fish7_TimeLeft,95.444
Pond4_Type,N
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.898
Pond4Fish8_GiveUpTime,-1
Pond4Fish8_PondTime,9.55
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,957
Pond4Fish8_TimeLeft,85.893
Pond4_Type,N
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,0.773
Pond4Fish9_GiveUpTime,-1
Pond4Fish9_PondTime,10.1
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,968
Pond4Fish9_TimeLeft,75.793
Pond4_Type,N
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,-1
Pond4Fish10_GiveUpTime,0.527
Pond4Fish10_PondTime,8.381
Pond4Fish10_PondOutcome,99
Pond4Fish10_TotalOutcome,968
Pond4Fish10_TimeLeft,67.411
Pond17IntroTime,11.103450530208647
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,2.031
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,23.768
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,979
Pond2Fish1_TimeLeft,43.643
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,0.704
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.552
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,990
Pond2Fish2_TimeLeft,34.09
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.771
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.098
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,1001
Pond2Fish3_TimeLeft,23.992
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.968
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.771
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,1012
Pond2Fish4_TimeLeft,13.221
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,-1
Pond2Fish5_GiveUpTime,0.552
Pond2Fish5_PondTime,9.402
Pond2Fish5_PondOutcome,44
Pond2Fish5_TotalOutcome,1012
Pond2Fish5_TimeLeft,3.818
Pond18IntroTime,17.10878792218864
