,57c357770e6a1f00015f6038
PlayerDetails,57c357770e6a1f00015f6038
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 11:20:22 GMT+0100 (British Summer Time)
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.072
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,8.107
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,11
Pond12Fish1_TimeLeft,1189.859
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.959
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.38
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,22
Pond12Fish2_TimeLeft,1181.479
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.161
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.707
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,33
Pond12Fish3_TimeLeft,1172.771
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.962
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.112
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,44
Pond12Fish4_TimeLeft,1163.658
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.158
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.564
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,55
Pond12Fish5_TimeLeft,1154.094
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,-1
Pond12Fish6_GiveUpTime,1.254
Pond12Fish6_PondTime,9.023
Pond12Fish6_PondOutcome,55
Pond12Fish6_TotalOutcome,55
Pond12Fish6_TimeLeft,1145.07
Pond2IntroTime,17.836216990835965
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.851
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,30.527
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,66
Pond2Fish1_TimeLeft,1114.543
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.557
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.551
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,77
Pond2Fish2_TimeLeft,1104.991
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.279
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.098
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,88
Pond2Fish3_TimeLeft,1094.893
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.067
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.761
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,99
Pond2Fish4_TimeLeft,1084.132
Pond2_Type,N
