,5d6ed341a1c4ca0018fddc36
Pond12Fish4_TimeLeft,146.425
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.001
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.57
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,836
Pond12Fish5_TimeLeft,136.854
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.833
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.115
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,847
Pond12Fish6_TimeLeft,126.738
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.055
Pond12Fish7_GiveUpTime,-1
Pond12Fish7_PondTime,10.791
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,858
Pond12Fish7_TimeLeft,115.945
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.822
Pond12Fish8_GiveUpTime,-1
Pond12Fish8_PondTime,11.606
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,869
Pond12Fish8_TimeLeft,104.338
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.768
Pond12Fish9_GiveUpTime,-1
Pond12Fish9_PondTime,12.679
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,880
Pond12Fish9_TimeLeft,91.658
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.416
Pond12Fish10_GiveUpTime,-1
Pond12Fish10_PondTime,14.134
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,891
Pond12Fish10_TimeLeft,77.523
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,0.896
Pond12Fish11_GiveUpTime,-1
Pond12Fish11_PondTime,16.144
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,902
Pond12Fish11_TimeLeft,61.378
Pond12_Type,N
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,-1
Pond12Fish12_GiveUpTime,17.162
Pond12Fish12_PondTime,14.328
Pond12Fish12_PondOutcome,121
Pond12Fish12_TotalOutcome,902
Pond12Fish12_TimeLeft,47.049
Pond9IntroTime,11.662619207054377
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.833
Pond9Fish1_GiveUpTime,-1
Pond9Fish1_PondTime,22.681
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,913
Pond9Fish1_TimeLeft,24.367
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.892
Pond9Fish2_GiveUpTime,-1
Pond9Fish2_PondTime,7.653
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,924
Pond9Fish2_TimeLeft,16.712
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,3.828
Pond9Fish3_GiveUpTime,-1
Pond9Fish3_PondTime,7.996
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,935
Pond9Fish3_TimeLeft,8.715
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.981
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.108
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,946
Pond9Fish4_TimeLeft,0.606
