,5d0276e3a6af0c001526c45d
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.743
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,9.115
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,814
Pond9Fish7_TimeLeft,250.824
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.804
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,9.573
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,825
Pond9Fish8_TimeLeft,241.251
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.591
Pond9Fish9_GiveUpTime,-1
Pond9Fish9_PondTime,10.136
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,836
Pond9Fish9_TimeLeft,231.114
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.811
Pond9Fish10_GiveUpTime,-1
Pond9Fish10_PondTime,10.785
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,847
Pond9Fish10_TimeLeft,220.328
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.668
Pond9Fish11_GiveUpTime,-1
Pond9Fish11_PondTime,11.629
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,858
Pond9Fish11_TimeLeft,208.699
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,-1
Pond9Fish12_GiveUpTime,0.573
Pond9Fish12_PondTime,10.109
Pond9Fish12_PondOutcome,121
Pond9Fish12_TotalOutcome,858
Pond9Fish12_TimeLeft,198.59
Pond10IntroTime,12.530973160173744
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.614
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,25.758
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,869
Pond10Fish1_TimeLeft,172.832
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.755
Pond10Fish2_GiveUpTime,-1
Pond10Fish2_PondTime,10.128
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,880
Pond10Fish2_TimeLeft,162.704
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.511
Pond10Fish3_GiveUpTime,-1
Pond10Fish3_PondTime,10.779
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,891
Pond10Fish3_TimeLeft,151.925
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.63
Pond10Fish4_GiveUpTime,-1
Pond10Fish4_PondTime,11.628
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,902
Pond10Fish4_TimeLeft,140.296
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.713
Pond10Fish5_GiveUpTime,-1
Pond10Fish5_PondTime,12.689
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,913
Pond10Fish5_TimeLeft,127.607
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.654
Pond10Fish6_GiveUpTime,-1
Pond10Fish6_PondTime,14.127
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,924
Pond10Fish6_TimeLeft,113.48
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,-1
Pond10Fish7_GiveUpTime,0.618
Pond10Fish7_PondTime,13.643
Pond10Fish7_PondOutcome,66
Pond10Fish7_TotalOutcome,924
Pond10Fish7_TimeLeft,99.837
Pond11IntroTime,10.194295055698603
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.853
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,21.476
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,935
Pond11Fish1_TimeLeft,78.36
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.674
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,7.882
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,946
Pond11Fish2_TimeLeft,70.478
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.548
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.11
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,957
Pond11Fish3_TimeLeft,62.367
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.682
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,8.403
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,968
Pond11Fish4_TimeLeft,53.964
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.663
Pond11Fish5_GiveUpTime,-1
Pond11Fish5_PondTime,8.739
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,979
Pond11Fish5_TimeLeft,45.225
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.729
Pond11Fish6_GiveUpTime,-1
Pond11Fish6_PondTime,9.115
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,990
Pond11Fish6_TimeLeft,36.11
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.776
Pond11Fish7_GiveUpTime,-1
Pond11Fish7_PondTime,9.573
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,1001
Pond11Fish7_TimeLeft,26.537
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.893
Pond11Fish8_GiveUpTime,-1
Pond11Fish8_PondTime,10.112
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,1012
Pond11Fish8_TimeLeft,16.425
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.76
Pond11Fish9_GiveUpTime,-1
Pond11Fish9_PondTime,10.803
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,1023
Pond11Fish9_TimeLeft,5.622
