,taly5
PlayerDetails,taly5
GameCompleted,declined
GameTime,300
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0.5
RD_GoldFishOutcome,1
RD_BlueFishProbability,0.5
RD_BlueFishOutcome,2
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.5
RT_PurpleFishOutcome,3
RT_GreyFishProbability,0.5
RT_GreyFishOutcome,4
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,20
Pond2Type,N
Pond2FishN,10
Pond3Type,RD
Pond3FishN,10
Pond4Type,RT
Pond4FishN,20
Pond5Type,RD
Pond5FishN,10
Pond6Type,N
Pond6FishN,20
Pond7Type,RD
Pond7FishN,10
Pond8Type,RT
Pond8FishN,20
Pond9Type,RD
Pond9FishN,10
Pond10Type,N
Pond10FishN,20
Pond11Type,RT
Pond11FishN,10
Pond12Type,RT
Pond12FishN,20
Date:,Fri Sep 27 2019 08:27:40 GMT+0300 (Israel Daylight Time)
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3
Pond6Fish1_CatchTime,0.928
Pond6Fish1_GiveUpTime,-1
Pond6Fish1_PondTime,7.283
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,11
Pond6Fish1_TimeLeft,290.705
Pond6_Type,N
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.1578947368421053
Pond6Fish2_CatchTime,-1
Pond6Fish2_GiveUpTime,0.752
Pond6Fish2_PondTime,5.841
Pond6Fish2_PondOutcome,11
Pond6Fish2_TotalOutcome,11
Pond6Fish2_TimeLeft,284.864
Pond2IntroTime,3.9912634771317244
Pond3_Type,RD
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,6
Pond3Fish1_CatchTime,1.208
Pond3Fish1_GiveUpTime,-1
Pond3Fish1_PondTime,18.345
Pond3Fish1_PondOutcome,2
Pond3Fish1_TotalOutcome,13
Pond3Fish1_TimeLeft,266.519
Pond3_Type,RD
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,6.666666666666667
Pond3Fish2_CatchTime,0.889
Pond3Fish2_GiveUpTime,-1
Pond3Fish2_PondTime,11.61
Pond3Fish2_PondOutcome,4
Pond3Fish2_TotalOutcome,15
Pond3Fish2_TimeLeft,254.909
Pond3_Type,RD
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,7.5
Pond3Fish3_CatchTime,1.133
Pond3Fish3_GiveUpTime,-1
Pond3Fish3_PondTime,12.682
Pond3Fish3_PondOutcome,6
Pond3Fish3_TotalOutcome,17
Pond3Fish3_TimeLeft,242.227
Pond3_Type,RD
Pond3Fish4_FishType,golden
Pond3Fish4_FishLatency,8.571428571428571
Pond3Fish4_CatchTime,-1
Pond3Fish4_GiveUpTime,0.999
Pond3Fish4_PondTime,12.674
Pond3Fish4_PondOutcome,6
Pond3Fish4_TotalOutcome,17
Pond3Fish4_TimeLeft,229.552
Pond3IntroTime,4.550554817542434
Pond9_Type,RD
Pond9Fish1_FishType,golden
Pond9Fish1_FishLatency,6
Pond9Fish1_CatchTime,-1
Pond9Fish1_GiveUpTime,1.446
Pond9Fish1_PondTime,18.029
Pond9Fish1_PondOutcome,0
Pond9Fish1_TotalOutcome,17
Pond9Fish1_TimeLeft,211.521
Pond4IntroTime,3.77449391502887
Pond1_Type,RD
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3
Pond1Fish1_CatchTime,-1
Pond1Fish1_GiveUpTime,0.743
Pond1Fish1_PondTime,12.696
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,17
Pond1Fish1_TimeLeft,198.825
Pond5IntroTime,1.8865986615419388
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,6
Pond2Fish1_CatchTime,-1
Pond2Fish1_GiveUpTime,9.838
Pond2Fish1_PondTime,12.496
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,17
Pond2Fish1_TimeLeft,186.329
Pond6IntroTime,4.678082549013197
Pond5_Type,RD
Pond5Fish0_FishType,green
Pond5Fish0_FishLatency,6
Pond5Fish0_CatchTime,-1
Pond5Fish0_GiveUpTime,5.607
Pond5Fish0_PondTime,8.28
Pond5Fish0_PondOutcome,0
Pond5Fish0_TotalOutcome,17
Pond5Fish0_TimeLeft,178.049
Pond7IntroTime,3.3012139908969402
Pond8_Type,RT
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3
Pond8Fish1_CatchTime,1.79
Pond8Fish1_GiveUpTime,-1
Pond8Fish1_PondTime,14.16
Pond8Fish1_PondOutcome,3
Pond8Fish1_TotalOutcome,20
Pond8Fish1_TimeLeft,163.889
Pond8_Type,RT
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.1578947368421053
Pond8Fish2_CatchTime,1.093
Pond8Fish2_GiveUpTime,-1
Pond8Fish2_PondTime,7.439
Pond8Fish2_PondOutcome,6
Pond8Fish2_TotalOutcome,23
Pond8Fish2_TimeLeft,156.45
Pond8_Type,RT
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.3333333333333335
Pond8Fish3_CatchTime,1.339
Pond8Fish3_GiveUpTime,-1
Pond8Fish3_PondTime,7.628
Pond8Fish3_PondOutcome,9
Pond8Fish3_TotalOutcome,26
Pond8Fish3_TimeLeft,148.821
Pond8_Type,RT
Pond8Fish4_FishType,gray
Pond8Fish4_FishLatency,3.5294117647058822
Pond8Fish4_CatchTime,0.905
Pond8Fish4_GiveUpTime,-1
Pond8Fish4_PondTime,7.877
Pond8Fish4_PondOutcome,13
Pond8Fish4_TotalOutcome,30
Pond8Fish4_TimeLeft,140.943
Pond8_Type,RT
Pond8Fish5_FishType,gray
Pond8Fish5_FishLatency,3.75
Pond8Fish5_CatchTime,-1
Pond8Fish5_GiveUpTime,-1
Pond8Fish5_PondTime,8.167
Pond8Fish5_PondOutcome,13
Pond8Fish5_TotalOutcome,30
Pond8Fish5_TimeLeft,132.776
Pond8_Type,RT
Pond8Fish6_FishType,gray
Pond8Fish6_FishLatency,4
Pond8Fish6_CatchTime,-1
Pond8Fish6_GiveUpTime,-1
Pond8Fish6_PondTime,8.434
