,5b1978274c72120001f1d72b
Pond1Fish6_TimeLeft,1066.945
Pond3IntroTime,18.86146495817229
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.156
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,31.678
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,132
Pond2Fish1_TimeLeft,1035.267
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.394
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.54
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,143
Pond2Fish2_TimeLeft,1025.724
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.115
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.166
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,154
Pond2Fish3_TimeLeft,1015.557
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.101
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.782
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,165
Pond2Fish4_TimeLeft,1004.774
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.173
Pond2Fish5_GiveUpTime,-1
Pond2Fish5_PondTime,11.584
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,176
Pond2Fish5_TimeLeft,993.188
Pond2_Type,N
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.943
Pond2Fish6_GiveUpTime,-1
Pond2Fish6_PondTime,12.719
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,187
Pond2Fish6_TimeLeft,980.468
Pond2_Type,N
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,-1
Pond2Fish7_GiveUpTime,0.624
Pond2Fish7_PondTime,12.605
Pond2Fish7_PondOutcome,66
Pond2Fish7_TotalOutcome,187
Pond2Fish7_TimeLeft,967.861
Pond4IntroTime,14.647661598864943
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.324
Pond7Fish1_GiveUpTime,-1
Pond7Fish1_PondTime,26.246
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,198
Pond7Fish1_TimeLeft,941.615
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.552
Pond7Fish2_GiveUpTime,-1
Pond7Fish2_PondTime,8.092
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,209
Pond7Fish2_TimeLeft,933.522
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.219
Pond7Fish3_GiveUpTime,-1
Pond7Fish3_PondTime,8.434
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,220
Pond7Fish3_TimeLeft,925.087
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.194
Pond7Fish4_GiveUpTime,-1
Pond7Fish4_PondTime,8.744
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,231
Pond7Fish4_TimeLeft,916.342
Pond7_Type,N
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.491
Pond7Fish5_GiveUpTime,-1
Pond7Fish5_PondTime,9.149
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,242
Pond7Fish5_TimeLeft,907.193
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.343
Pond7Fish6_GiveUpTime,-1
Pond7Fish6_PondTime,9.566
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,253
Pond7Fish6_TimeLeft,897.625
Pond7_Type,N
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.447
Pond7Fish7_GiveUpTime,-1
Pond7Fish7_PondTime,10.12
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,264
Pond7Fish7_TimeLeft,887.505
Pond7_Type,N
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,2.328
Pond7Fish8_GiveUpTime,-1
Pond7Fish8_PondTime,10.794
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,275
Pond7Fish8_TimeLeft,876.711
Pond7_Type,N
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.881
Pond7Fish9_GiveUpTime,-1
Pond7Fish9_PondTime,11.646
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,286
Pond7Fish9_TimeLeft,865.064
Pond7_Type,N
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.917
Pond7Fish10_GiveUpTime,-1
Pond7Fish10_PondTime,12.649
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,297
Pond7Fish10_TimeLeft,852.414
Pond7_Type,N
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.654
Pond7Fish11_GiveUpTime,-1
Pond7Fish11_PondTime,14.143
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,308
Pond7Fish11_TimeLeft,838.27
Pond7_Type,N
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,-1
Pond7Fish12_GiveUpTime,0.794
Pond7Fish12_PondTime,14.808
Pond7Fish12_PondOutcome,121
Pond7Fish12_TotalOutcome,308
Pond7Fish12_TimeLeft,823.461
Pond5IntroTime,18.93420413369313
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.172
Pond3Fish1_GiveUpTime,-1
Pond3Fish1_PondTime,29.946
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,319
Pond3Fish1_TimeLeft,793.513
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.009
Pond3Fish2_GiveUpTime,-1
Pond3Fish2_PondTime,7.638
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,330
Pond3Fish2_TimeLeft,785.875
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.245
Pond3Fish3_GiveUpTime,-1
Pond3Fish3_PondTime,7.892
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,341
Pond3Fish3_TimeLeft,777.981
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.884
Pond3Fish4_GiveUpTime,-1
Pond3Fish4_PondTime,8.119
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,352
Pond3Fish4_TimeLeft,769.861
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.892
Pond3Fish5_GiveUpTime,-1
Pond3Fish5_PondTime,8.424
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,363
Pond3Fish5_TimeLeft,761.436
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.219
Pond3Fish6_GiveUpTime,-1
Pond3Fish6_PondTime,8.745
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,374
Pond3Fish6_TimeLeft,752.691
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.731
Pond3Fish7_GiveUpTime,-1
Pond3Fish7_PondTime,9.076
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,385
Pond3Fish7_TimeLeft,743.613
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.56
Pond3Fish8_GiveUpTime,-1
Pond3Fish8_PondTime,9.624
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,396
Pond3Fish8_TimeLeft,733.987
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.26
Pond3Fish9_GiveUpTime,-1
Pond3Fish9_PondTime,10.125
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,407
Pond3Fish9_TimeLeft,723.86
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,2.168
Pond3Fish10_GiveUpTime,-1
Pond3Fish10_PondTime,10.804
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,418
Pond3Fish10_TimeLeft,713.056
Pond3_Type,N
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.047
Pond3Fish11_GiveUpTime,-1
Pond3Fish11_PondTime,11.58
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,429
Pond3Fish11_TimeLeft,701.476
Pond3_Type,N
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.148
Pond3Fish12_GiveUpTime,-1
Pond3Fish12_PondTime,12.73
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,440
Pond3Fish12_TimeLeft,688.745
Pond3_Type,N
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.206
Pond3Fish13_GiveUpTime,-1
Pond3Fish13_PondTime,14.129
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,451
Pond3Fish13_TimeLeft,674.613
Pond3_Type,N
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,0.889
Pond3Fish14_GiveUpTime,-1
Pond3Fish14_PondTime,16.159
Pond3Fish14_PondOutcome,154
Pond3Fish14_TotalOutcome,462
Pond3Fish14_TimeLeft,658.454
Pond3_Type,N
Pond3Fish15_FishType,green
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,-1
Pond3Fish15_GiveUpTime,0.796
Pond3Fish15_PondTime,17.456
Pond3Fish15_PondOutcome,154
Pond3Fish15_TotalOutcome,462
Pond3Fish15_TimeLeft,640.997
Pond6IntroTime,15.706185009330511
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.028
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,28.147
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,473
Pond5Fish1_TimeLeft,612.849
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.18
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.143
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,484
Pond5Fish2_TimeLeft,603.706
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.056
Pond5Fish3_GiveUpTime,-1
Pond5Fish3_PondTime,9.614
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,495
Pond5Fish3_TimeLeft,594.09
Pond5_Type,N
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.268
Pond5Fish4_GiveUpTime,-1
Pond5Fish4_PondTime,10.123
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,506
Pond5Fish4_TimeLeft,583.967
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.963
Pond5Fish5_GiveUpTime,-1
Pond5Fish5_PondTime,10.77
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,517
Pond5Fish5_TimeLeft,573.196
Pond5_Type,N
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.886
Pond5Fish6_GiveUpTime,-1
Pond5Fish6_PondTime,11.648
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,528
Pond5Fish6_TimeLeft,561.546
Pond5_Type,N
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.84
Pond5Fish7_GiveUpTime,-1
Pond5Fish7_PondTime,12.696
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,539
Pond5Fish7_TimeLeft,548.85
Pond5_Type,N
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.471
Pond5Fish8_GiveUpTime,-1
Pond5Fish8_PondTime,14.066
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,550
Pond5Fish8_TimeLeft,534.783
Pond5_Type,N
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.282
Pond5Fish9_GiveUpTime,-1
Pond5Fish9_PondTime,16.135
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,561
Pond5Fish9_TimeLeft,518.646
Pond5_Type,N
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,0.876
Pond5Fish10_GiveUpTime,-1
Pond5Fish10_PondTime,19.122
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,572
Pond5Fish10_TimeLeft,499.523
Pond5_Type,N
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,0.993
Pond5Fish11_GiveUpTime,-1
Pond5Fish11_PondTime,24.146
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,583
Pond5Fish11_TimeLeft,475.376
Pond5_Type,N
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,-1
Pond5Fish12_GiveUpTime,0.731
Pond5Fish12_PondTime,32.594
Pond5Fish12_PondOutcome,121
Pond5Fish12_TotalOutcome,583
Pond5Fish12_TimeLeft,442.78
Pond7IntroTime,10.263303781393915
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.231
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,21.985
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,594
Pond12Fish1_TimeLeft,420.795
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.248
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.395
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,605
Pond12Fish2_TimeLeft,412.397
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.34
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.745
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,616
Pond12Fish3_TimeLeft,403.651
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.975
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.14
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,627
Pond12Fish4_TimeLeft,394.509
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.269
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.58
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,638
Pond12Fish5_TimeLeft,384.928
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.379
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.125
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,649
Pond12Fish6_TimeLeft,374.802
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.408
Pond12Fish7_GiveUpTime,-1
Pond12Fish7_PondTime,10.801
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,660
Pond12Fish7_TimeLeft,364
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.723
Pond12Fish8_GiveUpTime,-1
Pond12Fish8_PondTime,11.611
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,671
Pond12Fish8_TimeLeft,352.388
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.465
Pond12Fish9_GiveUpTime,-1
Pond12Fish9_PondTime,12.733
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,682
Pond12Fish9_TimeLeft,339.654
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.434
Pond12Fish10_GiveUpTime,-1
Pond12Fish10_PondTime,14.184
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,693
Pond12Fish10_TimeLeft,325.469
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.324
Pond12Fish11_GiveUpTime,-1
Pond12Fish11_PondTime,16.137
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,704
Pond12Fish11_TimeLeft,309.33
Pond12_Type,N
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,0.781
Pond12Fish12_GiveUpTime,-1
Pond12Fish12_PondTime,19.15
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,715
Pond12Fish12_TimeLeft,290.179
Pond12_Type,N
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,15
Pond12Fish13_CatchTime,-1
Pond12Fish13_GiveUpTime,0.926
Pond12Fish13_PondTime,23.059
Pond12Fish13_PondOutcome,132
Pond12Fish13_TotalOutcome,715
Pond12Fish13_TimeLeft,267.119
Pond8IntroTime,19.8022571625188
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.111
Pond6Fish1_GiveUpTime,-1
Pond6Fish1_PondTime,31.105
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,726
Pond6Fish1_TimeLeft,236.013
Pond6_Type,N
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.449
Pond6Fish2_GiveUpTime,-1
